melinda_id;original;cleaned;converted;udk_count
003584991;353/354|352/354|354|948.0|948.0|948.0.06/.07;353/354;352/354;354;948.0;948.0.06/.07;Valtionhallinto. Keskushallinto. Väliportaan hallinto. Lääninhallinto. Maakuntahallinto. Aluehallinto;Julkisen hallinnon organisaatio. Paikallinen, alueellinen ja keskushallinto;Ylimmän tason hallinto. Keskushallinto, valtionhallinto;Suomen historia;Undetermined;5
003585004;929 Meurman, Agathon;929,;Undetermined;1
003585016;929 Aleksanteri II, Venäjän keisari|948.0|929 Aleksandr|948.0|948.0.07;929,;948.0;929;948.0.07;Undetermined;Suomen historia;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;Undetermined;4
003585058;323.1|948.0;323.1;948.0;Kansallisuusliikkeet. Kansallisuuskysymykset. Kansalliset vähemmistöt;Suomen historia;2
003585061;342.4|948.0|948.0.07|3;342.4;948.0;948.0.07;3;Perustuslait. Lakiasäätävät kokoukset. Kansalliskokoukset;Suomen historia;Undetermined;Yhteiskuntatieteet;4
003585062;948.0|3;948.0;3;Suomen historia;Yhteiskuntatieteet;2
003585065;948.0|342|809.454.1;948.0;342;809.454.1;Suomen historia;Julkisoikeus. Valtio-oikeus. Valtiosääntöoikeus. Perusoikeudet. Kansalaisoikeudet. Ihmisoikeudet ;Suomen kieli;3
003585072;327|948.0;327;948.0;Kansainväliset suhteet. Kansainvälinen politiikka. Ulkopolitiikka;Suomen historia;2
003586675;;NA;NA;0
003590568;;NA;NA;0
003597324;839.7;839.7;Ruotsinkielinen kirjallisuus;1
003604086;;NA;NA;0
003631865;820|820;820;Englanninkielinen kirjallisuus;1
003639993;;NA;NA;0
003651203;3|342;3;342;Yhteiskuntatieteet;Julkisoikeus. Valtio-oikeus. Valtiosääntöoikeus. Perusoikeudet. Kansalaisoikeudet. Ihmisoikeudet ;2
003653416;372.5|372.87|741/744;372.5;372.87;741/744;Undetermined;Undetermined;Piirustus;3
003653481;;NA;NA;0
003653484;23/28;23/28;Undetermined;1
003653488;37.015.3;37.015.3;Undetermined;1
003653653;372.45;372.45;Undetermined;1
003653676;159.922.8|37.015.3;159.922.8;37.015.3;Undetermined;Undetermined;2
003653703;372.782|372.784;372.782;372.784;Undetermined;Undetermined;2
003654275;894.541;894.541;Suomenkielinen kirjallisuus;1
003654378;;NA;NA;0
003654707;;NA;NA;0
003655060;809.454.1;809.454.1;Suomen kieli;1
003655061;809.454.1|372.416|087.5|372.41|372.880.1|809.454.1;809.454.1;372.416;087.5;372.41;372.880.1;Suomen kieli;Undetermined;Undetermined;Undetermined;Undetermined;5
003655398;839.79;839.79;Suomenruotsalainen kirjallisuus;1
003655480;;NA;NA;0
003655628;;NA;NA;0
003655773;;NA;NA;0
003655790;894.541;894.541;Suomenkielinen kirjallisuus;1
003655973;;NA;NA;0
003656036;;NA;NA;0
003656086;796/799;796/799;Liikunta. Urheilu. Voimistelu. Liikuntavälineet. Urheiluvälineet. Retkeily;1
003656455;894.541;894.541;Suomenkielinen kirjallisuus;1
003656804;30;30;Undetermined;1
003656813;30;30;Undetermined;1
003656815;;NA;NA;0
003656827;;NA;NA;0
003656840;;NA;NA;0
(FI-HELKA)154624-helkadb;809.454.1|809.454.1|809.454.1|809.454.1|25/26;809.454.1;25/26;Suomen kieli;Undetermined;2
003658300;809.454.1|809.454.1|809.454.1|809.454.1|25/26;809.454.1;25/26;Suomen kieli;Undetermined;2
003663607;;NA;NA;0
003663645;17;17;Etiikka. Moraali. Käytännöllinen filosofia. Elämäntaito;1
003664277;291.1;291.1;Undetermined;1
003664530;;NA;NA;0
003664907;;NA;NA;0
003664953;51;51;Matematiikka;1
003665156;;NA;NA;0
003665196;27|284.1|92|92 Luther;27;284.1;92;Yleinen kirkkohistoria. Patristiikka;Undetermined;Henkilöhistorialliset tutkimukset. Sukututkimus. Heraldiikka. Liput;3
003665268;;NA;NA;0
003665415;371|809.454.1|372.41|371.671.12;371;809.454.1;372.41;371.671.12;Kasvatuksen ja opetuksen organisaatio. Koulutoimi. Opetusmenetelmät ;Suomen kieli;Undetermined;Undetermined;4
003665642;809.454.1|372.4|809.454.1;809.454.1;372.4;Suomen kieli;Undetermined;2
003665715;796.4;796.4;Voimistelu. Akrobatia. Yleisurheilu;1
003665973;894.541;894.541;Suomenkielinen kirjallisuus;1
