name,gender
Juhani,Male
Olavi,Male
Petteri,Male
Otto,Male
Niilas,Male
Jeanette,Female
Christel,Female
Josefine,Female
Catharina,Female
Serafia,Female
Saini,Female
Christa,Female
Hanna-Maria,Female
Tove,Female
Bea,Female
Valtti,Male
Kaino,Female
Siri,Female
Eedit,Female
Edla,Female
Adelina,Female
Tamara,Female
Rosita,Female
Emilie,Female
Marju,Female
Mai,Female
Nils-Erik,Male
Ann-Marie,Female
Mariel,Female
Eivor,Female
Jane,Female
Emmiina,Female
Eeva-Maria,Female
Selja,Female
Isabelle,Female
Rose,Female
Pirjo-Riitta,Female
Jyry,Male
Viveka,Female
Rosanna,Female
Lily,Female
Anne-Maj,Female
Rebecka,Female
Sigrid,Female
Therese,Female
Antonia,Female
Linn,Female
Tara,Female
Steven,Male
Marian,Female
Eve,Female
Larissa,Female
Terese,Female
Ria,Female
Sarianna,Female
Ahmed,Female
Elmiina,Female
Anna-Sofia,Female
Ireene,Female
Aale,Male
Ramona,Female
Jelena,Female
Jenniina,Female
Cristina,Female
Angelina,Female
Catarina,Female
Jannika,Female
Anne-Maarit,Female
Eriika,Female
Ritva-Liisa,Female
Caspian,Male
Siina,Female
Milana,Female
Briitta,Female
Hellä,Female
Leona,Female
Iida-Maria,Female
Ottilia,Female
Sinna,Female
Mariana,Female
Fiia,Female
Tuisku,Male
Marit,Female
Adelia,Female
Galina,Female
Susann,Female
Magdaleena,Female
Lenita,Female
Henna-Riikka,Female
Pirjo-Liisa,Female
Lara,Female
Lili,Female
Andres,Male
Eija-Liisa,Female
Silva,Female
Sirja,Female
My,Female
Inga-Lill,Female
Annemari,Female
Noomi,Female
Svea,Female
Augusta,Female
Karina,Female
Rufus,Male
Kristine,Female
Märta,Female
Angela,Female
Viveca,Female
Hulda,Female
Tua,Female
Serafina,Female
Ulpu,Female
Alise,Female
Soila,Female
Alexander,Male
Artem,Male
Yasmin,Female
Pernilla,Female
Liinu,Female
Ruusu,Female
Ilta,Female
Ulriikka,Female
Eeva-Maija,Female
Ann-Christine,Female
Adessa,Female
Marikki,Female
Dmitry,Male
Sani,Female
Sanna-Kaisa,Female
Kreetta,Female
Bella,Female
Sade,Female
Margaret,Female
Ali,Female
Sanna-Maria,Female
Meiju,Female
Lisbet,Female
Bo-Erik,Male
Pamela,Female
Marissa,Female
Mari-Anne,Female
May,Female
Hanneli,Female
Else-Maj,Female
Lidia,Female
Amina,Female
Ellinor,Female
Teea,Female
Sakke,Male
Maili,Female
Roosa-Maria,Female
Clara,Female
Mariaana,Female
Hannamari,Female
Karla,Female
Aallotar,Female
Aleksiina,Female
Cassandra,Female
Ingegärd,Female
Jaajo,Male
Nana,Female
Annica,Female
Assi,Female
Petriina,Female
Margita,Female
Maja,Female
Mariam,Female
Angelika,Female
Ann-Christin,Female
Carmen,Female
Miiro,Male
Mandi,Female
Gun-Britt,Female
Tuulevi,Female
Moa,Female
Hedvig,Female
Riika,Female
Catherine,Female
Hannah,Female
Marjanne,Female
Alexsandra,Female
Lenny,Male
Samira,Female
Gunhild,Female
Margarita,Female
Leeni,Female
Abdi,Female
Evelyn,Female
Estelle,Female
Louna,Female
Valeria,Female
Lumina,Female
Ludwig,Male
Kreeta,Female
Fatima,Female
Kamilla,Female
Meri-Tuuli,Female
Britt-Marie,Female
Anna-Lisa,Female
Bianca,Female
Marica,Female
Vivi,Female
Lumikki,Female
Filemon,Male
Gabriela,Female
Henriika,Female
Usva,Female
Klaudia,Female
Hanna-Maija,Female
Katrin,Female
Kirsi-Maria,Female
Aisha,Female
Theresa,Female
Mariann,Female
Sean,Male
Katharina,Female
Hellen,Female
Nenna,Female
Iitu,Female
Annie,Female
Britt,Female
Ann-Sofi,Female
Mariela,Female
Jadessa,Female
Kustaava,Female
Ilari,Male
Asla,Male
Tiia-Maria,Female
Maj-Len,Female
Odessa,Female
Kristin,Female
Gretel,Female
Mirja-Liisa,Female
Sarianne,Female
Jarna,Female
Miira,Female
Jennika,Female
Jaan,Male
Lauriina,Female
Erna,Female
Esther,Female
Naomi,Female
Filippa,Female
Hilppa,Female
Leena-Maija,Female
Raija-Liisa,Female
Ainikki,Female
Vaula,Female
Muhammed,Male
Merituuli,Female
Ulriika,Female
Minna-Liisa,Female
Lemmitty,Female
Mielikki,Female
Sabrina,Female
Ruusa,Female
Josephine,Female
Lilly,Female
Evelin,Female
Jero,Male
Ninja,Female
Adéle,Female
Barbara,Female
Hillervo,Female
Hassan,Female
Melisa,Female
Sonia,Female
Göta,Female
Raita,Female
Rut,Female
Liinus,Male
Carla,Female
Valborg,Female
Evita,Female
Armiida,Female
Desiree,Female
Anri,Female
Rianna,Female
Annabella,Female
Lia,Female
Gerd,Female
Juho-Matti,Male
Ilma,Female
Rosa-Maria,Female
Susa,Female
Sofianna,Female
Thea,Female
Grace,Female
Eden,Female
Ann-Sofie,Female
Kajsa,Female
Ethel,Female
Alessandro,Male
Aniitta,Female
Jenina,Female
Ragnhild,Female
Sanja,Female
Suvi-Tuuli,Female
Eriikka,Female
Klara,Female
Gertrud,Female
Freja,Female
Jessi,Female
Antoni,Male
Eva-Maria,Female
Eeva-Leena,Female
Alexia,Female
Henriette,Female
Evi,Female
Amira,Female
Illusia,Female
Ann-Charlotte,Female
Nadia,Female
Marisa,Female
Jerker,Male
Margetta,Female
Arja-Liisa,Female
Anna-Lena,Female
Miila,Female
Auri,Female
Natasha,Female
Eeva-Kaisa,Female
Denise,Female
Adina,Female
Maikki,Female
Rabbe,Male
Maia,Female
Eeva-Riitta,Female
Adalmina,Female
Aino-Maria,Female
Annaliisa,Female
Anna-Kaarina,Female
Elmi,Female
Liia,Female
Ylva,Female
Selena,Female
Uolevi,Male
Brian,Male
Klaara,Female
Hildegard,Female
Maija-Riitta,Female
Laimi,Female
Salla-Mari,Female
Zahra,Female
Janniina,Female
Petronella,Female
Maini,Female
Marke,Female
Rikard,Male
Lyyti,Female
Pauline,Female
Malviina,Female
Salma,Female
Karelia,Female
Alessia,Female
Disa,Female
Annamaria,Female
Hjördis,Female
Nette,Female
Abbas,Male
Auni,Female
Caroliina,Female
Gunborg,Female
Hanna-Riikka,Female
Suvi-Tuulia,Female
Hanna-Liisa,Female
Theresia,Female
Lillemor,Female
Jannica,Female
Abdullahi,Female
Jaakkima,Male
Jennie,Female
Seidi,Female
Minnea,Female
Anna-Riitta,Female
Marie-Louise,Female
Janet,Female
Rose-Marie,Female
Evelia,Female
Emelia,Female
Maryam,Female
Carlo,Male
Mariina,Female
Anna-Riikka,Female
Hanni,Female
Jolanda,Female
Celina,Female
Kaija-Leena,Female
Elli-Noora,Female
Tiiu,Female
Pieta,Female
Marietta,Female
Valentino,Male
Daria,Female
Isabell,Female
Arla,Female
Judith,Female
Ksenia,Female
Sienna,Female
Lotte,Female
Sissi,Female
Arja-Leena,Female
Ann-Kristin,Female
Efraim,Male
Simone,Female
Alviina,Female
Marion,Female
Karola,Female
Sirke,Female
Martha,Female
Eeva-Kaarina,Female
Dina,Female
Ninna,Female
Salome,Female
Ollinpoika,Male
Rosaliina,Female
Belinda,Female
Stephanie,Female
Aino-Maija,Female
Etel,Female
Armida,Female
Annakaisa,Female
Clarissa,Female
Nancy,Female
Desiré,Female
Anttu,Male
Tekla,Female
Myy,Female
Leonora,Female
Melanie,Female
Kim,Female
Meimi,Female
Telma,Female
Eleanor,Female
Hellikki,Female
Julie,Female
Valle,Male
Sirpa-Liisa,Female
Ulrica,Female
Tilde,Female
Sally,Female
Solja,Female
Ngoc,Female
Minna-Maria,Female
Malena,Female
Kaija-Liisa,Female
Anastacia,Female
Anton,Male
Josua,Male
Ilmatar,Female
Adriana,Female
Leni,Female
Molly,Female
Fia,Female
Sannamari,Female
Ingalill,Female
Tinka,Female
Annamaija,Female
Riitta-Leena,Female
Jaakob,Male
Estella,Female
Juliet,Female
Gunnevi,Female
Viliina,Female
Emmy,Female
Karen,Female
Pirjetta,Female
Pia-Maria,Female
Ingela,Female
Larisa,Female
Villenpoika,Male
Valdine,Female
Ann-Louise,Female
Desirée,Female
Helle,Female
Sanna-Maija,Female
Margot,Female
Bodil,Female
Ann-Britt,Female
Majlis,Female
Gudrun,Female
Risto-Matti,Male
Noona,Female
Anitra,Female
Severiina,Female
Bernice,Female
Merja-Liisa,Female
Nicola,Female
Gurli,Female
Ulla-Riitta,Female
Meri-Tuulia,Female
Alessandra,Female
Lemmy,Male
Christin,Female
Kristel,Female
Vivan,Female
Rachel,Female
Adolfiina,Female
Pilvikki,Female
Heidi-Maria,Female
Antonina,Female
Esmeralda,Female
Vadelma,Female
Curt,Male
Reea,Female
Manta,Female
Thuy,Female
Anne-Maija,Female
Marta,Female
Iia,Female
Tia-Maria,Female
Carin,Female
Jana,Female
Venny,Female
Malakias,Male
Amy,Female
Katerina,Female
Nadezda,Female
Liana,Female
Piitu,Female
Ani,Female
Betty,Female
Milma,Female
