Term	Count.Var1	Count.Freq	Frequency.Var1	Frequency.Freq
		1007944		84.9
afa	afa	6	afa	0
afr	afr	8	afr	0
akk	akk	7	akk	0
alb	alb	8	alb	0
amh	amh	3	amh	0
amh|grc	amh|grc	1	amh|grc	0
ang	ang	3	ang	0
ara	ara	150	ara	0
ara|eng	ara|eng	1	ara|eng	0
ara|grc	ara|grc	1	ara|grc	0
ara|heb|rom	ara|heb|rom	1	ara|heb|rom	0
ara|per	ara|per	1	ara|per	0
arc	arc	8	arc	0
arc|grc|heb	arc|grc|heb	1	arc|grc|heb	0
arc|heb	arc|heb	1	arc|heb	0
arc|heb|grc	arc|heb|grc	4	arc|heb|grc	0
arm	arm	3	arm	0
aze	aze	4	aze	0
baq	baq	9	baq	0
bel	bel	1	bel	0
ben	ben	13	ben	0
ben|eng	ben|eng	1	ben|eng	0
bos	bos	3	bos	0
bul	bul	22	bul	0
bul|rus	bul|rus	1	bul|rus	0
bur	bur	1	bur	0
cai	cai	4	cai	0
cat	cat	26	cat	0
cel	cel	1	cel	0
chi	chi	221	chi	0
chi|jpn	chi|jpn	1	chi|jpn	0
chm	chm	5	chm	0
chu	chu	4	chu	0
chu|rus	chu|rus	1	chu|rus	0
chv	chv	1	chv	0
cop	cop	2	cop	0
cop|grc|syr	cop|grc|syr	2	cop|grc|syr	0
cze	cze	240	cze	0
cze|eng	cze|eng	1	cze|eng	0
cze|fin	cze|fin	1	cze|fin	0
cze|fre|spa|fin	cze|fre|spa|fin	1	cze|fre|spa|fin	0
cze|ger	cze|ger	2	cze|ger	0
dan	dan	3264	dan	0.3
dan|eng	dan|eng	1	dan|eng	0
dan|fin	dan|fin	1	dan|fin	0
dan|fin|ice|nor|swe	dan|fin|ice|nor|swe	3	dan|fin|ice|nor|swe	0
dan|fin|nor|swe	dan|fin|nor|swe	1	dan|fin|nor|swe	0
dan|ger	dan|ger	2	dan|ger	0
dan|ita|fre	dan|ita|fre	1	dan|ita|fre	0
dan|nor	dan|nor	5	dan|nor	0
dan|nor|fre|dut	dan|nor|fre|dut	1	dan|nor|fre|dut	0
dan|nor|swe	dan|nor|swe	4	dan|nor|swe	0
dan|rus	dan|rus	1	dan|rus	0
dan|swe	dan|swe	12	dan|swe	0
dan|swe|fin	dan|swe|fin	1	dan|swe|fin	0
dan|swe|nor	dan|swe|nor	1	dan|swe|nor	0
dan|ypk	dan|ypk	1	dan|ypk	0
den	den	2	den	0
den|ger	den|ger	1	den|ger	0
dk	dk	1	dk	0
dut	dut	873	dut	0.1
dut|eng	dut|eng	1	dut|eng	0
dut|ger	dut|ger	2	dut|ger	0
dut|swe	dut|swe	1	dut|swe	0
egy	egy	6	egy	0
eng	eng	83158	eng	7
eng|ara	eng|ara	2	eng|ara	0
eng|ben	eng|ben	1	eng|ben	0
eng|cel	eng|cel	1	eng|cel	0
eng|chi	eng|chi	1	eng|chi	0
eng|cze	eng|cze	2	eng|cze	0
eng|dan	eng|dan	5	eng|dan	0
eng|dut	eng|dut	5	eng|dut	0
eng|dut|fre	eng|dut|fre	1	eng|dut|fre	0
eng|eng	eng|eng	3	eng|eng	0
eng|est|hun|ger|spa|swe|rus|smi|ice	eng|est|hun|ger|spa|swe|rus|smi|ice	1	eng|est|hun|ger|spa|swe|rus|smi|ice	0
eng|fin	eng|fin	47	eng|fin	0
eng|fin|ita	eng|fin|ita	1	eng|fin|ita	0
eng|fin|swe	eng|fin|swe	3	eng|fin|swe	0
eng|fre	eng|fre	41	eng|fre	0
eng|fre|ger	eng|fre|ger	2	eng|fre|ger	0
eng|fre|ita	eng|fre|ita	1	eng|fre|ita	0
eng|fre|lat	eng|fre|lat	1	eng|fre|lat	0
eng|fre|por	eng|fre|por	1	eng|fre|por	0
eng|fre|rus	eng|fre|rus	1	eng|fre|rus	0
eng|fre|swe	eng|fre|swe	3	eng|fre|swe	0
eng|ger	eng|ger	57	eng|ger	0
eng|ger|fre	eng|ger|fre	7	eng|ger|fre	0
eng|ger|rus	eng|ger|rus	1	eng|ger|rus	0
eng|ger|spa	eng|ger|spa	1	eng|ger|spa	0
eng|gla|sco	eng|gla|sco	1	eng|gla|sco	0
eng|grc	eng|grc	1	eng|grc	0
eng|heb	eng|heb	10	eng|heb	0
eng|ice	eng|ice	2	eng|ice	0
eng|ita	eng|ita	35	eng|ita	0
eng|jpn	eng|jpn	14	eng|jpn	0
eng|kor	eng|kor	2	eng|kor	0
eng|lat	eng|lat	4	eng|lat	0
eng|nor	eng|nor	3	eng|nor	0
eng|nor|rus|fre	eng|nor|rus|fre	1	eng|nor|rus|fre	0
eng|per	eng|per	1	eng|per	0
eng|pol	eng|pol	1	eng|pol	0
eng|por	eng|por	3	eng|por	0
eng|por|fin	eng|por|fin	1	eng|por|fin	0
eng|rus	eng|rus	14	eng|rus	0
eng|san	eng|san	3	eng|san	0
eng|spa	eng|spa	14	eng|spa	0
eng|spa|ger	eng|spa|ger	1	eng|spa|ger	0
eng|spa|rus	eng|spa|rus	1	eng|spa|rus	0
eng|swe	eng|swe	19	eng|swe	0
eng|swe|ger|dan|est|rus|jpn|lat	eng|swe|ger|dan|est|rus|jpn|lat	1	eng|swe|ger|dan|est|rus|jpn|lat	0
eng|swe|nor|fre|rus|dut|hun	eng|swe|nor|fre|rus|dut|hun	1	eng|swe|nor|fre|rus|dut|hun	0
eng|tha	eng|tha	2	eng|tha	0
eng|tib	eng|tib	2	eng|tib	0
eng|und	eng|und	2	eng|und	0
engita	engita	1	engita	0
enm	enm	3	enm	0
epo	epo	23	epo	0
est	est	706	est	0.1
est|eng	est|eng	1	est|eng	0
est|fin	est|fin	2	est|fin	0
est|hun	est|hun	1	est|hun	0
est|lav|lit	est|lav|lit	1	est|lav|lit	0
est|rus	est|rus	4	est|rus	0
est|swe	est|swe	1	est|swe	0
fao	fao	2	fao	0
fin	fin	19192	fin	1.6
fin|bel	fin|bel	1	fin|bel	0
fin|chi	fin|chi	1	fin|chi	0
fin|chu	fin|chu	1	fin|chu	0
fin|cze|hun|spa|ger|slv	fin|cze|hun|spa|ger|slv	1	fin|cze|hun|spa|ger|slv	0
fin|dan	fin|dan	2	fin|dan	0
fin|dan|ice|swe|nor	fin|dan|ice|swe|nor	1	fin|dan|ice|swe|nor	0
fin|eng	fin|eng	82	fin|eng	0
fin|eng|fre|ger	fin|eng|fre|ger	1	fin|eng|fre|ger	0
fin|eng|ita	fin|eng|ita	1	fin|eng|ita	0
fin|eng|rus	fin|eng|rus	5	fin|eng|rus	0
fin|eng|swe	fin|eng|swe	2	fin|eng|swe	0
fin|epo	fin|epo	3	fin|epo	0
fin|est	fin|est	1	fin|est	0
fin|est|fiu	fin|est|fiu	1	fin|est|fiu	0
fin|fin	fin|fin	1	fin|fin	0
fin|fre	fin|fre	9	fin|fre	0
fin|fre|bel|cat|lat	fin|fre|bel|cat|lat	1	fin|fre|bel|cat|lat	0
fin|ger	fin|ger	7	fin|ger	0
fin|ger|bul	fin|ger|bul	1	fin|ger|bul	0
fin|ger|hun	fin|ger|hun	1	fin|ger|hun	0
fin|grc	fin|grc	2	fin|grc	0
fin|heb|grc	fin|heb|grc	1	fin|heb|grc	0
fin|hun	fin|hun	1	fin|hun	0
fin|icl|nor	fin|icl|nor	1	fin|icl|nor	0
fin|ita	fin|ita	3	fin|ita	0
fin|ita|eng	fin|ita|eng	1	fin|ita|eng	0
fin|ita|spa|glg|hrv|chi	fin|ita|spa|glg|hrv|chi	1	fin|ita|spa|glg|hrv|chi	0
fin|jpn	fin|jpn	1	fin|jpn	0
fin|jpn|eng	fin|jpn|eng	2	fin|jpn|eng	0
fin|krl	fin|krl	2	fin|krl	0
fin|mul	fin|mul	7	fin|mul	0
fin|nor	fin|nor	4	fin|nor	0
fin|nor|dan	fin|nor|dan	1	fin|nor|dan	0
fin|nor|ice	fin|nor|ice	1	fin|nor|ice	0
fin|pol	fin|pol	2	fin|pol	0
fin|pol|jpn|chi	fin|pol|jpn|chi	1	fin|pol|jpn|chi	0
fin|rus	fin|rus	32	fin|rus	0
fin|rus|eng	fin|rus|eng	1	fin|rus|eng	0
fin|rus|est	fin|rus|est	1	fin|rus|est	0
fin|smi	fin|smi	1	fin|smi	0
fin|smi|swe	fin|smi|swe	1	fin|smi|swe	0
fin|spa|smi	fin|spa|smi	1	fin|spa|smi	0
fin|swe	fin|swe	103	fin|swe	0
fin|swe|bul	fin|swe|bul	1	fin|swe|bul	0
fin|swe|dan|ice|nor	fin|swe|dan|ice|nor	5	fin|swe|dan|ice|nor	0
fin|swe|dan|nor|eng	fin|swe|dan|nor|eng	1	fin|swe|dan|nor|eng	0
fin|swe|dan|nor|ice	fin|swe|dan|nor|ice	4	fin|swe|dan|nor|ice	0
fin|swe|eng	fin|swe|eng	3	fin|swe|eng	0
fin|swe|eng|fre	fin|swe|eng|fre	1	fin|swe|eng|fre	0
fin|swe|fre	fin|swe|fre	1	fin|swe|fre	0
fin|swe|ger	fin|swe|ger	3	fin|swe|ger	0
fin|swe|nor	fin|swe|nor	4	fin|swe|nor	0
fin|swe|nor|dan|ice	fin|swe|nor|dan|ice	1	fin|swe|nor|dan|ice	0
fin|swe|nor|est	fin|swe|nor|est	1	fin|swe|nor|est	0
fin|swe|smi	fin|swe|smi	5	fin|swe|smi	0
fin|swe|smi|nor	fin|swe|smi|nor	1	fin|swe|smi|nor	0
fin|und	fin|und	2	fin|und	0
fin|vie	fin|vie	1	fin|vie	0
fiu	fiu	17	fiu	0
fiu|fiu	fiu|fiu	1	fiu|fiu	0
fra	fra	1	fra	0
fre	fre	8684	fre	0.7
fre|dan	fre|dan	1	fre|dan	0
fre|eng	fre|eng	16	fre|eng	0
fre|eng|hun	fre|eng|hun	3	fre|eng|hun	0
fre|eng|rus	fre|eng|rus	1	fre|eng|rus	0
fre|fin	fre|fin	18	fre|fin	0
fre|ger	fre|ger	5	fre|ger	0
fre|ger|rus	fre|ger|rus	1	fre|ger|rus	0
fre|grc	fre|grc	4	fre|grc	0
fre|ita	fre|ita	1	fre|ita	0
fre|ita|fin	fre|ita|fin	1	fre|ita|fin	0
fre|lat	fre|lat	13	fre|lat	0
fre|lat|ita|eng	fre|lat|ita|eng	1	fre|lat|ita|eng	0
fre|per	fre|per	1	fre|per	0
fre|rus	fre|rus	2	fre|rus	0
fre|rus|eng|ger|ara|spa|por	fre|rus|eng|ger|ara|spa|por	1	fre|rus|eng|ger|ara|spa|por	0
fre|spa	fre|spa	4	fre|spa	0
fre|swe	fre|swe	1	fre|swe	0
fro	fro	1	fro	0
gem	gem	1	gem	0
geo	geo	7	geo	0
ger	ger	12332	ger	1
ger|cze	ger|cze	2	ger|cze	0
ger|dan	ger|dan	3	ger|dan	0
ger|dan|eng	ger|dan|eng	1	ger|dan|eng	0
ger|dan|eng|fre|swe	ger|dan|eng|fre|swe	2	ger|dan|eng|fre|swe	0
ger|dan|nor	ger|dan|nor	1	ger|dan|nor	0
ger|dut	ger|dut	8	ger|dut	0
ger|eng	ger|eng	28	ger|eng	0
ger|epo	ger|epo	1	ger|epo	0
ger|fin	ger|fin	68	ger|fin	0
ger|fre	ger|fre	9	ger|fre	0
ger|fre|ara|lat	ger|fre|ara|lat	1	ger|fre|ara|lat	0
ger|fre|eng	ger|fre|eng	1	ger|fre|eng	0
ger|fre|swe	ger|fre|swe	2	ger|fre|swe	0
ger|fre|yid	ger|fre|yid	2	ger|fre|yid	0
ger|ger	ger|ger	1	ger|ger	0
ger|grc	ger|grc	1	ger|grc	0
ger|heb	ger|heb	1	ger|heb	0
ger|ind	ger|ind	1	ger|ind	0
ger|jpn	ger|jpn	1	ger|jpn	0
ger|lat	ger|lat	19	ger|lat	0
ger|rus	ger|rus	6	ger|rus	0
ger|rus|eng|hun	ger|rus|eng|hun	1	ger|rus|eng|hun	0
ger|spa	ger|spa	2	ger|spa	0
ger|swe	ger|swe	10	ger|swe	0
ger|swe|eng	ger|swe|eng	1	ger|swe|eng	0
ger|swe|hun	ger|swe|hun	1	ger|swe|hun	0
ger|und	ger|und	9	ger|und	0
gez	gez	2	gez	0
gic|heb	gic|heb	1	gic|heb	0
gle	gle	1	gle	0
glg	glg	3	glg	0
gmh	gmh	5	gmh	0
grc	grc	559	grc	0
grc|cop	grc|cop	1	grc|cop	0
grc|fin	grc|fin	2	grc|fin	0
grc|hbr	grc|hbr	1	grc|hbr	0
grc|heb	grc|heb	18	grc|heb	0
grc|heb|eng	grc|heb|eng	2	grc|heb|eng	0
grc|lat	grc|lat	12	grc|lat	0
grc|lat|cop	grc|lat|cop	1	grc|lat|cop	0
grc|nor	grc|nor	5	grc|nor	0
grc|syc	grc|syc	1	grc|syc	0
gre	gre	163	gre	0
gre|eng	gre|eng	2	gre|eng	0
gre|fre	gre|fre	1	gre|fre	0
gre|tur	gre|tur	1	gre|tur	0
guj	guj	2	guj	0
heb	heb	156	heb	0
heb|arc	heb|arc	1	heb|arc	0
heb|arc|grc	heb|arc|grc	2	heb|arc|grc	0
heb|eng	heb|eng	7	heb|eng	0
heb|grc	heb|grc	357	heb|grc	0
heb|grc|arc	heb|grc|arc	2	heb|grc|arc	0
heb|grc|ger	heb|grc|ger	1	heb|grc|ger	0
heb|swe	heb|swe	1	heb|swe	0
hin	hin	3	hin	0
hin|ara	hin|ara	1	hin|ara	0
hin|ben	hin|ben	6	hin|ben	0
hrv	hrv	16	hrv	0
hrv|por|chi|ast|glg	hrv|por|chi|ast|glg	1	hrv|por|chi|ast|glg	0
hsb|dsb	hsb|dsb	1	hsb|dsb	0
hun	hun	431	hun	0
hun|eng	hun|eng	1	hun|eng	0
hun|eng|und	hun|eng|und	1	hun|eng|und	0
ice	ice	245	ice	0
ice|fin	ice|fin	2	ice|fin	0
inc	inc	11	inc	0
ind	ind	3	ind	0
ira	ira	1	ira	0
ita	ita	2438	ita	0.2
ita|eng	ita|eng	104	ita|eng	0
ita|eng|dut	ita|eng|dut	1	ita|eng|dut	0
ita|fin	ita|fin	2	ita|fin	0
ita|fre	ita|fre	2	ita|fre	0
ita|hun|fre	ita|hun|fre	1	ita|hun|fre	0
ita|lat	ita|lat	1	ita|lat	0
ita|mlt	ita|mlt	1	ita|mlt	0
ita|spa	ita|spa	1	ita|spa	0
ita|spa|hun|srp|rus	ita|spa|hun|srp|rus	1	ita|spa|hun|srp|rus	0
ita|swe	ita|swe	3	ita|swe	0
ita|und	ita|und	2	ita|und	0
jpn	jpn	1465	jpn	0.1
jpn|eng	jpn|eng	21	jpn|eng	0
jpn|fin	jpn|fin	8	jpn|fin	0
jpn|ger	jpn|ger	1	jpn|ger	0
kik	kik	2	kik	0
kir	kir	1	kir	0
kor	kor	130	kor	0
krl	krl	2	krl	0
kur	kur	11	kur	0
lat	lat	488	lat	0
lat|eng	lat|eng	2	lat|eng	0
lat|fre	lat|fre	1	lat|fre	0
lat|fre|eng|ger	lat|fre|eng|ger	1	lat|fre|eng|ger	0
lat|ger	lat|ger	5	lat|ger	0
lat|grc	lat|grc	4	lat|grc	0
lat|heb|grc	lat|heb|grc	7	lat|heb|grc	0
lat|kom	lat|kom	1	lat|kom	0
lat|swe	lat|swe	1	lat|swe	0
lav	lav	47	lav	0
lav|lit	lav|lit	1	lav|lit	0
lit	lit	27	lit	0
lit|rus	lit|rus	1	lit|rus	0
mac	mac	2	mac	0
mal	mal	3	mal	0
mis	mis	1	mis	0
mlt	mlt	1	mlt	0
mon	mon	2	mon	0
mul	mul	555	mul	0
myv|mdf	myv|mdf	1	myv|mdf	0
nah	nah	1	nah	0
nai|cai|sai	nai|cai|sai	1	nai|cai|sai	0
ndo	ndo	3	ndo	0
non	non	15	non	0
nor	nor	3522	nor	0.3
nor|dan	nor|dan	4	nor|dan	0
nor|dan|swe	nor|dan|swe	1	nor|dan|swe	0
nor|eng	nor|eng	2	nor|eng	0
nor|fao	nor|fao	1	nor|fao	0
nor|fin	nor|fin	3	nor|fin	0
nor|ger	nor|ger	1	nor|ger	0
nor|swe	nor|swe	5	nor|swe	0
nor|vie	nor|vie	1	nor|vie	0
per	per	47	per	0
per|ara	per|ara	1	per|ara	0
pli	pli	5	pli	0
pol	pol	299	pol	0
pol|eng	pol|eng	1	pol|eng	0
pol|fre	pol|fre	1	pol|fre	0
pol|rus	pol|rus	2	pol|rus	0
por	por	276	por	0
por|eng	por|eng	3	por|eng	0
pus	pus	4	pus	0
rom	rom	1	rom	0
rum	rum	31	rum	0
rum|fin	rum|fin	1	rum|fin	0
run	run	1	run	0
rus	rus	5567	rus	0.5
rus|chm|myv	rus|chm|myv	1	rus|chm|myv	0
rus|eng	rus|eng	6	rus|eng	0
rus|eng|nor|dan|swe|fre|hun	rus|eng|nor|dan|swe|fre|hun	1	rus|eng|nor|dan|swe|fre|hun	0
rus|est	rus|est	3	rus|est	0
rus|fin	rus|fin	5	rus|fin	0
rus|fre	rus|fre	1	rus|fre	0
rus|ger	rus|ger	4	rus|ger	0
