Term	Count	Frequency
	478959	65.3
1947-	4616	0.6
1948-	4191	0.6
1950-	4032	0.6
1951-	3980	0.5
1946-	3933	0.5
1945-	3844	0.5
1949-	3825	0.5
1954-	3619	0.5
1952-	3474	0.5
1944-	3374	0.5
1941-	3371	0.5
1955-	3346	0.5
1942-	3326	0.5
1964-	3282	0.4
1958-	3228	0.4
1957-	3178	0.4
1953-	3077	0.4
1962-	3064	0.4
1966-	2997	0.4
1967-	2977	0.4
1963-	2962	0.4
1943-	2935	0.4
1956-	2854	0.4
1961-	2783	0.4
1968-	2745	0.4
1959-	2695	0.4
1940-	2619	0.4
1965-	2617	0.4
1960-	2614	0.4
1939-	2505	0.3
1975-	2398	0.3
1974-	2346	0.3
1969-	2333	0.3
1972-	2288	0.3
1938-	2251	0.3
1970-	2183	0.3
1976-	2172	0.3
1971-	2146	0.3
1977-	2143	0.3
1973-	2130	0.3
1979-	1937	0.3
1978-	1901	0.3
1980-	1719	0.2
1982-	1698	0.2
1981-	1670	0.2
1936-	1648	0.2
1935-	1633	0.2
1937-	1502	0.2
1934-	1436	0.2
1932-	1399	0.2
1983-	1393	0.2
1933-	1302	0.2
1984-	1232	0.2
1930-	1178	0.2
1985-	1146	0.2
1931-	1035	0.1
1929-	1016	0.1
1928-	933	0.1
1986-	930	0.1
1987-	876	0.1
1926-	793	0.1
1988-	787	0.1
1924-	761	0.1
1927-	740	0.1
1908-1979.	622	0.1
1989-	591	0.1
1925-	578	0.1
1923-	560	0.1
1804-1877.	537	0.1
1922-	514	0.1
1818-1898.	495	0.1
1992-	485	0.1
1990-	481	0.1
1901-2000,	481	0.1
1914-2001.	474	0.1
1919-	431	0.1
1921-	385	0.1
1920-	382	0.1
1991-	366	0
1917-	344	0
1918-	330	0
1483-1546.	310	0
1912-	295	0
1593-1657,	294	0
1739-1804,	286	0
1890-1976.	269	0
1861-1921.	269	0
1911-	265	0
1878-1926.	261	0
1942-2018.	255	0
1915-2003.	255	0
1915-	255	0
1818-1898,	252	0
1909-	244	0
1908-	243	0
1916-	236	0
1914-2001,	236	0
1906-	233	0
1914-	222	0
1905-	218	0
1904-	216	0
1608-1670,	197	0
1933-2020.	196	0
1878-1954.	191	0
1919-1994.	190	0
1921-1993.	188	0
1903-	187	0
1931-2008.	186	0
1913-	186	0
1684-1771,	186	0
1906-1998.	185	0
1873-1956.	183	0
1993-	182	0
1876-1916,	180	0
1928-2015.	179	0
1907-	174	0
1875-1934.	174	0
1888-1964.	173	0
1834-1872,	173	0
1728-1801,	171	0
1617-1688,	166	0
1715-1773,	152	0
1875-1958.	149	0
1917-2009.	148	0
1927-2006.	146	0
1907-2002.	143	0
1869-1913.	135	0
1946-2020.	134	0
1925-2020.	134	0
1902-	132	0
1828-1910.	132	0
1936-2011.	129	0
1905-1995.	129	0
1834-1872.	129	0
1906-1976.	125	0
1904-1986.	124	0
1805-1875.	124	0
1904-1981.	123	0
1794-1846,	122	0
1925-2011.	120	0
1927-2009.	119	0
1918-2016.	119	0
1924-1985.	117	0
1564-1616.	117	0
1926-2011.	115	0
1650-1718,	115	0
1936-2023.	113	0
1920-1992.	112	0
1910-1995.	112	0
1944-2023.	111	0
1828-1905.	110	0
1929-2015.	108	0
1913-2002.	108	0
1906-1998,	108	0
1712-1786,	108	0
1926-1977.	107	0
1876-1955.	107	0
1874-1959.	106	0
1885-1962.	105	0
1904-1984.	103	0
1716-1779,	103	0
1900-1986.	102	0
1907-2002,	101	0
1905-1985.	101	0
1908-1973.	100	0
1892-1983.	98	0
1876-1953.	98	0
1875-1933.	98	0
1870-1924.	98	0
1911-1982.	97	0
1910-	97	0
1899-1973.	97	0
1885-1963.	97	0
1878-1956.	97	0
1912-1995.	96	0
1897-1994.	96	0
1890-1968.	96	0
1878-1953.	96	0
1905-1986.	95	0
1861-1925.	95	0
1909-1993.	94	0
1890-1966.	94	0
1886-1975.	92	0
1868-1918.	92	0
1842-1936.	92	0
1908-1998.	91	0
1861-1932.	91	0
1844-1897.	91	0
1812-1870.	91	0
1657-1729,	91	0
1940-2022.	90	0
1921-2004.	90	0
1908-1979,	90	0
1898-1976.	90	0
1901-	89	0
1900-1982.	89	0
1874-1970.	89	0
1942-2018,	88	0
1903-1983.	88	0
1863-1931.	88	0
1785-1863.	88	0
1864-1935.	87	0
1644-1692,	87	0
1855-1924.	86	0
1880-1939.	85	0
1867-1948.	85	0
1802-1870.	85	0
1923-2013.	84	0
1923-2007.	84	0
1876-1946.	84	0
1871-1951.	84	0
1929-2007.	83	0
1918-2004.	83	0
1907-1985.	83	0
1878-1932.	83	0
1860-1939.	83	0
1628-1705,	83	0
1937-1989.	82	0
1892-1970.	82	0
1828-1910,	82	0
1936-2020.	81	0
1916-2003.	81	0
1859-1931.	81	0
1933-2022.	80	0
1932-2015.	80	0
1931-2002.	80	0
1893-1972.	80	0
1885-1964.	80	0
1885-1950.	79	0
1948-2020.	78	0
1932-2022.	78	0
1910-1967.	78	0
1906-1993.	78	0
1904-1989.	78	0
1874-1938.	78	0
1869-1947.	78	0
1850-1894.	78	0
1953-2021.	77	0
1901-1989.	77	0
1874-1952.	77	0
1724-1804,	77	0
1929-2012.	76	0
1895-1963.	76	0
1893-1975.	76	0
1835-1910.	76	0
1835-1888.	76	0
1941-2020.	75	0
1935-2017.	75	0
1934-2021.	75	0
1891-1985.	75	0
1700-1776,	75	0
1651-1700,	75	0
1939-2017.	74	0
1938-2022.	74	0
1935-2020.	74	0
1887-1951.	74	0
1879-1965.	74	0
1873-1948,	74	0
1924-1997.	73	0
1924-1984.	73	0
1918-1997.	73	0
1913-1998.	73	0
1906-1992.	73	0
1904-1972.	73	0
1931-2022.	72	0
1890-1972.	72	0
1866-1937.	72	0
1861-1921,	72	0
1859-1943.	72	0
1855-1922.	72	0
kuollut 1714,	71	0
1943-2019.	71	0
1921-2006.	71	0
1917-1977.	71	0
1905-1955.	71	0
1899-1989.	71	0
1879-1966.	71	0
1867-1938.	71	0
1818-1883.	71	0
1947-2010.	70	0
1937-1983.	70	0
1928-2012.	70	0
1881-1956.	70	0
1881-1934.	70	0
1858-1923.	70	0
1994-	69	0
1928-2019.	69	0
1907-1988.	69	0
1906-1969.	69	0
1901-2000.	69	0
1806-1881.	69	0
1615-1690.	69	0
1937-2005.	68	0
1927-2001.	68	0
1848-1924.	68	0
1727-1797,	68	0
1906-1979.	67	0
1900-	67	0
1891-1966.	67	0
1884-1960,	67	0
1874-1942.	67	0
1870-1958.	67	0
1953-2023.	66	0
1938-2021.	66	0
1919-2000.	66	0
1896-1972.	66	0
1895-1973.	66	0
1894-1982.	66	0
1892-1955.	66	0
1887-1957,	66	0
1887-1956.	66	0
1886-1954.	66	0
1871-1951,	66	0
1870-1947.	66	0
1862-1925.	66	0
1945-2002.	65	0
1937-2019.	65	0
1920-1999.	65	0
1878-1956,	65	0
1939-2022.	64	0
1937-2022.	64	0
1926-2004.	64	0
1920-2009.	64	0
1898-1977.	64	0
1868-1932.	64	0
1864-1933.	64	0
1864-1932.	64	0
1802-1870,	64	0
1760-1852,	64	0
1633-1694,	64	0
1995-	63	0
1922-2019.	63	0
1916-1994.	63	0
1910-1986.	63	0
1898-1971.	63	0
1897-1988.	63	0
1876-1954.	63	0
1871-1967.	63	0
1862-1930.	63	0
1851-1938.	63	0
1821-1881.	63	0
1930-1999.	62	0
1928-2013.	62	0
1924-2013.	62	0
1905-1982.	62	0
1902-1973.	62	0
1893-1968.	62	0
1624-1700.	62	0
1930-2022.	61	0
1917-2002.	61	0
1906-1971.	61	0
1897-1966.	61	0
1892-1976.	61	0
1888-1963.	61	0
1886-1954,	61	0
1879-1951,	61	0
1875-1936.	61	0
1871-1955.	61	0
1860-1904.	61	0
1711-1776.	61	0
1920-2008.	60	0
1907-1996.	60	0
1892-1923.	60	0
1891-1980.	60	0
1889-1962.	60	0
1878-1961.	60	0
1874-1966.	60	0
1867-1914.	60	0
1811-1893.	60	0
1722-1803,	60	0
1932-2002.	59	0
1930-2010.	59	0
1918-2009.	59	0
1908-2001.	59	0
1908-1995.	59	0
1879-1943.	59	0
1850-1913.	59	0
1848-1928.	59	0
1845-1928.	59	0
1843-1929.	59	0
1706-1783,	59	0
1907-1979.	58	0
1900-1961.	58	0
1891-1982.	58	0
1879-1961.	58	0
1862-1939.	58	0
1564-1616,	58	0
1953-2021,	57	0
1908-1986.	57	0
1906-1971,	57	0
1893-1978.	57	0
1892-1985.	57	0
1870-1946.	57	0
1832-1901.	57	0
1661-1729,	57	0
1931-2014.	56	0
1900-1970.	56	0
1891-1972.	56	0
1889-1958.	56	0
1879-1956.	56	0
1871-1936.	56	0
1860-1898.	56	0
1652-1711,	56	0
1941-2000.	55	0
1938-2011.	55	0
1930-2004.	55	0
1924-1988.	55	0
1915-2001.	55	0
1899-1971.	55	0
1852-1936.	55	0
1846-1906.	55	0
1783-1868,	55	0
1779-1860,	55	0
1660-1704,	55	0
1931-2019.	54	0
1895-1980.	54	0
1888-1942.	54	0
1884-1960.	54	0
1874-1959,	54	0
1868-1936.	54	0
1802-1872.	54	0
1964-2022.	53	0
1933-1998.	53	0
1907-1987.	53	0
1891-1963.	53	0
1889-1970.	53	0
1879-1958.	53	0
1863-1917.	53	0
1849-1919.	53	0
1941-1998.	52	0
1930-2000.	52	0
1921-1987.	52	0
1915-1980.	52	0
1911-1987.	52	0
1907-1998.	52	0
1901-1972.	52	0
1889-1957.	52	0
1880-1949.	52	0
1850-1907.	52	0
1785-1848,	52	0
1939-2018.	51	0
1929-2006.	51	0
1926-2016.	51	0
1922-2006.	51	0
1911-1999.	51	0
1881-1964.	51	0
1879-1946.	51	0
1858-1940,	51	0
1934-2022.	50	0
1927-2022.	50	0
1920-1981.	50	0
1912-1983.	50	0
1909-1990.	50	0
1908-1993.	50	0
1898-1974.	50	0
1893-1944.	50	0
1888-1935.	50	0
1870-1933.	50	0
1864-1946.	50	0
1838-1919.	50	0
1965-2021,	49	0
1925-2013.	49	0
1918-1993.	49	0
1917-2001.	49	0
1907-1960,	49	0
1893?-1975.	49	0
1890-1976,	49	0
1888-1925.	49	0
1883-1965.	49	0
1873-1950.	49	0
1854-1932.	49	0
1830-1907.	49	0
1706-1769,	49	0
1946-2018.	48	0
1932-2012.	48	0
1931-2016.	48	0
1902-1980.	48	0
1900-1989.	48	0
1899-1961.	48	0
1888-1982.	48	0
1888-1953.	48	0
1873-1948.	48	0
1867-1951.	48	0
1849-1912.	48	0
1828-1905,	48	0
1926-2010.	47	0
1896-1986.	47	0
1893-1967.	47	0
1893-1952,	47	0
1891-1965.	47	0
1888-1962.	47	0
1886-1964.	47	0
1886-1957.	47	0
1870-1952.	47	0
1860-1924.	47	0
1853-1923.	47	0
1847-1914.	47	0
1922-1992.	46	0
1914-2000.	46	0
1913-1982.	46	0
1909-2000.	46	0
1900-1980.	46	0
1895-	46	0
1885-1931.	46	0
1875-1954.	46	0
1872-1950.	46	0
1867-1960.	46	0
1846-1928.	46	0
1749-1832.	46	0
kuollut 1664,	45	0
1948-2011.	45	0
1931-2007.	45	0
1916-1997.	45	0
1903-1995.	45	0
1899-1978.	45	0
1896-1975.	45	0
1889-1955.	45	0
1882-1961.	45	0
1880-1943.	45	0
1878-1947.	45	0
1873-1940.	45	0
1862-1919.	45	0
1831-1891.	45	0
1816-1868.	45	0
1919-1999.	44	0
1916-2002.	44	0
1912-1998.	44	0
1905-1987.	44	0
1900-1964.	44	0
1896-1961.	44	0
1895-1981.	44	0
1888-1952.	44	0
1882-1972.	44	0
1882-1969.	44	0
1877-1963.	44	0
1876-1962.	44	0
1874-1957.	44	0
1802-1884.	44	0
1731-1773,	44	0
1930-2019.	43	0
1929-1998.	43	0
1920-2007.	43	0
1914-1995.	43	0
1909-1998.	43	0
1907-2006.	43	0
1904-1992.	43	0
1900-1944.	43	0
1891-1947.	43	0
1889-1963.	43	0
1885-1948.	43	0
1883-1937.	43	0
1879-1969.	43	0
1865-1936,	43	0
1861-1949.	43	0
1859-1947.	43	0
1858-1927.	43	0
1850-1916.	43	0
1827-1913.	43	0
1946-2010.	42	0
1927-2014.	42	0
1925-1984.	42	0
1924-2002.	42	0
1922-1993.	42	0
1916-1993.	42	0
1915-1967.	42	0
1913-1994.	42	0
1912-1986.	42	0
1910-1983.	42	0
1908-1999.	42	0
1907-1975.	42	0
1906-1985.	42	0
1906-1958.	42	0
1904-2004.	42	0
1904-1961.	42	0
1902-1957.	42	0
1890-1969.	42	0
1884-1976.	42	0
1882-1965.	42	0
1877-1956.	42	0
1876-1947.	42	0
1870-1920.	42	0
1868-1939.	42	0
1863-1930.	42	0
1850-1901.	42	0
1850-1893.	42	0
1781-1855.	42	0
1706-1769.	42	0
1633-1696,	42	0
1945-2004.	41	0
1934-2012.	41	0
1933-2012.	41	0
1930-2013.	41	0
1924-2019.	41	0
1915-1993.	41	0
1908-1991.	41	0
1905-1991.	41	0
1903-1977.	41	0
1902-1974.	41	0
1898-1972,	41	0
1893-1960.	41	0
1891-1962.	41	0
1889-1975.	41	0
1883-1964.	41	0
1882-1942.	41	0
1882-1941.	41	0
1879-1922.	41	0
1877-1960.	41	0
1875-1944.	41	0
1870-1956.	41	0
1864-1944.	41	0
1864-1925.	41	0
1861-1939.	41	0
1840-1914.	41	0
1832-1910.	41	0
1794-1860,	41	0
1763-1831,	41	0
1609-1664,	41	0
1934-2020.	40	0
1929-2020.	40	0
1923-2011.	40	0
1919-2013.	40	0
1912-1990.	40	0
1907-1969.	40	0
1898-1972.	40	0
1893-1973.	40	0
1890-1960.	40	0
1890-1959.	40	0
1887-1946.	40	0
1874-1936.	40	0
1858-1934.	40	0
1854-1933.	40	0
1852-1933.	40	0
1851-1925.	40	0
1622-1679,	40	0
1943-2014.	39	0
1934-2018.	39	0
1925-2016.	39	0
1924-2020.	39	0
1921-1996.	39	0
1908-2006.	39	0
1907-1996,	39	0
1899-1987.	39	0
1898-1985.	39	0
1896-1977.	39	0
1893-1984.	39	0
1893-1961.	39	0
1884-1973.	39	0
1877-1935.	39	0
1876-1951.	39	0
1874-1939.	39	0
1873-1947.	39	0
1867-1925.	39	0
1864-1922.	39	0
1856-1910.	39	0
1842-1925.	39	0
1775-1844,	39	0
1660-1731.	39	0
1644-1692.	39	0
1940-2020.	38	0
1939-1995.	38	0
1933-1995.	38	0
1930-1997.	38	0
1907-1991.	38	0
1901-1984.	38	0
1894-1978.	38	0
1894-1977.	38	0
1894-1935.	38	0
1892-1979.	38	0
1891-1968.	38	0
1891-1951.	38	0
1890-1944.	38	0
1889-1949.	38	0
1887-1992.	38	0
1886-1962.	38	0
1884-1948,	38	0
1874-1943.	38	0
1872-1941.	38	0
1868-1936,	38	0
1804-1871,	38	0
1775-1817.	38	0
1743-1798,	38	0
1650-1707,	38	0
1944-1999.	37	0
1930-2021.	37	0
1917-2005.	37	0
1913-1997.	37	0
1913-1992.	37	0
