original	start_year	end_year	Count
	2000	2012	125
fin	1987	1987	119
fin	1989	1989	110
fin	1988	1990	106
fin	1985	1985	 97
fin	1990	1990	 96
fin	1992	1992	 93
fin	1939	1939	 91
fin	1986	1986	 91
fin	1988	1988	 90
fin	1980	1980	 88
fin	1991	1991	 87
fin	1984	1984	 87
fin	1997	1997	 83
fin	1994	1994	 83
fin	1983	1983	 83
fin	1944	1944	 82
fin	1976	1976	 82
fin	1991	1992	 81
fin	1990	1991	 80
fin	1988	1991	 80
fin	1993	1993	 79
fin	1982	1982	 79
fin	1956	1956	 77
fin	1995	1995	 76
fin	1941	1941	 76
fin	1981	1981	 76
fin	1929	1929	 75
fin	1988	1989	 73
fin	1992	1993	 72
fin	1949	1951	 71
fin	1989	1990	 71
fin	1942	1942	 70
fin	1975	1975	 70
fin	1930	1930	 69
fin	1987	1990	 69
fin	1989	1991	 69
fin	1987	1988	 68
fin	1931	1931	 67
fin	1932	1932	 67
fin	2001	2001	 67
fin	1993	1994	 66
fin	1957	1957	 65
fin	1972	1973	 65
fin	1973	1974	 65
fin	1973	1973	 65
fin	1988	1992	 65
fin	1949	1949	 64
fin	1986	1990	 63
fin	1987	1991	 63
fin	1960	1960	 62
fin	1938	1938	 61
fin	1951	1951	 61
fin	1974	1974	 61
fin	1945	1945	 60
fin	1946	1946	 60
fin	1947	1947	 59
fin	2000	2001	 59
fin	1990	1992	 59
fin	1940	1940	 59
fin	1996	1996	 59
fin	1994	1995	 58
fin	1999	1999	 58
fin	1948	1948	 57
fin	1987	1989	 57
fin	1991	1993	 57
fin	1972	1972	 57
fin	1962	1962	 57
fin	1921	1921	 55
fin	1953	1953	 55
fin	1963	1963	 55
fin	2002	2003	 55
fin	1986	1987	 54
fin	1969	1969	 54
fin	1970	1970	 54
fin	1975	1976	 54
fin	1992	1994	 54
fin	1918	1918	 53
fin	1933	1933	 53
fin	1942	1944	 53
fin	1908	1908	 52
fin	1997	1998	 52
fin	2000	2000	 52
fin	2001	2002	 52
fin	1917	1917	 51
fin	1943	1944	 51
fin	1971	1972	 51
fin	1980	1981	 51
fin	1998	1998	 51
fin	1973	1976	 51
fin	1996	1997	 50
fin	1950	1950	 50
fin	1985	1986	 49
fin	1936	1936	 49
fin	1919	1919	 49
fin	1901	1901	 48
fin	1943	1943	 48
fin	1955	1955	 48
fin	1985	1991	 47
fin	1934	1934	 47
fin	1935	1935	 47
fin	1993	1995	 47
fin	1994	1996	 47
fin	1989	1993	 47
fin	1985	1990	 47
fin	1984	1985	 47
fin	1906	1906	 46
fin	1982	1983	 46
fin	1920	1920	 46
fin	1942	1943	 46
fin	1971	1971	 46
fin	1958	1958	 46
fin	1979	1979	 46
fin	1912	1912	 45
fin	1996	1998	 45
fin	1941	1944	 45
fin	1978	1978	 45
fin	1968	1968	 45
fin	1959	1959	 45
fin	2001	2003	 45
fin	1997	1999	 45
fin	1910	1910	 44
fin	1974	1976	 44
fin	1983	1985	 44
fin	1998	2000	 44
fin	1999	2001	 44
fin	2002	2002	 43
fin	1974	1975	 43
fin	1924	1924	 43
fin	1999	2000	 43
fin	1981	1983	 42
fin	2008	2009	 42
fin	2009	2014	 42
fin	1940	1941	 42
fin	2000	2004	 42
fin	1973	1975	 42
fin	1986	1991	 42
fin	1980	1990	 42
fin	1989	1992	 42
fin	1913	1913	 41
fin	1930	1931	 41
fin	1970	1971	 41
fin	1947	1948	 41
fin	1987	1992	 40
fin	1937	1937	 40
fin	1941	1942	 40
fin	2003	2003	 40
fin	1979	1980	 40
fin	1961	1962	 40
fin	1927	1927	 40
fin	1983	1984	 40
fin	2000	2003	 40
fin	1993	1997	 40
fin	1990	1993	 40
fin	1954	1954	 39
fin	1961	1961	 39
fin	1991	1994	 39
fin	1972	1974	 39
fin	2006	2009	 39
fin	1966	1966	 39
fin	1995	1998	 39
fin	1998	2001	 39
fin	1995	1996	 39
fin	1925	1925	 39
fin	1981	1982	 39
fin	1984	1990	 38
fin	1922	1922	 38
fin	1950	1951	 38
fin	2008	2010	 38
fin	1938	1939	 38
fin	1952	1952	 38
fin	1962	1963	 38
fin	1999	2002	 38
fin	1982	1984	 38
fin	1909	1909	 37
fin	1923	1923	 37
fin	1996	1999	 37
fin	1995	1997	 37
fin	1984	1991	 36
fin	1986	1992	 36
fin	1990	1994	 36
fin	1994	1998	 36
fin	1926	1926	 36
fin	2000	2002	 36
fin	1977	1977	 36
fin	1936	1939	 36
fin	1980	1982	 36
fin	1983	1986	 36
fin	1902	1902	 35
fin	1988	1993	 35
fin	1983	1991	 35
fin	1968	1969	 35
fin	1949	1950	 35
fin	1997	2001	 35
fin	1993	1996	 35
fin	1985	1988	 35
fin	1915	1915	 34
fin	1996	2000	 34
fin	2013	2015	 34
fin	1937	1939	 34
fin	1972	1976	 34
fin	1945	1948	 34
fin	1991	1995	 34
fin	1907	1907	 34
fin	1984	1992	 34
fin	1983	1990	 33
fin	1984	1987	 33
fin	1916	1916	 33
fin	1992	1996	 33
fin	1992	1995	 33
fin	1956	1957	 33
fin	1971	1973	 33
fin	1964	1965	 33
fin	2004	2004	 32
fin	1900	1900	 32
fin	1936	1938	 32
fin	2001	2004	 32
fin	1967	1968	 32
fin	1999	2003	 32
fin	1995	1999	 31
fin	2012	2013	 31
fin	1905	1905	 31
fin	1964	1964	 31
fin	1914	1914	 31
fin	1998	1999	 31
fin	1987	1993	 31
fin	1986	1988	 31
fin	1986	1989	 30
fin	1911	1911	 30
fin	1936	1951	 30
fin	1975	1977	 30
fin	1954	1955	 30
fin	1997	2000	 30
fin	1981	1990	 29
fin	1982	1987	 29
fin	2008	2012	 29
fin	1994	1997	 29
