original	language_count	multilingual	languages	language_primary	Count	Percentage
Finnish	 1	FALSE	Finnish	Finnish	33674	52.2
Swedish	 1	FALSE	Swedish	Swedish	19107	29.62
Finnish;Swedish	 2	TRUE	Finnish;Swedish	Finnish	 2021	3.13
German	 1	FALSE	German	German	 1988	3.08
Latin	 1	FALSE	Latin	Latin	 1662	2.58
Russian	 1	FALSE	Russian	Russian	 1587	2.46
Undetermined	 0	FALSE	Undetermined	Undetermined	  929	1.44
French	 1	FALSE	French	French	  628	0.97
English	 1	FALSE	English	English	  425	0.66
Swedish;Finnish	 2	TRUE	Swedish;Finnish	Swedish	  170	0.26
Danish	 1	FALSE	Danish	Danish	  145	0.22
Finnish;German	 2	TRUE	Finnish;German	Finnish	  144	0.22
Finnish;Swedish;Multiple languages	 3	TRUE	Finnish;Swedish;Multiple languages	Finnish	  130	0.2
Swedish;Latin	 2	TRUE	Swedish;Latin	Swedish	  111	0.17
Finnish;Russian	 2	TRUE	Finnish;Russian	Finnish	  110	0.17
Finnish;English	 2	TRUE	Finnish;English	Finnish	  100	0.16
Estonian	 1	FALSE	Estonian	Estonian	   95	0.15
Finnish;French	 2	TRUE	Finnish;French	Finnish	   68	0.11
Norwegian	 1	FALSE	Norwegian	Norwegian	   61	0.09
Multiple languages	 1	FALSE	Multiple languages	Multiple languages	   61	0.09
Swedish;Russian	 2	TRUE	Swedish;Russian	Swedish	   59	0.09
Swedish;French	 2	TRUE	Swedish;French	Swedish	   57	0.09
Finnish;Latin	 2	TRUE	Finnish;Latin	Finnish	   57	0.09
Latin;Swedish	 2	TRUE	Latin;Swedish	Latin	   54	0.08
Finnish;Swedish;Russian	 3	TRUE	Finnish;Swedish;Russian	Finnish	   52	0.08
Swedish;German	 2	TRUE	Swedish;German	Swedish	   42	0.07
Italian	 1	FALSE	Italian	Italian	   40	0.06
Hungarian	 1	FALSE	Hungarian	Hungarian	   39	0.06
Latin;Greek, Ancient (to 1453);Swedish	 3	TRUE	Latin;Greek, Ancient (to 1453);Swedish	Latin	   35	0.05
