Name	Count
1947-	7471
1948-	6828
1951-	6612
1950-	6462
1946-	6394
1945-	6267
1949-	6229
1954-	5894
1952-	5645
1944-	5570
1941-	5480
1955-	5450
1942-	5388
1964-	5295
1958-	5224
1957-	5063
1953-	5015
1962-	4930
1966-	4906
1967-	4868
1963-	4850
1943-	4752
1956-	4561
1961-	4514
1959-	4468
1968-	4434
1965-	4283
1960-	4248
1940-	4156
1939-	4110
1975-	3857
1969-	3805
1974-	3753
1938-	3719
1972-	3690
1976-	3579
1970-	3558
1973-	3501
1971-	3462
1977-	3355
1979-	3081
1978-	3054
1980-	2760
1936-	2721
1981-	2667
1982-	2657
1935-	2646
1937-	2614
1934-	2300
1983-	2215
1932-	2208
1933-	2131
1984-	1939
1930-	1898
1985-	1809
1931-	1681
1929-	1670
1928-	1473
1986-	1439
1987-	1347
1927-	1248
1926-	1232
1988-	1216
1924-	1183
1908-1979.	 996
1925-	 951
1989-	 928
1923-	 905
1804-1877.	 862
1922-	 853
1818-1898.	 816
1914-2001.	 784
1901-2000,	 770
1990-	 767
1992-	 749
1919-	 676
1920-	 644
1921-	 595
1991-	 565
1917-	 556
1918-	 532
1483-1546.	 496
1861-1921.	 473
1912-	 473
1890-1976.	 440
1818-1898,	 438
1739-1804,	 435
1942-2018.	 433
1915-	 429
1878-1926.	 425
1915-2003.	 425
1911-	 404
1593-1657,	 399
1909-	 387
1914-2001,	 383
1916-	 382
1914-	 376
1908-	 374
1904-	 366
1906-	 362
1873-1956.	 348
1905-	 341
1933-2020.	 327
1876-1916,	 319
1878-1954.	 309
1993-	 306
1903-	 304
1906-1998.	 300
1928-2015.	 300
1913-	 299
1919-1994.	 297
1888-1964.	 290
1921-1993.	 281
1907-	 280
1608-1670,	 277
1875-1934.	 275
1684-1771,	 270
1834-1872,	 270
1931-2008.	 261
1728-1801,	 238
1907-2002.	 235
1617-1688,	 234
1927-2006.	 228
1902-	 227
1936-2011.	 216
1917-2009.	 215
1925-2020.	 214
1869-1913.	 212
1927-2009.	 212
1946-2020.	 212
1828-1905.	 204
1905-1995.	 203
1794-1846,	 201
1834-1872.	 201
1875-1958.	 199
1920-1992.	 199
1805-1875.	 198
1918-2016.	 198
1904-1981.	 196
1828-1910.	 195
1906-1976.	 195
1925-2011.	 195
1715-1773,	 194
1924-1985.	 194
1650-1718,	 189
1564-1616.	 187
1876-1955.	 187
1936-2023.	 184
1944-2023.	 183
1926-2011.	 180
1904-1986.	 178
1899-1973.	 175
1910-	 175
1874-1959.	 174
1897-1994.	 173
1716-1779,	 172
1910-1995.	 172
1913-2002.	 172
1926-1977.	 172
1901-	 170
1890-1966.	 169
1905-1985.	 168
1876-1953.	 165
1892-1983.	 165
1906-1998,	 165
1908-1998.	 165
1931-2002.	 165
1907-2002,	 164
1890-1968.	 163
1878-1956.	 161
1885-1962.	 161
1870-1924.	 160
1842-1936.	 159
1861-1925.	 159
1878-1953.	 159
1921-2004.	 159
1886-1975.	 158
1864-1935.	 157
1875-1933.	 157
1904-1984.	 156
1929-2007.	 156
1929-2015.	 156
1712-1786,	 155
1874-1938.	 155
1905-1986.	 154
1868-1918.	 153
1908-1973.	 152
1912-1995.	 152
1898-1976.	 151
1844-1897.	 149
1828-1910,	 148
1871-1951.	 148
1911-1982.	 148
1861-1932.	 147
1885-1963.	 147
1855-1924.	 146
1871-1951,	 146
1874-1970.	 146
1903-1983.	 146
1700-1776,	 145
1881-1934.	 145
1923-2013.	 144
1900-1986.	 143
1901-2000.	 143
1916-2003.	 141
1879-1965.	 139
1887-1951.	 138
1908-1979,	 138
1918-2004.	 138
1785-1863.	 137
1802-1870.	 137
1855-1922.	 137
1860-1939.	 137
1863-1931.	 137
1909-1993.	 136
1941-2020.	 136
1906-1969.	 135
1933-2022.	 135
1812-1870.	 134
1919-2000.	 134
1869-1947.	 133
1615-1690.	 132
1876-1946.	 132
1885-1964.	 132
1724-1804,	 130
1929-2012.	 130
1948-2020.	 130
1644-1692,	 129
1923-2007.	 129
1937-2005.	 129
1651-1700,	 128
1906-1993.	 128
1936-2020.	 128
1835-1910.	 127
1859-1931.	 127
1873-1948,	 127
1895-1963.	 127
1932-2015.	 127
1938-2022.	 127
1940-2022.	 127
1942-2018,	 127
1880-1939.	 126
1884-1960,	 126
1893-1968.	 126
1907-1985.	 126
1953-2021.	 126
1868-1932.	 125
1900-1982.	 125
1821-1881.	 124
1867-1948.	 124
1904-1972.	 124
1892-1970.	 123
1893-1975.	 123
1918-1997.	 123
1932-2022.	 123
1937-1989.	 123
1874-1952.	 122
1893-1972.	 122
1657-1729,	 121
1901-1989.	 121
1913-1998.	 121
1818-1883.	 120
1924-1997.	 120
1934-2021.	 120
1867-1938.	 119
1871-1967.	 119
1885-1950.	 119
1874-1942.	 118
1886-1954.	 118
1899-1989.	 118
1888-1963.	 117
1910-1967.	 117
1727-1797,	 116
1864-1933.	 116
1895-1973.	 116
1938-2021.	 116
1806-1881.	 115
1858-1923.	 115
1928-2012.	 115
1878-1932.	 114
1861-1921,	 113
1862-1925.	 113
1900-	 113
1930-1999.	 113
1866-1937.	 112
1897-1988.	 112
1916-1994.	 112
1935-2017.	 112
1935-2020.	 112
1628-1705,	 111
1835-1888.	 111
1904-1989.	 111
1907-1988.	 110
1910-1986.	 110
1947-2010.	 110
1953-2023.	 110
kuollut 1714,	 110
1661-1729,	 109
1881-1956.	 109
1905-1955.	 109
1906-1979.	 109
1907-1996.	 109
