Name	Count	Percentage
Finnish	833893	70.20
English	133425	11.23
Swedish	115142	 9.69
Undetermined	 50515	 4.25
German	 15557	 1.31
Latin	 11673	 0.98
Russian	  5579	 0.47
Multiple languages	  4367	 0.37
French	  4266	 0.36
Danish	  1731	 0.15
Estonian	  1681	 0.14
Norwegian	  1349	 0.11
Spanish	  1198	 0.10
Italian	   880	 0.07
Sami	   797	 0.07
Hungarian	   682	 0.06
Dutch	   480	 0.04
Polish	   393	 0.03
Japanese	   375	 0.03
Czech	   335	 0.03
Karelian	   328	 0.03
Latvian	   220	 0.02
Afroasiatic (Other)	   198	 0.02
Finno-Ugrian (Other)	   197	 0.02
Esperanto	   170	 0.01
Lithuanian	   166	 0.01
Portuguese	   151	 0.01
Northern Sami	   141	 0.01
Icelandic	   138	 0.01
Chinese	   130	 0.01
Turkish	   110	 0.01
Bulgarian	   104	 0.01
Slovenian	    87	 0.01
Romanian	    86	 0.01
Slovak	    75	 0.01
Greek, Modern (1453-)	    70	 0.01
Ukrainian	    69	 0.01
Arabic	    68	 0.01
Greek, Ancient (to 1453)	    61	 0.01
Croatian	    58	 0.00
Hebrew	    58	 0.00
Tatar	    58	 0.00
Somali	    53	 0.00
Ndonga	    52	 0.00
Albanian	    43	 0.00
Afrikaans	    40	 0.00
Persian	    35	 0.00
Mari	    34	 0.00
Serbian	    34	 0.00
Inari Sami	    27	 0.00
Vietnamese	    25	 0.00
Korean	    24	 0.00
Swahili	    22	 0.00
Bantu (Other)	    21	 0.00
Faroese	    21	 0.00
Komi	    20	 0.00
Catalan	    17	 0.00
Kurdish	    16	 0.00
Romani	    15	 0.00
Skolt Sami	    13	 0.00
Udmurt	    13	 0.00
Moksha	    12	 0.00
Belarusian	    11	 0.00
Galician	     9	 0.00
Thai	     9	 0.00
Armenian	     8	 0.00
Germanic (Other)	     8	 0.00
Indo-European (Other)	     8	 0.00
Erzya	     7	 0.00
Hindi	     6	 0.00
Norwegian (Bokmål)	     6	 0.00
Welsh	     6	 0.00
Indic (Other)	     5	 0.00
Basque	     4	 0.00
Chuvash	     4	 0.00
French, Old (ca. 842-1300)	     4	 0.00
Georgian	     4	 0.00
Indonesian	     4	 0.00
Malay	     4	 0.00
Sanskrit	     4	 0.00
Votic	     4	 0.00
Filipino	     3	 0.00
Kyrgyz	     3	 0.00
Lule Sami	     3	 0.00
Papuan (Other)	     3	 0.00
Swiss German	     3	 0.00
Yiddish	     3	 0.00
Akan	     2	 0.00
Burmese	     2	 0.00
Chechen	     2	 0.00
Gujarati	     2	 0.00
Iranian (Other)	     2	 0.00
Kalâtdlisut	     2	 0.00
Kuanyama	     2	 0.00
Luo (Kenya and Tanzania)	     2	 0.00
Macedonian	     2	 0.00
Miscellaneous languages	     2	 0.00
Mongolian	     2	 0.00
No linguistic content	     2	 0.00
Nyanja	     2	 0.00
Oromo	     2	 0.00
Panjabi	     2	 0.00
Pushto	     2	 0.00
Romance (Other)	     2	 0.00
Tajik	     2	 0.00
Yoruba	     2	 0.00
Yupik languages	     2	 0.00
Aramaic	     1	 0.00
Artificial (Other)	     1	 0.00
Austronesian (Other)	     1	 0.00
Bengali	     1	 0.00
Berber (Other)	     1	 0.00
Bosnian	     1	 0.00
Chinook jargon	     1	 0.00
English, Middle (1100-1500)	     1	 0.00
Fula	     1	 0.00
Ido	     1	 0.00
Igbo	     1	 0.00
Irish	     1	 0.00
Kannada	     1	 0.00
Kazakh	     1	 0.00
Khmer	     1	 0.00
Khoisan (Other)	     1	 0.00
Kikuyu	     1	 0.00
Klingon (Artificial language)	     1	 0.00
Kongo	     1	 0.00
Lao	     1	 0.00
Low German	     1	 0.00
Malayalam	     1	 0.00
Marathi	     1	 0.00
Moldavian	     1	 0.00
Oriya	     1	 0.00
Ossetic	     1	 0.00
Semitic (Other)	     1	 0.00
Serer	     1	 0.00
Sign languages	     1	 0.00
Slavic (Other)	     1	 0.00
Southern Sami	     1	 0.00
Sumerian	     1	 0.00
Tai (Other)	     1	 0.00
Tamil	     1	 0.00
Tibetan	     1	 0.00
Tigré	     1	 0.00
Tongan	     1	 0.00
Turkmen	     1	 0.00
Urdu	     1	 0.00
Uzbek	     1	 0.00
Wolof	     1	 0.00
Xhosa	     1	 0.00
