Name	Count	Percentage
Finnish	777706	65.47
English	128669	10.83
Swedish	110307	 9.29
Undetermined	 50510	 4.25
Finnish;Swedish	 27330	 2.30
German	 13954	 1.17
Finnish;English	 12244	 1.03
Latin	  9954	 0.84
Finnish;Swedish;English	  6972	 0.59
Russian	  4886	 0.41
Multiple languages	  4360	 0.37
French	  3600	 0.30
English;Finnish	  3001	 0.25
Swedish;Finnish	  2454	 0.21
Finnish;German	  1763	 0.15
Estonian	  1543	 0.13
Danish	  1483	 0.12
Norwegian	  1237	 0.10
German;Finnish	  1164	 0.10
Finnish;Swedish;English;German	  1125	 0.09
Spanish	   866	 0.07
Finnish;Russian	   855	 0.07
Italian	   738	 0.06
Latin;Swedish	   647	 0.05
Hungarian	   620	 0.05
Finnish;French	   570	 0.05
Russian;Finnish	   532	 0.04
Swedish;English	   516	 0.04
Sami	   479	 0.04
French;Finnish	   475	 0.04
Dutch	   455	 0.04
Finnish;Latin	   418	 0.04
English;German	   408	 0.03
Swedish;Danish;Norwegian	   399	 0.03
Polish	   369	 0.03
Swedish;Latin	   366	 0.03
Japanese	   338	 0.03
Czech	   327	 0.03
Spanish;Finnish	   299	 0.03
Karelian	   297	 0.03
Latin;Greek, Ancient (to 1453)	   285	 0.02
Finnish;English;German	   280	 0.02
English;Swedish	   269	 0.02
Finnish;Swedish;English;German;Russian	   252	 0.02
Finnish;Estonian	   226	 0.02
Latvian	   208	 0.02
Afroasiatic (Other)	   193	 0.02
English;French	   193	 0.02
Finnish;English;Russian	   190	 0.02
Finnish;Italian	   188	 0.02
Finnish;Swedish;Multiple languages	   177	 0.01
Finno-Ugrian (Other)	   169	 0.01
Finnish;Spanish	   163	 0.01
Lithuanian	   161	 0.01
Finnish;Swedish;German	   153	 0.01
Latin;French	   152	 0.01
Finnish;English;Swedish	   151	 0.01
German;Swedish	   149	 0.01
Latin;Finnish	   149	 0.01
English;Russian	   143	 0.01
Esperanto	   143	 0.01
Swedish;German	   142	 0.01
Icelandic	   133	 0.01
Sami;Northern Sami	   129	 0.01
Finnish;Sami	   127	 0.01
Finnish;Swedish;English;German;French	   123	 0.01
Portuguese	   119	 0.01
Finnish;Swedish;French	   116	 0.01
Finnish;English;French	   115	 0.01
Northern Sami	   113	 0.01
Danish;Norwegian;Swedish	   112	 0.01
English;German;French	   111	 0.01
Italian;Finnish	   108	 0.01
Swedish;French	   108	 0.01
Chinese	   107	 0.01
Bulgarian	   100	 0.01
Finnish;Hungarian	    95	 0.01
Turkish	    93	 0.01
Finnish;Norwegian	    91	 0.01
Slovenian	    86	 0.01
Swedish;Russian	    85	 0.01
Swedish;Finnish;English	    81	 0.01
Finnish;Swedish;Russian	    80	 0.01
Romanian	    79	 0.01
Latin;German	    78	 0.01
German;English	    76	 0.01
