Name	Count
Helsinki	26915
Porvoo	 3422
Turku	 3405
Tampere	 2426
Kuopio	 1481
Hämeenlinna	 1257
Vyborg	 1192
Kustannuspaikka tuntematon	 1163
Stockholm	 1135
Jyväskylä	 1036
Vaasa	  848
Pori	  701
St Petersburg	  650
Oulu	  647
Sortavala	  537
Mikkeli	  251
Rauma	  237
Hancock Mi	  225
Leipzig	  194
New York NY	  183
Kotka	  182
Lahti	  180
Tammisaari	  173
Hamina	  159
Berlin	  157
London	  154
Paris	  141
Fitchburg Ma	  138
Joensuu	  128
Kokkola	  118
Uppsala	  114
Copenhagen	  103
Savonlinna	   99
Hanko	   90
Pietarsaari	   90
Örebro	   88
Mariehamn	   69
Käkisalmi	   64
Uusikaupunki	   64
Lappeenranta	   59
Kristiinankaupunki	   57
Ashtabula Oh	   55
Duluth MN	   53
Kajaani	   51
Kaleva Mi	   50
Oslo	   47
Kemi	   44
Calumet Mi	   42
Moscow	   42
Raahe	   39
Heinola	   35
Loviisa	   34
Lund	   32
Budapest	   30
Astoria Or	   29
Port Arthur On	   28
Chicago IL	   26
Lapua	   25
Uusikaarlepyy	   25
Tartu	   24
Dresden	   22
Kruunupyy	   22
Stuttgart	   20
Superior Wi	   20
Braunschweig	   19
Gothenburg	   19
Kaskinen	   19
Parkano	   19
Hyvinkää	   18
Forssa	   16
Ironwood Mi	   16
Turenki	   16
Iisalmi	   15
Karjaa	   15
Espoo	   14
Tallinn	   14
Tornio	   14
Vienna	   14
München	   12
Salo	   12
Isokyrö	   11
Sairala	   11
Worcester Ma	   11
Haaparanta	   10
Jena	   10
New York Mills Mn	   10
Seinäjoki	   10
Halle	    9
Heidelberg	    9
Laihia	    9
Vilnius	    9
Hamburg	    8
Härnösand	    8
Rome	    8
Terijoki	    8
Warsaw	    8
Cambridge	    7
Eura	    7
Firenze	    7
Ishpeming Mi	    7
Jämsä	    7
Milan	    7
Parainen	    7
Quincy Ma	    7
Tübingen	    7
Tuntematon	    7
Vammala	    7
Weimar	    7
Zürich	    7
Almena Wi	    6
Amsterdam	    6
Bonn	    6
Isafjördur	    6
Jelgava	    6
Kouvola	    6
Peterburgʺ	    6
Piikkiö	    6
Reykjavik	    6
Riga	    6
Rovaniemi	    6
Vantaa	    6
Archangelsk	    5
Bergen	    5
Bern	    5
Boston Ma	    5
Cincinnati Oh	    5
Haapajärvi	    5
Kerava	    5
Lohja	    5
Malmö	    5
Odense	    5
Tromsö	    5
Wiesbaden	    5
Antwerp	    4
Brussels	    4
Gel singforsʺ	    4
Gießen	    4
Gotha	    4
Ikaalinen	    4
Karjalohja	    4
Kuortane	    4
Laitila	    4
Leeuwarden	    4
Loimaa	    4
Lübeck	    4
Madrid	    4
Montreal	    4
Odessa	    4
Oniipa	    4
Orivesi	    4
Parikkala	    4
Rostock	    4
Seattle WA	    4
The Hague	    4
