publication_year	original	Count
2020	2020-	27662
2021	2021-	27104
2022	2022-	25768
2019	2019-	21220
2018	2018-	19572
2012	2012-	19094
2007	2007-	18299
2017	2017-	18228
2006	2006-	17955
2013	2013-	17687
2011	2011-	17634
2008	2008-	17613
2016	2016-	17524
2005	2005-	17523
2000	2000-	17385
2010	2010-	17303
2015	2015-	17125
2014	2014-	16954
1999	1999-	16917
2004	2004-	16868
1997	1997-	16733
2009	2009-	16694
1996	1996-	16548
1995	1995-	16415
1998	1998-	16379
2001	2001-	16348
2003	2003-	16102
2002	2002-	16005
1994	1994-	15562
1991	1991-	15271
1990	1990-	15239
1992	1992-	15203
1993	1993-	15135
1989	1989-	15116
1986	1986-	14789
1988	1988-	14669
1987	1987-	14410
1985	1985-	14140
1984	1984-	13840
1983	1983-	13824
1982	1982-	13171
1981	1981-	12550
2023	2023-	12530
1980	1980-	11202
1979	1979-	10854
1978	1978-	 9955
1977	1977-	 9622
1975	1975-	 9151
1973	1973-	 9111
1974	1974-	 9061
1976	1976-	 9057
1972	1972-	 8611
1971	1971-	 7098
1970	1970-	 6741
1969	1969-	 6396
1967	1967-	 6347
1968	1968-	 6227
1966	1966-	 5036
1965	1965-	 5036
1964	1964-	 5018
2013	2013-9999	 4932
1961	1961-	 4486
1945	1945-	 4333
1946	1946-	 4301
1963	1963-	 4254
1962	1962-	 4206
1939	1939-	 4164
1955	1955-	 4143
1958	1958-	 4116
1957	1957-	 4077
1960	1960-	 4001
1938	1938-	 4000
1956	1956-	 3892
1959	1959-	 3827
1936	1936-	 3721
1952	1952-	 3686
1937	1937-	 3669
1948	1948-	 3666
1947	1947-	 3627
1953	1953-	 3626
1954	1954-	 3611
1949	1949-	 3337
1951	1951-	 3279
1941	1941-	 3272
1943	1943-	 3265
1935	1935-	 3263
1944	1944-	 3219
1940	1940-	 3209
1930	1930-	 3206
1950	1950-	 3186
1929	1929-	 3144
1932	1932-	 3080
1927	1927-	 3078
1942	1942-	 3067
1934	1934-	 3038
1928	1928-	 2988
1931	1931-	 2979
1933	1933-	 2936
1926	1926-	 2846
1924	1924-	 2840
1925	1925-	 2798
1923	1923-	 2701
1922	1922-	 2673
1919	1919-	 2613
1921	1921-	 2424
1920	1920-	 2410
1912	1912-	 2136
1917	1917-	 2101
1916	1916-	 2081
1908	1908-	 1975
1913	1913-	 1934
1915	1915-	 1933
1918	1918-	 1919
1910	1910-	 1909
1907	1907-	 1829
1909	1909-	 1797
1906	1906-	 1789
1911	1911-	 1719
1914	1914-	 1716
1903	1903-	 1341
1905	1905-	 1339
1904	1904-	 1289
1899	1899-	 1255
1902	1902-	 1211
1900	1900-	 1163
1901	1901-	 1160
1810	1810-1944	 1143
1990	1990-9999	 1035
1898	1898-	  998
1897	1897-	  930
1896	1896-	  887
1895	1895-	  879
1892	1892-	  863
1891	1891-	  855
1893	1893-	  841
1894	1894-	  838
1993	1993-9999	  729
1991	1991-9999	  729
1994	1994-9999	  718
1992	1992-9999	  714
1995	1995-9999	  693
1890	1890-	  685
2010	2010-9999	  678
1889	1889-	  654
2000	2000-9999	  653
1989	1989-9999	  596
1887	1887-	  578
2009	2009-9999	  575
1886	1886-	  565
1999	1999-9999	  564
1998	1998-9999	  563
2008	2008-9999	  556
1997	1997-9999	  555
1988	1988-9999	  553
2005	2005-9999	  546
2011	2011-9999	  543
1996	1996-9999	  541
1888	1888-	  540
2004	2004-9999	  532
2001	2001-9999	  527
2012	2012-9999	  504
2007	2007-9999	  467
1983	1983-9999	  466
1985	1985-9999	  449
2003	2003-9999	  448
1987	1987-9999	  447
1986	1986-9999	  446
2006	2006-9999	  441
1984	1984-9999	  430
1884	1884-	  423
2002	2002-9999	  422
1981	1981-9999	  396
1980	1980-9999	  391
1982	1982-9999	  389
1885	1885-	  385
1977	1977-9999	  370
1976	1976-9999	  369
1808	1808-	  362
1881	1881-	  353
1790	1790-	  345
1882	1882-	  345
1883	1883-	  343
1880	1880-	  341
1876	1876-	  336
1789	1789-	  334
2014	2014-9999	  331
2015	2015-9999	  320
1807	1807-	  316
1879	1879-	  315
1878	1878-	  310
1792	1792-	  309
1788	1788-	  307
1806	1806-	  294
1791	1791-	  287
1809	1809-	  282
1877	1877-	  279
1975	1975-9999	  278
2020	2020-9999	  272
1979	1979-9999	  268
1801	1801-	  264
1800	1800-	  263
1802	1802-	  262
1798	1798-	  257
1787	1787-	  257
1772	1772-	  252
2019	2019-9999	  251
1786	1786-	  250
1775	1775-	  248
1778	1778-	  238
1799	1799-	  232
1964	1964-9999	  232
1912	1912-1944	  230
1803	1803-	  230
1978	1978-9999	  226
1785	1785-	  226
1875	1875-	  226
1797	1797-	  224
1974	1974-9999	  223
1966	1966-9999	  219
1973	1973-9999	  217
1872	1872-	  213
2016	2016-9999	  212
1697	1697-	  204
2018	2018-9999	  202
1795	1795-	  202
1784	1784-	  202
2017	2017-9999	  201
1771	1771-	  201
1776	1776-	  201
1873	1873-	  198
1874	1874-	  194
1766	1766-	  192
1965	1965-9999	  192
1977	1977-uuuu	  191
1972	1972-9999	  189
1796	1796-	  188
1757	1757-	  188
1777	1777-	  188
2021	2021-9999	  185
1871	1871-	  185
1869	1869-	  183
1774	1774-	  183
1855	1855-	  182
1748	1748-	  178
1870	1870-	  173
1762	1762-	  170
1805	1805-	  169
1751	1751-	  168
1853	1853-	  167
1694	1694-	  166
1760	1760-	  166
1988	1988-1990	  166
1773	1773-	  165
1852	1852-	  165
1780	1780-	  163
1779	1779-	  163
1856	1856-	  163
1939	1939-1943	  162
1695	1695-	  162
1741	1741-	  162
1864	1864-	  162
1865	1865-	  161
1688	1688-	  160
1861	1861-	  160
1862	1862-	  158
1690	1690-	  156
1685	1685-	  155
1781	1781-	  154
1989	1989-1989	  154
1971	1971-9999	  154
1920	1920-    	  153
1866	1866-	  153
1827	1827-	  152
1844	1844-	  150
1782	1782-	  149
1769	1769-	  147
1868	1868-	  147
1857	1857-	  146
1850	1850-	  146
1987	1987-1987	  146
