original	publication_year	Count
1912	1912	2463
1916	1916	2229
1917	1917	2181
1908	1908	2056
1910	1910	2012
1913	1913	2004
1915	1915	1994
1906	1906	1895
1907	1907	1892
1909	1909	1864
1911	1911	1824
1914	1914	1769
1900	1900	1582
1905	1905	1386
1903	1903	1380
1904	1904	1338
1899	1899	1313
1810	1810	1306
1901	1901	1283
1902	1902	1247
1898	1898	1069
1897	1897	1000
1891	1891	 999
1896	1896	 980
1895	1895	 910
1892	1892	 898
1890	1890	 887
1893	1893	 879
1894	1894	 870
1886	1886	 738
1889	1889	 680
1887	1887	 607
1888	1888	 558
1884	1884	 480
1880	1880	 420
1885	1885	 415
1881	1881	 391
1882	1882	 362
1883	1883	 355
1876	1876	 347
1879	1879	 327
1878	1878	 325
1809	1809	 295
1877	1877	 289
1875	1875	 244
1872	1872	 225
1874	1874	 206
1873	1873	 206
1864	1864	 192
1871	1871	 190
1869	1869	 189
1855	1855	 187
1870	1870	 182
1852	1852	 180
1856	1856	 177
1862	1862	 176
1853	1853	 172
1865	1865	 168
1850	1850	 167
1861	1861	 164
1866	1866	 161
1844	1844	 161
1840	1840	 159
1828	1828	 157
1827	1827	 156
1849	1849	 155
1847	1847	 153
1857	1857	 152
1867	1867	 152
1868	1868	 151
1863	1863	 147
1819	1819	 145
1839	1839	 144
1851	1851	 141
1854	1854	 141
1860	1860	 141
1823	1823	 138
1848	1848	 137
1826	1826	 134
1859	1859	 134
1858	1858	 133
1832	1832	 132
1842	1842	 127
1845	1845	 125
1843	1843	 124
1822	1822	 113
1821	1821	 112
1815	1815	 111
1846	1846	 110
1835	1835	 110
1829	1829	 105
1830	1830	 104
1825	1825	 100
1817	1817	  97
1841	1841	  97
1837	1837	  95
1834	1834	  92
1818	1818	  88
1838	1838	  87
1917-1917	1917	  81
1836	1836	  81
1820	1820	  77
1824	1824	  77
1833	1833	  74
1908-1908	1908	  68
1812	1812	  67
1816	1816	  66
1901-1901	1901	  62
1906-1906	1906	  62
1811	1811	  61
1910-1910	1910	  57
1831	1831	  57
1913-1913	1913	  56
1912-1912	1912	  55
1915-1915	1915	  54
1813	1813	  49
1907-1907	1907	  47
1909-1909	1909	  46
1902-1902	1902	  46
1916-1916	1916	  46
1900-1900	1900	  45
1914-1914	1914	  42
1905-1905	1905	  41
1899-1899	1899	  40
1911-1911	1911	  39
1814	1814	  36
1917-9999	1917	  33
1909-1910	1909	  30
1914-1915	1914	  28
1917-1918	1917	  28
1912-1913	1912	  27
1908-1909	1908	  27
1904-1904	1904	  27
1903-1903	1903	  26
1887-1887	1887	  26
1890-1890	1890	  25
1915-1917	1915	  25
1891-1891	1891	  25
1912-1915	1912	  24
1911-1912	1911	  24
1911-1913	1911	  23
1917-1919	1917	  23
1900-9999	1900	  23
1913-1915	1913	  22
1888-1888	1888	  22
1908-1910	1908	  22
1906-1907	1906	  22
1895-1895	1895	  21
1898-1898	1898	  20
1912-1914	1912	  19
1892-1892	1892	  19
1896-1896	1896	  19
1909-1915	1909	  18
1914-1916	1914	  18
1916-1925	1916	  17
1915-1916	1915	  17
1906-1918	1906	  17
1916-1917	1916	  17
1889-1890	1889	  17
1911-1914	1911	  16
1910-1913	1910	  16
1913-1914	1913	  16
1901-1905	1901	  16
1907-1908	1907	  16
1894-1894	1894	  15
1893-1893	1893	  15
1911-1915	1911	  15
1909-1914	1909	  15
1901-1902	1901	  15
1887-1889	1887	  15
1906-1908	1906	  15
1912-1917	1912	  15
1906-1914	1906	  15
1897-1897	1897	  15
1907-9999	1907	  15
1898-1899	1898	  14
1910-1914	1910	  14
1916-1918	1916	  14
1915-1918	1915	  14
1914-1917	1914	  14
1905-9999	1905	  14
1886-1886	1886	  14
1916-1919	1916	  14
1909-1944	1909	  14
1916-9999	1916	  14
1917-1920	1917	  13
1881-1882	1881	  13
1906-1917	1906	  13
1892-1893	1892	  13
1889-1889	1889	  13
1886-1887	1886	  13
1912-9999	1912	  13
1913-9999	1913	  13
1885-1885	1885	  12
1907-1910	1907	  12
1907-1909	1907	  12
1905-1906	1905	  12
1907-1944	1907	  12
1910-1915	1910	  12
1906-1909	1906	  11
1907-1913	1907	  11
1908-1914	1908	  11
1906-1911	1906	  11
1916-1920	1916	  11
1908-1915	1908	  11
1905-1907	1905	  11
1910-1911	1910	  11
1903-1905	1903	  11
1883-1883	1883	  10
1886-1890	1886	  10
1910-1917	1910	  10
1901-1903	1901	  10
1910-1912	1910	  10
1909-1912	1909	  10
1912-1916	1912	  10
1887-1888	1887	  10
1893-1895	1893	  10
1894-1896	1894	  10
1890-1891	1890	  10
1909-1913	1909	  10
1890-1944	1890	  10
1914-1920	1914	  10
1904-1905	1904	  10
1902-1903	1902	  10
1899-1900	1899	  10
1914-9999	1914	   9
1906-1915	1906	   9
1908-1912	1908	   9
1897-1898	1897	   9
1907-1918	1907	   9
1909-1911	1909	   9
1900-1901	1900	   9
1902-1904	1902	   9
1892-1944	1892	   9
1891-1892	1891	   9
1910-9999	1910	   9
1896-1900	1896	   8
1895-1896	1895	   8
1906-1910	1906	   8
1906-1925	1906	   8
1915-1925	1915	   8
1916-1923	1916	   8
1916-1922	1916	   8
1909-1917	1909	   8
1903-1919	1903	   8
1876-1876	1876	   8
1863-1864	1863	   8
1904-1909	1904	   8
1907-1911	1907	   8
1916-1951	1916	   8
1909-1920	1909	   8
1903-9999	1903	   8
1908-1944	1908	   8
1911-1918	1911	   8
1911-9999	1911	   8
1907-1915	1907	   8
1917-1944	1917	   8
1885-1887	1885	   8
1909-9999	1909	   8
1893-1894	1893	   8
1906-1912	1906	   8
1894-9999	1894	   7
1891-9999	1891	   7
1891-1893	1891	   7
1884-1884	1884	   7
1908-1916	1908	   7
1880-1880	1880	   7
1914-1923	1914	   7
1907-1920	1907	   7
1899-1905	1899	   7
1901-1904	1901	   7
1917-1921	1917	   7
1907-1917	1907	   7
1891-1925	1891	   7
1911-1916	1911	   7
1913-1919	1913	   7
1908-1920	1908	   7
1913-1917	1913	   7
1914-1919	1914	   7
1915-9999	1915	   7
1821-1821	1821	   7
1881-1881	1881	   7
1897-1899	1897	   7
1910-1918	1910	   7
1892-1895	1892	   7
1884-1887	1884	   7
1881-1884	1881	   7
1912-1918	1912	   7
1902-1905	1902	   7
1894-1895	1894	   7
1908-1917	1908	   7
1908-1913	1908	   7
1896-9999	1896	   7
1876-1877	1876	   7
1908-9999	1908	   7
1899-9999	1899	   6
1900-1902	1900	   6
1879-1879	1879	   6
1882-1882	1882	   6
1891-1894	1891	   6
1912-1922	1912	   6
1896-1897	1896	   6
1900-1905	1900	   6
1909-1916	1909	   6
1894-1897	1894	   6
1883-1885	1883	   6
1847-1849	1847	   6
1889-1901	1889	   6
1856-1857	1856	   6
1862-1863	1862	   6
1844-1855	1844	   6
1866-1867	1866	   6
1895-1900	1895	   6
1878-1881	1878	   6
1881-1914	1881	   6
1877-1879	1877	   6
1916-1921	1916	   6
1914-1921	1914	   6
1905-1915	1905	   6
1904-1906	1904	   6
1810-1944	1810	   6
1906-1913	1906	   6
1899-1901	1899	   6
1917-1924	1917	   6
1859-1860	1859	   6
1898-1944	1898	   6
1915-1944	1915	   6
1884-1885	1884	   6
1883-1884	1883	   6
1893-1944	1893	   6
1906-1944	1906	   6
1882-1910	1882	   6
1885-1893	1885	   6
1903-1904	1903	   6
1913-1916	1913	   6
1912-1920	1912	   6
1891-1895	1891	   5
1909-1922	1909	   5
1892-9999	1892	   5
1893-1900	1893	   5
1887-1890	1887	   5
1893-9999	1893	   5
1890-9999	1890	   5
1916-1939	1916	   5
1911-1951	1911	   5
1886-1908	1886	   5
1915-1921	1915	   5
1888-1903	1888	   5
1896-1898	1896	   5
1905-1910	1905	   5
1912-1921	1912	   5
1898-1910	1898	   5
1911-1917	1911	   5
1896-1925	1896	   5
1908-1911	1908	   5
1903-1911	1903	   5
1907-1914	1907	   5
1910-1916	1910	   5
1917-1922	1917	   5
1917-1923	1917	   5
1912-1925	1912	   5
1906-9999	1906	   5
1832-1974	1832	   5
1868-1868	1868	   5
1846-1846	1846	   5
1892-1906	1892	   5
1885-1886	1885	   5
1879-1883	1879	   5
1884-1892	1884	   5
1900-1907	1900	   5
1886-1905	1886	   5
1879-1881	1879	   5
1890-1901	1890	   5
1888-1901	1888	   5
1911-1944	1911	   5
1888-1916	1888	   5
1907-1919	1907	   5
1916-1944	1916	   5
1911-1925	1911	   5
1914-1925	1914	   5
1896-1899	1896	   5
1886-1889	1886	   5
1912-1924	1912	   4
1908-1923	1908	   4
1913-1920	1913	   4
1893-1896	1893	   4
1904-9999	1904	   4
1880-1881	1880	   4
1889-1891	1889	   4
1870-1870	1870	   4
1888-1895	1888	   4
1886-1900	1886	   4
1891-1905	1891	   4
1903-1914	1903	   4
1892-1905	1892	   4
1896-1905	1896	   4
1881-1885	1881	   4
1891-1900	1891	   4
1898-1900	1898	   4
1900-1906	1900	   4
1902-1912	1902	   4
1908-1918	1908	   4
1902-1906	1902	   4
1909-1925	1909	   4
1906-1916	1906	   4
1906-1920	1906	   4
1911-1919	1911	   4
1910-1929	1910	   4
1917-1928	1917	   4
1909-1921	1909	   4
1913-1926	1913	   4
1910-1938	1910	   4
1909-1919	1909	   4
1895-1897	1895	   4
1889-1894	1889	   4
1881-1883	1881	   4
1899-1944	1899	   4
1901-1944	1901	   4
1857-1859	1857	   4
1882-1901	1882	   4
1880-1898	1880	   4
1882-1894	1882	   4
1861-1862	1861	   4
1863-1865	1863	   4
1860-1862	1860	   4
1908-1939	1908	   4
1891-1903	1891	   4
1889-1892	1889	   4
1917-1946	1917	   4
1899-1907	1899	   4
1915-1919	1915	   4
1883-1888	1883	   4
1866-1900	1866	   4
1913-1951	1913	   4
1896-1906	1896	   4
1877-1882	1877	   4
1903-1907	1903	   4
1897-1900	1897	   4
1898-1901	1898	   4
1864-1865	1864	   4
1889-1899	1889	   4
1905-1913	1905	   4
1901-1909	1901	   4
1890-1892	1890	   4
1917-1930	1917	   4
1907-1930	1907	   4
1913-1930	1913	   4
1900-2015	1900	   4
1877-1877	1877	   4
1889-1944	1889	   4
1912-1928	1912	   4
1870-1879	1870	   4
1889-1911	1889	   4
1896-1944	1896	   4
1913-1944	1913	   4
1917-1925	1917	   4
1881-1889	1881	   4
1910-1937	1910	   4
1882-1944	1882	   4
1902-1944	1902	   4
1908-1929	1908	   4
1900-1992	1900	   4
1904-1907	1904	   4
1901-1914	1901	   4
1876-9999	1876	   4
1886-9999	1886	   4
1907-1916	1907	   4
1885-1900	1885	   3
1916-1926	1916	   3
1915-2017	1915	   3
1899-1903	1899	   3
1904-1914	1904	   3
1909-1918	1909	   3
1889-1912	1889	   3
1856-9999	1856	   3
1895-1901	1895	   3
1901-1906	1901	   3
1878-1902	1878	   3
1885-1943	1885	   3
1904-1939	1904	   3
1916-1948	1916	   3
1886-1897	1886	   3
1899-1918	1899	   3
1911-1926	1911	   3
1884-9999	1884	   3
1886-1888	1886	   3
1878-1878	1878	   3
1875-1875	1875	   3
1897-1916	1897	   3
1870-9999	1870	   3
1900-1999	1900	   3
1900-1994	1900	   3
1898-1912	1898	   3
1893-1897	1893	   3
1895-1898	1895	   3
1896-1904	1896	   3
1888-1905	1888	   3
1894-1900	1894	   3
1902-1909	1902	   3
1886-1895	1886	   3
1913-1948	1913	   3
1910-1951	1910	   3
1917-1931	1917	   3
1892-1894	1892	   3
1888-1891	1888	   3
1915-1948	1915	   3
1908-1926	1908	   3
1869-1869	1869	   3
1914-1930	1914	   3
1894-1915	1894	   3
1911-1923	1911	   3
1913-1923	1913	   3
1898-1907	1898	   3
1889-1915	1889	   3
1896-1911	1896	   3
1888-1890	1888	   3
1888-1889	1888	   3
1898-1902	1898	   3
1903-1916	1903	   3
1899-1951	1899	   3
1899-1904	1899	   3
1893-1903	1893	   3
1898-1904	1898	   3
1900-1904	1900	   3
1900-1903	1900	   3
1909-1929	1909	   3
1901-1910	1901	   3
1904-1912	1904	   3
1905-1914	1905	   3
1887-1916	1887	   3
1898-1905	1898	   3
1912-1919	1912	   3
1898-1906	1898	   3
1893-1915	1893	   3
1903-1908	1903	   3
1896-1919	1896	   3
1896-1910	1896	   3
1913-1921	1913	   3
1907-1912	1907	   3
1913-1925	1913	   3
1905-1925	1905	   3
1897-1915	1897	   3
1902-1914	1902	   3
1908-1919	1908	   3
1910-1923	1910	   3
1910-1921	1910	   3
1912-1930	1912	   3
1915-1922	1915	   3
1893-1904	1893	   3
1886-1906	1886	   3
1888-1944	1888	   3
1904-1944	1904	   3
1854-1866	1854	   3
1883-1985	1883	   3
1864-1878	1864	   3
1882-1906	1882	   3
1873-1883	1873	   3
1864-1881	1864	   3
1854-1855	1854	   3
1875-1899	1875	   3
1899-1939	1899	   3
1837-1849	1837	   3
1855-1861	1855	   3
1888-1893	1888	   3
1880-1893	1880	   3
1870-1874	1870	   3
1877-1891	1877	   3
1863-1867	1863	   3
1874-1876	1874	   3
1820-1831	1820	   3
1882-1919	1882	   3
1870-1872	1870	   3
1820-1861	1820	   3
1810-1819	1810	   3
1829-1831	1829	   3
1890-1905	1890	   3
1882-1885	1882	   3
1896-1916	1896	   3
1916-1972	1916	   3
1903-1980	1903	   3
1872-1874	1872	   3
1850-1903	1850	   3
1855-1858	1855	   3
1823-1832	1823	   3
1833-1841	1833	   3
1897-1945	1897	   3
1844-1846	1844	   3
1869-1918	1869	   3
1847-1866	1847	   3
1858-1861	1858	   3
1829-1879	1829	   3
1880-1887	1880	   3
1860-1863	1860	   3
1909-1962	1909	   3
1861-1888	1861	   3
1882-1900	1882	   3
1898-2008	1898	   3
1871-1884	1871	   3
1863-1863	1863	   3
1917-1939	1917	   3
1880-1882	1880	   3
1851-1856	1851	   3
1882-1903	1882	   3
1882-1898	1882	   3
1871-1917	1871	   3
1874-1917	1874	   3
1884-1901	1884	   3
1845-1847	1845	   3
1874-1888	1874	   3
1866-1872	1866	   3
1839-1847	1839	   3
1847-1855	1847	   3
1858-1901	1858	   3
1914-1939	1914	   3
1829-1866	1829	   3
1832-1844	1832	   3
1853-1855	1853	   3
1843-1843	1843	   3
1890-1940	1890	   3
1820-1931	1820	   3
1866-1918	1866	   3
1856-1865	1856	   3
1902-1946	1902	   3
1897-1904	1897	   3
1860-2015	1860	   3
1881-2015	1881	   3
1837-1858	1837	   3
1872-1965	1872	   3
1860-1865	1860	   3
1861-1861	1861	   3
1858-1859	1858	   3
1861-1893	1861	   3
1877-1878	1877	   3
1880-1896	1880	   3
1873-1917	1873	   3
1866-1866	1866	   3
1876-1882	1876	   3
1899-1906	1899	   3
1915-1951	1915	   3
1912-1951	1912	   3
1878-1891	1878	   3
1883-1898	1883	   3
1885-1898	1885	   3
1861-1863	1861	   3
1888-1892	1888	   3
1886-1892	1886	   3
1890-1906	1890	   3
1907-1951	1907	   3
1888-1917	1888	   3
1876-1881	1876	   3
1905-1911	1905	   3
1867-1870	1867	   3
1900-1990	1900	   3
1902-1919	1902	   3
1889-1904	1889	   3
1861-1889	1861	   3
1884-1910	1884	   3
1916-1954	1916	   3
1907-1924	1907	   3
1908-1937	1908	   3
1910-1946	1910	   3
1915-1938	1915	   3
1912-1940	1912	   3
1908-1943	1908	   3
1871-1872	1871	   3
1890-1903	1890	   3
1906-1936	1906	   3
1884-1899	1884	   3
1863-1866	1863	   3
1897-1946	1897	   3
1890-1931	1890	   3
1880-1918	1880	   3
1877-1918	1877	   3
1910-1944	1910	   3
