Name	Count	Percentage
    	370	56.32
uuuu	 80	12.18
2099	 47	 7.15
20uu-9999	 12	 1.83
199u-9999	  8	 1.22
200u-9999	  8	 1.22
-	  7	 1.07
||||	  7	 1.07
9207	  6	 0.91
19uu	  5	 0.76
uuuu-uuuu	  5	 0.76
2001-2000	  4	 0.61
2008-2000	  4	 0.61
200u	  4	 0.61
    -    	  3	 0.46
1980-1900	  3	 0.46
2119	  3	 0.46
9209	  3	 0.46
1933-1900	  2	 0.30
196?-9999	  2	 0.30
1991-1990	  2	 0.30
199u-199u	  2	 0.30
199u-200u	  2	 0.30
2001-0011	  2	 0.30
2002-2000	  2	 0.30
2005-2000	  2	 0.30
2007-2000	  2	 0.30
2100	  2	 0.30
2120	  2	 0.30
2319	  2	 0.30
uuuu-9999	  2	 0.30
175u	  1	 0.15
1886-1885	  1	 0.15
1906-1900	  1	 0.15
1907-1900	  1	 0.15
1912-1900	  1	 0.15
1914-1900	  1	 0.15
1915-1900	  1	 0.15
1916-1900	  1	 0.15
1919-1900	  1	 0.15
1921-1920	  1	 0.15
1924-1900	  1	 0.15
1926-1925	  1	 0.15
1927-1923	  1	 0.15
1942-1900	  1	 0.15
1943-1900	  1	 0.15
1943-1941	  1	 0.15
1944-1900	  1	 0.15
1947-1900	  1	 0.15
1949-1900	  1	 0.15
1952-1900	  1	 0.15
1955-1900	  1	 0.15
1959-1900	  1	 0.15
1961-1900	  1	 0.15
1966-1868	  1	 0.15
1969-1900	  1	 0.15
1971-1900	  1	 0.15
1975-1900	  1	 0.15
1976-1900	  1	 0.15
1977-1900	  1	 0.15
1978-1900	  1	 0.15
197u-199u	  1	 0.15
197u-9999	  1	 0.15
1986-1900	  1	 0.15
1988-1987	  1	 0.15
198u	  1	 0.15
198u-199u	  1	 0.15
198u-9999	  1	 0.15
1994-1990	  1	 0.15
1997-1996	  1	 0.15
19uu-19uu	  1	 0.15
19uu-9999	  1	 0.15
2002-0020	  1	 0.15
2003-2000	  1	 0.15
2004-2000	  1	 0.15
2006-2000	  1	 0.15
200u-200u	  1	 0.15
2013-1897	  1	 0.15
201u	  1	 0.15
9206	  1	 0.15
fin -2010	  1	 0.15
u   -u   	  1	 0.15
uuuu-||||	  1	 0.15
