melinda_id	original	publication_year	Count
(FI-MELINDA)000101303	1991-1990	NA	1
(FI-MELINDA)011522523	fin -2010	NA	1
(FI-MELINDA)011467141	20uu-9999	NA	1
(FI-MELINDA)005942558	uuuu	NA	1
(FI-MELINDA)005942556	uuuu	NA	1
(FI-MELINDA)005942555	uuuu	NA	1
(FI-MELINDA)005942553	uuuu	NA	1
(FI-MELINDA)005942552	uuuu	NA	1
(FI-MELINDA)005942549	uuuu	NA	1
(FI-MELINDA)005942528	uuuu	NA	1
(FI-MELINDA)005942527	uuuu	NA	1
(FI-MELINDA)005942526	uuuu	NA	1
(FI-MELINDA)005942525	uuuu	NA	1
(FI-MELINDA)005942524	uuuu	NA	1
(FI-MELINDA)005942523	uuuu	NA	1
(FI-MELINDA)005942522	uuuu	NA	1
(FI-MELINDA)005942521	uuuu	NA	1
(FI-MELINDA)005942520	uuuu	NA	1
(FI-MELINDA)005942519	uuuu	NA	1
(FI-MELINDA)005942516	uuuu	NA	1
(FI-MELINDA)005942515	uuuu	NA	1
(FI-MELINDA)005942514	uuuu	NA	1
(FI-MELINDA)005939511	uuuu	NA	1
(FI-MELINDA)005937749	uuuu	NA	1
(FI-MELINDA)005937718	uuuu	NA	1
(FI-MELINDA)018044080	20uu-9999	NA	1
(FI-MELINDA)000609441	uuuu	NA	1
(FI-MELINDA)009804149	200u	NA	1
(FI-MELINDA)009804139	200u	NA	1
(FI-MELINDA)009778882	uuuu	NA	1
(FI-MELINDA)009778488	uuuu	NA	1
(FI-MELINDA)009596388	uuuu	NA	1
(FI-MELINDA)003188174	uuuu	NA	1
(FI-MELINDA)003186573	1991-1990	NA	1
(FI-MELINDA)005311963	uuuu	NA	1
(FI-MELINDA)018142969	2100	NA	1
(FI-MELINDA)018059116	20uu-9999	NA	1
(FI-MELINDA)000715982	uuuu	NA	1
(FI-MELINDA)000713805	uuuu	NA	1
(FI-MELINDA)000730714	uuuu	NA	1
(FI-MELINDA)000730712	uuuu	NA	1
(FI-MELINDA)000728776	1961-1900	NA	1
(FI-MELINDA)000728439	1966-1868	NA	1
(FI-MELINDA)000853467	1927-1923	NA	1
(FI-MELINDA)000608750	uuuu	NA	1
(FI-MELINDA)000740489	1952-1900	NA	1
(FI-MELINDA)006612743	200u-200u	NA	1
(FI-MELINDA)006609569	2002-0020	NA	1
(FI-MELINDA)006609554	2001-0011	NA	1
(FI-MELINDA)006609549	2001-0011	NA	1
(FI-MELINDA)006608990	uuuu-uuuu	NA	1
(FI-MELINDA)015414379	2099	NA	1
(FI-MELINDA)015414371	2100	NA	1
(FI-MELINDA)015324686	||||	NA	1
(FI-MELINDA)015300808	2119	NA	1
(FI-MELINDA)015297529	2319	NA	1
(FI-MELINDA)006116193	200u-9999	NA	1
(FI-MELINDA)006031667	200u-9999	NA	1
(FI-MELINDA)005840141	uuuu-uuuu	NA	1
(FI-MELINDA)005840024	uuuu-uuuu	NA	1
(FI-MELINDA)005840012	uuuu-uuuu	NA	1
(FI-MELINDA)005839874	uuuu-uuuu	NA	1
(FI-MELINDA)005839398	1921-1920	NA	1
(FI-MELINDA)005813701	200u-9999	NA	1
(FI-MELINDA)005810643	2003-2000	NA	1
(FI-MELINDA)005810395	2001-2000	NA	1
(FI-MELINDA)005586466	uuuu	NA	1
(FI-MELINDA)017913172	2099	NA	1
(FI-MELINDA)017758468	2099	NA	1
(FI-MELINDA)017758457	2099	NA	1
(FI-MELINDA)018777810	199u-200u	NA	1
(FI-MELINDA)018777711	199u-199u	NA	1
(FI-MELINDA)018774769	199u-199u	NA	1
(FI-MELINDA)018767321	198u-199u	NA	1
(FI-MELINDA)018767283	199u-9999	NA	1
(FI-MELINDA)018767248	199u-200u	NA	1
(FI-MELINDA)018765481	2099	NA	1
(FI-MELINDA)018765466	199u-9999	NA	1
(FI-MELINDA)018765305	uuuu	NA	1
(FI-MELINDA)018765164	199u-9999	NA	1
(FI-MELINDA)018765122	uuuu	NA	1
(FI-MELINDA)018724407	2099	NA	1
(FI-MELINDA)018723847	2099	NA	1
(FI-MELINDA)018723846	2099	NA	1
(FI-MELINDA)018721467	2099	NA	1
(FI-MELINDA)018711143	2099	NA	1
(FI-MELINDA)000924830	uuuu	NA	1
(FI-MELINDA)000958337	u   -u   	NA	1
(FI-MELINDA)006022941	1976-1900	NA	1
(FI-MELINDA)006022554	1959-1900	NA	1
(FI-MELINDA)006018913	20uu-9999	NA	1
(FI-MELINDA)000491512	1943-1941	NA	1
