Name	Count
[kustantaja tuntematon],	6222
WSOY,	2386
Otava,	1908
Tekijä,	1353
Söderström,	1063
Edlund,	 866
G. W. Edlund,	 780
typis Frenckellianis,	 620
Karisto,	 558
Suomalaisen Kirjallisuuden Seura,	 453
Gummerus,	 404
Weilin & Göös,	 385
Yrjö Weilin,	 379
Raittiuden ystävät,	 374
Förf.,	 324
Kansanvalistusseura,	 271
Frenckell,	 246
Wilén,	 240
Senaten,	 215
Suomen lähetysseura,	 210
Isak Julin,	 204
Kirja,	 199
Kansanvalistus-seura,	 194
Helios,	 193
K. E. Holm,	 191
Holm,	 172
Suomen luth. evank.-yhdistys,	 170
Författare,	 163
typis Frenckelliorum,	 161
Finska Vetenskapssocieteten,	 159
Sällskapet för Finlands geografi,	 152
Hagelberg,	 144
Bonnier,	 142
Werner Söderström,	 139
[C. A. Londicer],	 137
W. Toivonen,	 134
Schildt,	 133
Universitet,	 125
[Suomalaisen Kirjallisuuden Seura],	 119
Lutherska Evangeliföreningen,	 107
Svenska litteratursällskapet i Finland,	 104
Otto Andersin,	 102
[Tekijä],	 100
Clouberg,	 100
Kansa,	 100
Valistus,	  94
Suomalainen Tiedeakatemia,	  91
Teosofinen kirjakauppa,	  91
Pellervo,	  89
Edlundska bokhandeln, distr.,	  88
Voen. Top. Depo,	  86
KS,	  84
Societatis pro fauna et flora Fennica,	  83
Sortavalan evank. seura,	  83
Kuopion uusi kirjapaino,	  81
Suomalainen tiedeakatemia,	  81
Suomentaja,	  81
Edlundska Bokhandeln, distr.,	  80
G. W. Wilén,	  79
Societas geographica Fenniae,	  78
Lilius & Hertzberg,	  77
Beijer,	  76
U. W. Telén & C:o,	  75
Kustannusoy. Kirja,	  73
Suomen merimieslähetysseura,	  70
Karjalan kirjakauppa,	  69
Weilin ja Göös,	  68
Suomalais-amerikkalainen kustannusyhtiö,	  67
Toimittaja,	  65
Vihtori Kosonen,	  65
[Finska Litteratur-sällskapets tryckeri],	  63
Rauman kirjapaino,	  60
W. Hagelstam,	  60
Suomen Historiallinen seura,	  59
Yrjö Weilin & Kumpp.,	  59
P. A. Norstedt & Söner,	  57
Suomen Lähetysseura,	  56
Työväen sanomalehti-o.y.,	  54
Suomen senaatti,	  53
Telén,	  53
Rauman kirjapaino-osakeyhtiö,	  52
Lutherilainen Evankeliumi-yhtiö,	  51
Satakunnan kirjakauppa,	  51
[kustantaja tuntematon] ,	  50
Barck,	  50
Holger Schildt,	  49
K. J. Gummerus,	  49
Sampo,	  49
Finska Missionssällskapet,	  48
Suomalaisen kirjallisuuden seura,	  48
Henkivakuutusyhtiö Suomi,	  47
Työväen sanomalehti,	  47
[tekijä],	  46
Suomen kirkon sisälähetysseura,	  46
Suomen Naisyhdistys,	  46
U. W. Telén,	  45
Albert Bonnier,	  44
ex officina typographica Frenckelliana,	  44
Herättäjä,	  44
Gosudarstvennaâ tipografìâ,	  43
Suomalaisen Kirjallisuuden seura,	  43
Tidn.- & tryckeriaktiebol.,	  43
F. Vetenskapssocieteten,	  42
Kaleva,	  42
[Vårt Land],	  41
K. Malmström,	  41
Sällskapet Pellervo,	  41
Palander,	  40
Societas pro fauna et flora Fennica,	  40
Svenska Folkskolans Vänner,	  40
Folkupplysningssällskapet,	  39
Suomalaisen Kirjallisuuden Seuran kirjapaino,	  39
Utgifvaren,	  39
Finskugriska sällskapet,	  38
Suomalais-ugrilainen seura,	  38
Simelius,	  37
Toivonen,	  36
Työmiehen kustannusyhtiö,	  36
[Nya Pressen],	  35
Finsk-ugriska sällskapet,	  35
Geologiska kommissionen,	  35
Kansan lehti,	  35
Söderström & C:o,	  35
Victor Hoving,	  35
J. C. Frenckell & Son,	  34
Lähetyskirjakauppa,	  34
Lillja :|Wilén,	  34
N. M. Lindh,	  34
Sederholm,	  34
Wickström,	  34
Lillja,	  33
Maanviljelyshallitus,	  33
Societas scientiarum Fennicae,	  33
[C. W. Gyldén],	  32
[Öfverstyrelsen för landtmäteriet],	  32
Suomen maanviljelystaloudellinen koelaitos,	  32
U. W. Telén ja K.,	  32
Boman ja Karlsson,	  31
Edlundska Bokhandeln, jakaja,	  30
Pelastusarmeijan päämaja,	  30
Société néophilologique,	  30
OWB,	  29
Societas scientiarum Fennicae ,	  29
Sortavalan evankelinen seura,	  29
Wasenius,	  29
Wentzel Hagelstam,	  29
Alfred Lagerbom,	  28
Författaren,	  28
Naisasialiitto Unioni,	  28
Utg.,	  28
[J. C. Frenckell],	  27
[Svenska litteratursällskapet i Finland],	  27
G. M. Giescke,	  27
Osuuskunta Kehitys,	  27
Suom.-amer. kustannusyhtiö,	  27
Suomen naisyhdistys,	  27
Svenska folkskolans vänner,	  27
Tilgmann,	  27
Akateeminen kirjakauppa,	  26
Alex. Lundström,	  26
Lutherska evangeliföreningen,	  26
Statens kommission för huslig ekonomi,	  26
Suomen maanviljelys-taloudellinen koelaitos,	  26
Valtion kotitaloustoimikunta,	  26
Aschan,	  25
Evankelinen kustannusliike,	  25
Finlands Svenska Nykterhetsförbund,	  25
Kustannus-o.y. Kansa,	  25
Olan,	  25
[ kustantaja tuntematon ],	  24
C. J. Bergström,	  24
G. E. Euren,	  24
K.E. Holm,	  24
P. A. Norstedt & söner,	  24
Söderström & c:o,	  24
[C. G. Clouberg],	  23
Akademiska Bokhandeln,	  23
Emil Vainio,	  23
Maanmittaushallitus,	  23
Suom. sos. kustannusyhtiö,	  23
Tampereen työväen sanomalehti,	  23
G. L. Söderström,	  22
GEJ,	  22
Lutherilainen Evankeliumi-yhdistys,	  22
Suomen kylvösiemenyhdistys,	  22
Wahlström & Widstrand,	  22
Finska Sjömansmissionssällskapet,	  21
Gust. Ronelius,	  21
Hagelstam,	  21
