Name	Count
	236100
[s.n.],	   753
excusa â Petro Hansonio Acad. typ.,	   135
Bank of Finland, Institute for Economies in Transition,	   122
The Finnish academy of technical sciences,	    77
impressa apud viduam Reg. Acad. typ. J. C. Frenckell,	    70
Svenska lantbrukssällskapens i Finland förbund,	    63
impressa â Petro Hansonio Acad. typ.,	    59
Finnish Forest and Park Service,	    46
excusa â Petro Hansonio Acad. typogr.,	    39
excusa â Petro Hansonio Acad. typog.,	    38
excusa â Petro Hansonio, Acad. typog.,	    38
Finlands industriförbund,	    28
impressa â Petro Hanson, Acad. typog.,	    27
excusa â Petro Hansonio, Acad. typogr.,	    25
impressa â Petro Hansonio, Acad. typog.,	    24
excusa â Petro Hansonio,	    22
Opetushallitus, ammatillisen koulutuksen linja,	    22
excusa â Petro Hansson, Acad. typog.,	    21
Arbetsgivarnas i Finland centralförbund,	    19
excusa â Petro Hansonio A. t.,	    19
Finska kyrkans inremissionssällskap,	    19
Metsähallitus ;|Metsähallitus, asiakaspalvelut [jakaja],	    19
excusa â Petro Hansonio, Acad. typ.,	    18
impressa â Petro Hansonio Acad. typog.,	    18
Svenska Finlands idrottsförbund,	    18
Valtion teknillinen tutkimuskeskus, atk-palvelutoimisto,	    18
Statens invandrarverk,	    17
impressa â Petro Hansson, Acad. typog.,	    16
impressa apud viduam Reg. Acad. typogr. Joh. Christoph. Frenckell,	    16
excusa â Petro Hansson, Acad. typogr.,	    15
impressa â Petro Wald, Acad. typogr.,	    14
impressa apud viduam Reg. Acad. typogr. J. C. Frenckell,	    14
excusa â Petro Hanson Acad. typogr.,	    13
Opetushallitus, aikuiskoulutuksen linja,	    13
Huvudstabens informationsavdelning,	    12
Ung Arbis i Nykarleby,	    11
Cementproducenternas i Finland förening,	    10
Svenska litteratursällskapets i Finland,	    10
Telefoninrättningarnas i Finland förbund,	    10
excus. apud viduam Hansonii,	     9
excusa âPetro Hansonio Acad. typ.,	     9
Helsinki school of economics and business administration,	     9
Svenska lantbrukssällskapens i Finland,	     9
The Swedish academy of engineering sciences in Finland,	     9
excusa à Johanne Winter, Reg. typogr.,	     8
Juridiska föreningens i Finland,	     8
Oulun yliopisto, täydennyskoulutuskeskus, avoin yliopisto-opetus,	     8
excusa à Johanne L. Wallio, Reg. Academiae ibidem typographo,	     7
excusa â Johanne L. Wallio, Regiae Univ. ibid. typogr.,	     7
excusa apud Petrum Wald, Acad. typog.,	     7
Genealogiska samfundets i Finland,	     7
impressa â Johanne Waldio, Acad. typogr.,	     7
Cementproducenternas i Finlands förening,	     6
excusa apud Petrum Wald, Acad. typogr.,	     6
Forest and Park Service,	     6
impressa apud Imp. Acad. typ. J. C. Frenckell,	     6
impressa apud Reg. Acad. typ. J. C. Frenckell,	     6
Industriidkarenes i Finland Ömsesidiga Brandförsäkringsbolag,	     6
Joensuun yliopisto, täydennyskoulutuskeskus, avoin yliopisto,	     6
Kommunala centralbyråns i Finland,	     6
Nordens institut på Åland,	     6
Pohjois-Karjalan lääninhallitus, aluekehitysosasto,	     6
[Svenska Finlands idrottsförbund],	     5
Åbo Akademis institut för organisk kemi,	     5
Arbetarnas idrottsförbund,	     5
Centre de recherches inter-nordiques,	     5
excusa â Joh. L. Wallio, A. t.,	     5
excusa â Petro Hansson Acad. typ.,	     5
Helios i distr,	     5
impressa â Joh. L. Wallio, A. t.,	     5
impressa â Petro Hansonio Acad. typogr.,	     5
Kaarinan sosiaalialan oppilaitos, aikuiskoulutusosasto,	     5
Oulun yliopisto, täydennyskoulutuskeskus, avoin korkeakouluopetus,	     5
Uusi aika,	     5
Vasa andelsbank,	     5
[Finlands industriförbund],	     4
Ammattikasvatushallitus, ammattikurssitoimisto,	     4
excus. apud viduam Hans. A. typogr.,	     4
excus. apud viduam Hansonii, Acad. typogr.,	     4
excusa â Joh. Laur. Wallio, R. U. t.,	     4
excusa à Johanne Waldio, Reg. Univ. Aboëns. typogr.,	     4
excusa â Johanne Wallio, A. t.,	     4
excusa â Johanne Winter, reg. typogr.,	     4
excusa â Petro Hansonio Acad. t.,	     4
