Name	Count
	11519
[s.n.],	  409
impressa apud Imp. Acad. typ. J. C. Frenckell,	    6
Industriidkarenes i Finland Ömsesidiga Brandförsäkringsbolag,	    6
Helios i distr,	    5
Industriidkarenes i Finland Ömsesidiga Brandstodsförening,	    3
J. Gummerus i distr,	    3
Svenska lantbrukssällskapens i Finland förbund,	    2
Uusi aika,	    2
[E. Lagus i distr.],	    1
[Föreningsbankens i Finland],	    1
[Frivilliga brandkårens i Borgå],	    1
[Industriidkarenes i Finland Ömsesidiga brandstodsförening],	    1
[Industriskolans i Helsingfors],	    1
[Jordbrukarenes i Finland Central-Andelslag],	    1
[Kock- och Stuertskolans i Åbo],	    1
[Konst- och Konstindustriföreningens i Björneborg],	    1
[Svenska Landtbrukssällskapens i Finland],	    1
[Svenska lyceets i Uleåborg konvent],	    1
[Svenska Lyceets i Uleåborg],	    1
[Svenska Normallyceums i Helsingfors],	    1
[Svenska samskolans i Kuopio konvent],	    1
[Svenska Samskolans i Tavastehus konvent, utg.],	    1
[Svenska studerandes intresseförening],	    1
[Turistföreningens i Finland Åbo-filial],	    1
[Turistföreningens i Finland Åbofilial],	    1
Agrikulturekonomiska försöksanstaltens i Finland afdelning för växtkultur,	    1
Association for Foreigners in Finland,	    1
Diakonissanstaltens i Helsingfors sjukhus,	    1
Fängelseföreningens i Finland centralbestyrelse,	    1
Finska kyrkans inremissionssällskap,	    1
FN:s informationskontor for de Nordiske lande,	    1
Folkhögskolans i Kronoby elevförbund,	    1
Industriidkarenas i Finland Ömsesidiga Brandstodsförening,	    1
Industriidkarenes i Finland ömsesidiga olycksfallsförsäkringsförening,	    1
Industriidkarnes i Finland ömsesidiga brandförsäkringsbolag,	    1
Industriidkarnes i Finland ömsesidiga brandstodsförening,	    1
Juridiska föreningens i Finland,	    1
Kronohagens idrottsförening,	    1
Lilius i Gercberg",	    1
Lutherska evangeliföreningens i Finland förlag,	    1
Maria sjukhus i Helsingfors,	    1
Maskinistföreningens i Finland utlåtande,	    1
Metodist-episkopal-kyrkans i Finland,	    1
Nya Svenska Läroverkets i Helsingfors,	    1
Polytekniska institutets i Finland bibliotek,	    1
S. D. adventistsamfundets i Finland,	    1
Skoletandklinikens i Helsingfors,	    1
Stadsfullmäktiges i Helsingfors stad,	    1
Stadsfullmäktiges i Jakobstad,	    1
Svenska Landtbrukssällskapens i Finland Förbund,	    1
Svenska lantbrukssällskapens i Finland,	    1
Svenska teaterföreningens i Finland teaterbibliotek,	    1
Tekniska högskolans i Finland,	    1
Vasa afdelning,	    1
Wasa arbetareförening,	    1
