Name	Count
	16237
Diss. HY	 1249
Suom. kaunokirj. 3 -1972	 1065
Hartauskirj. -1972|Käsifilmistö - filmikortit	 1038
Suom. kaunokirj. 2 -1972	  820
Suom. kaunokirj. 1 -1972	  699
Doria	  640
Suom. kaunokirj. 4 -1972	  639
Ruots. kaunokirj. 1 -1972	  490
K.Hartauskirj. -1972|Mf.	  487
Hartauskirj. -1972	  447
Amerikka 3 -1972	  405
Matematiikka -1972	  387
Lähetys -1972	  382
Maantiede 1 -1972	  364
Lääketiede 3 -1972	  360
Ruots. kaunokirj. 1 -1972|Käsifilmistö - filmikortit	  360
Yleinen historia -1972	  334
IV.1/49	  332
Suom. hist. 3 -1972	  320
Maanviljelys 2B -1972	  309
Suom. kaunokirj. 1	  303
Filosofia -1972	  300
Siv.seur.: Kansanvalistusseura 3 -1972	  281
Ruots. kaunokirj. 1	  273
Teollisuus 3 -1972	  250
Maantiede 2 -1972	  245
Suomi - Venäjä 3 -1972	  229
K.Hartauskirj -1972|Mf.	  221
Matkailu 2 -1972|Käsifilmistö - filmikortit	  215
Suomal. kielit. 3 -1972	  211
Diss. HY -1972	  208
Ruots. kaunokirj. 2	  203
Suom. hist. 3 -1972|Käsifilmistö - filmikortit	  203
Saarnakirj. -1972|Käsifilmistö - filmikortit	  202
Käsifilmistö - filmikortit	  200
Suom. hist. 3	  193
Lakitiede 3 -1972	  186
Kirj. hist.	  185
Teologia 3 -1972	  177
Kirkkohist. -1972|Käsifilmistö - filmikortit	  174
Kasvatusoppi 3 -1972	  172
Elämisentaito -1972	  171
K.Suom.kaunok. -1972|Mf.	  170
Raittius 2 -1972	  169
Maantiede 1 -1972|Käsifilmistö - filmikortit	  168
Yleiset sarjat 1 -1972	  168
Musiikki 4 -1972	  163
Raamatunhist. -1972	  163
Suom. lastenkirj. 5	  162
K.Saarnakirj. -1972|Mf.	  161
Kirj. hist. -1972	  161
Suom. lastenkirj. 4 -1972	  160
K. Saarnakirjallisuus -1972|Mf.	  158
Foliot -1972	  156
Rv Oikeus- ja valtiotieteet 5	  153
R.Kirjakauppa 4	  152
Tiet. seur.: Suom. kirj. seura -1972	  147
K. Hartauskirj. -1972|Mf.	  138
K.Raittius -1972|Mf.	  138
Pohjoism. kielit. -1972	  136
Foliot	  134
Vierask. kaunokirj. 1	  132
Ruots. kaunokirj. 3	  124
Ruots. kaunokirj. 1. -1972	  121
Työväenkys. 3. -1972|Käsifilmistö - filmikortit	  118
Ruots. lastenkirj. 3	  117
Suom. kiel. 3 -1972	  113
Slaavil. kielit. -1972	  109
Musiikki 3 -1972	  108
K.Työväenkys. -1972|Käsifilmistö - filmikortit	  107
Ruots. kaunokirj. 1 -1972|Mf.	  103
K. Amerikka 2 -1972|Käsifilmistö - filmikortit	  100
K.Lääketiede -1972|Mf.	  100
Eksegetiikka -1972	   98
Ruots. kaunokirj. 3 -1972	   98
Urheilu 3 -1972	   98
K.Suom.kaunok. -1972|Käsifilmistö - filmikortit	   97
Suom.kaunokirj.1 -1972	   97
Raamatunhist.	   96
Suom. kaunokirj. 2	   95
Suom. kaunokirj. 6 -1972	   95
Tiet. seur.: Svenska litt. sällsk. -1972	   93
Germ. kielit. -1972	   90
Ruots. kaunokirj. 1|Käsifilmistö - filmikortit	   88
Vakuutus 5 -1972	   88
Naisasia 2 -1972	   86
Oppikoulut 3	   86
Heng.laulukirj.1. -1972	   85
Kom. miet. 1 -1972	   85
Taide 2 -1972	   84
Eläintiede -1972	   83
Maanviljelys 3 -1972	   83
III.1/114	   78
K.Suomi-Venäjä, Estl. -1972|Mf.	   78
