melinda_id	data_element	genre_008	record_type	biblio_level	publication_status	author_name	author_name_enriched	gender	author_birth	author_death	author_age	author_profession	title	title_length	title_word	language	language_primary	language_multi	publication_year_from	publication_year_till	publication_year	publication_decade	publication_place	publication_country	publisher	signum	udk_orig	udk_aux	udk	udk_primary	udk_multi	genre_655	author_id	language_original
004031013	Kirjat	Runot	Language material	Monograph/Item	Questionable date	NA	NA	NA	NA	NA	NA	NA	Neljä hengellistä fangeinwirttä.	32	3	Finnish	Finnish	FALSE	1809	NA	1809	1800	Vaasa	Finland	NA	NA	894.541|784	-1	Suomenkielinen kirjallisuus;Laulumusiikki	Suomenkielinen kirjallisuus	TRUE	Arkkiveisut; Laulelmat; Visor; Skillingtryck	NA	NA
000939600	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	Franzén, Frans Michael	Franzén, Frans Michael | Franzén, Frans Michael | Frantzén, Fransiscus Michaël | Franzén, Frans Mikael | Franzén, Frans M | Franzén, Frans Michaël | Franzén, F M	male	1772	1847	75	sanoittaja, runoilija	Skaldestycken.	14	1	Swedish	Swedish	FALSE	1810	NA	1810	1810	Turku	Finland	NA	ruots.kaunokirj.1.	839.79	-1	Suomenruotsalainen kirjallisuus	Suomenruotsalainen kirjallisuus	FALSE	NA	(FIN11)000042440	NA
018098594	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	NA	NA	NA	NA	NA	NA	NA	Warpusen weisu.	15	2	Finnish	Finnish	FALSE	1810	NA	1810	1810	Turku	Finland	NA	NA	39|894.541	-1	Perinnetieteet. Etnologia. Kansatiede. Kansanrunous. Folkloristiikka;Suomenkielinen kirjallisuus	Perinnetieteet. Etnologia. Kansatiede. Kansanrunous. Folkloristiikka	TRUE	Arkkiveisut; Skillingtryck	NA	NA
005656763	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	Juteini, Jaakko	Juteini, Jaakko | Judén, Jacob | Judén, Jac | Juteini, Jak | Judén, Jakob | Hämäläinen	male	1781	1855	74	kirjailija, virkamies, sanoittaja, kotiopettaja	Kirjoituksia Jak. Juteinilda.	29	3	Finnish	Finnish	FALSE	1810	NA	1810	1810	Turku	Finland	tekijä	NA	894.541	-1	Suomenkielinen kirjallisuus	Suomenkielinen kirjallisuus	FALSE	NA	(FIN11)000067532	NA
000883212	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	Avellan, Johannes Henricus	Avellan, Johannes Henricus | Avellan, Johan Henrik	male	1773	1832	59	NA	Känslan, såsom upphof till ondt och godt. Skaldestycke, vid den af Åbo academie den 6. julii 1810. firade promotions act, då, med hennes canzlers, Hans Excellence, verkelige geheime-rådet, riks-secreteraren, directeuren uti den allernådigst tillförordnade lag-commissionen, riddaren af Kejserliga St. Wladimirs ordens andra class, af St. Annæ ordens första class och af St. Johannis af Jerusalem orden, högvälborne herr Mich. Speranskys tillstädjelse, af professoren i historien och moralen, en af de aderton i Svenska academien, högvördige och vidtberömde herr mag. Frans Michaël Franzén, de på följande sidor nämnde trettiofyra herrar candidater för philosophiæ magistrar förklarades.	688	94	Swedish	Swedish	FALSE	1810	NA	1810	1810	Turku	Finland	NA	rvacademica7a	839.79|378.4	-1	Suomenruotsalainen kirjallisuus;Yliopistot	Suomenruotsalainen kirjallisuus	TRUE	Runot; Suomenruotsalainen kirjallisuus; Dikter; Finlandssvensk litteratur	(FIN11)000095257	NA
002555699	Kirjat	Yhdistelmä	Language material	Monograph/Item	Single known date/probable date	NA	NA	NA	NA	NA	NA	NA	Aura :  en samling valda stycken från Åbo tidningar	51	9	Swedish	Swedish	FALSE	1810	NA	1810	1810	Stockholm	Sweden	NA	ruots.kaunokirj.3	839.79	-82	Suomenruotsalainen kirjallisuus	Suomenruotsalainen kirjallisuus	FALSE	Suomenruotsalainen kirjallisuus; Finlandssvensk litteratur	NA	NA
000939175	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	Creutz, Gustaf Philip	Creutz, Gustaf Philip | Gyllenborg, Gustaf Fredrik | Creutz, Gustave Philippe	male	1731	1785	54	runoilija, diplomaatti	Vitterhets arbeten	18	2	Swedish	Swedish	FALSE	1812	NA	1812	1810	Stockholm	Sweden	a wiborg	ruots.kaunokirj.1.käsifilmistöfilmikortit	839.7	-1	Ruotsinkielinen kirjallisuus	Ruotsinkielinen kirjallisuus	FALSE	Runot; Dikter	(FIN11)000081291	NA
000939646	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	NA	Franzén, Frans Michael | Franzén, Frans Michael | Livijn, Clas | Hartmansdorff, Jakob August Von | Sohm, Peter | Frantzén, Fransiscus Michaël | Franzén, Frans Mikael | Franzén, Frans M | Franzén, Frans Michaël | Franzén, F M	male	NA	NA	NA	sanoittaja, runoilija	Tre nya krigs-wisor, den första: En afskedssång af en ung bewäringsman, som går ut i fält. Den andra: En fält-wisa efter landstigningen i Pommern. Den tredje: En segersång öfwer slaget wid Dennewitz eller Jüterbock. Alla tre sjungas : på sina egna hurtiga och behageliga melodier.	281	45	Swedish	Swedish	FALSE	1813	NA	1813	1810	Kiel	Germany	tryckt i kongl fält tryckeriet	ruots.kaunokirj.1	839.7	-1	Ruotsinkielinen kirjallisuus	Ruotsinkielinen kirjallisuus	FALSE	NA	NA	NA
011539855	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	NA	NA	NA	NA	NA	NA	NA	Yxi weisu. Yhden nuoren miehen kanßapuhe. Hänen rakkan morsiamensa tygö sangen pikaisesti ja yxinkertaisesti kokon pandu.	121	16	Finnish	Finnish	FALSE	1813	NA	1813	1810	Turku	Finland	NA	NA	894.541	-1	Suomenkielinen kirjallisuus	Suomenkielinen kirjallisuus	FALSE	Arkkiveisut; Skillingtryck	NA	NA
002445843	Kirjat	Runot	Language material	Monograph/Item	Single known date/probable date	Mennander, Jonas Andreae	Mennander, Jonas Andreae | Mennander | Menander, Jon Andreae	male	1671	1721	50	kirkkoherra	Huonenspeili :  iosa ensin edespannan kaikkein welgoisus yhteisesti, sitten mitä erinomattain perhenisänille, ja emänille, pojille ja trengeille, tyttärille ja piikoille, hywin eli pahoin sopi : hywille kunniaxi ja ylistyxexi, pahoille häwäistyxexi ja hywyteen kehoituxexi, lyhykäisest opixi kaikille ialommaxi	310	38	Finnish	Finnish	FALSE	1814	NA	1814	1810	Turku	Finland	NA	NA	39|894.541	-1	Perinnetieteet. Etnologia. Kansatiede. Kansanrunous. Folkloristiikka;Suomenkielinen kirjallisuus	Perinnetieteet. Etnologia. Kansatiede. Kansanrunous. Folkloristiikka	TRUE	Arkkiveisut; Skillingtryck	(FIN11)000092681	NA
