,0
0,
1,015a
2,0152
3,035a
4,040a
5,040b
6,041ind1
7,041a
8,042a
9,080a
10,080x
11,0802
12,0809
13,100ind1
14,100a
15,245ind1
16,245ind2
17,245a
18,245c
19,260a
20,260b
21,260c
22,300a
23,300b
24,300c
25,336a
26,336b
27,3362
28,337a
29,337b
30,3372
31,338a
32,338b
33,3382
34,490ind1
35,490a
36,490x
37,490v
38,830ind2
39,830a
40,830x
41,830v
42,903a
43,9035
44,904a
45,9045
46,SIDc
47,SIDb
48,LOWa
49,041h
50,245b
51,655ind2
52,655a
53,6552
54,6550
55,700ind1
56,700a
57,7000
58,700d
59,900ind1
60,900a
61,900y
62,110ind1
63,110a
64,1100
65,650ind2
66,650a
67,6502
68,6500
69,910ind1
70,910a
71,910y
72,041b
73,520a
74,5209
75,710ind1
76,710a
77,7100
78,500a
79,5009
80,504a
81,100d
82,1000
83,810ind1
84,810a
85,810t
86,810v
87,260g
88,505ind1
89,505a
90,5059
91,6509
92,710b
93,711ind1
94,711a
95,711n
96,711d
97,711c
98,740ind1
99,740a
100,910b
101,020a
102,020z
103,020q
104,260e
105,260f
106,084a
107,0842
108,563a
109,651ind2
110,651a
111,6512
112,6510
113,653ind2
114,653a
115,027a
116,110b
117,245n
118,810b
119,810n
120,0849
121,240ind1
122,240ind2
123,240a
124,250a
125,908a
126,940ind1
127,940ind2
128,940a
129,600ind1
130,600ind2
131,600a
132,600d
133,6000
134,6009
135,960a
136,995a
137,9955
138,245p
139,111ind1
140,111a
141,111n
142,111d
143,111c
144,610ind1
145,610ind2
146,610a
147,6100
148,6109
149,502a
150,502c
151,5029
152,6559
153,901b
154,9015
155,901c
156,100e
157,264ind2
158,264a
159,264b
160,264c
161,600t
162,600c
163,700e
164,610x
165,830p
166,610y
167,610b
168,5049
169,830n
170,648ind2
171,648a
172,060ind2
173,060a
174,072ind2
175,072a
176,0722
177,515a
178,651z
179,651y
180,250b
181,040e
182,040d
183,534p
184,534c
185,6482
186,6480
187,775ind1
188,775ind2
189,775i
190,775t
191,775d
192,775h
193,246ind1
194,246a
195,6519
196,015q
197,940y
198,650x
199,650z
200,130ind1
201,130a
202,520ind1
203,240l
204,035z
205,240n
206,240s
207,590a
208,710e
209,910ind2
210,246ind2
211,900c
212,586a
213,5869
214,711e
215,300e
216,598a
217,5985
218,594a
219,5945
220,043a
221,043c
222,700t
223,901a
224,910g
225,730ind1
226,730a
227,911a
228,911y
229,546a
230,5469
231,041k
232,650y
233,100q
234,100c
235,710d
236,710c
237,710n
238,088a
239,902a
240,9025
241,110n
242,110d
243,110c
244,502d
245,041d
246,6539
247,082ind1
248,082ind2
249,082a
250,8309
251,852a
252,720a
253,530a
254,530c
255,530u
256,5309
257,080ind1
258,700c
259,385m
260,385n
261,385a
262,3852
263,3850
264,066c
265,2456
266,2606
267,5006
268,7006
269,880ind1
270,880ind2
271,8806
272,880a
273,880b
274,880c
275,655x
276,4909
277,084ind1
278,911n
279,911d
280,911c
281,509a
282,509c
283,907a
284,246b
285,597a
286,597x
287,7409
288,534a
289,534t
290,534n
291,5349
292,740ind2
293,610z
294,700q
295,7009
296,856ind1
297,856ind2
298,856u
299,856y
300,6489
301,588a
302,511ind1
303,511a
304,630ind1
305,630ind2
306,630a
307,583a
308,5835
309,9609
310,900ind2
311,900d
312,900u
313,501a
314,5159
315,850a
316,650v
317,561ind1
318,561a
319,856z
320,600b
321,024ind1
322,024a
323,595a
324,5955
325,776ind1
326,776ind2
327,776i
328,776z
329,7769
330,050ind1
331,050ind2
332,050a
333,050b
334,0822
335,370g
336,3702
337,3700
338,9405
339,650ind1
340,600x
341,700i
342,700l
343,130l
344,130s
345,240h
346,240f
347,5615
348,130p
349,630p
350,240p
351,655z
352,655y
353,520b
354,0249
355,600z
356,600y
357,800ind1
358,800a
359,800d
360,800t
361,800v
362,6530
363,100k
364,810x
365,810p
366,596s
367,5099
368,700ind2
369,651x
370,240k
371,730ind2
372,6309
373,630x
374,630s
375,583c
376,1006
377,600q
378,388ind1
379,388a
380,3882
381,3880
382,800c
383,246i
384,130h
385,130f
386,830t
387,599a
388,5995
389,7110
390,509d
391,5909
392,8109
393,940l
394,5905
395,593a
396,5935
397,526ind1
398,526i
399,526x
400,526z
401,5265
402,010a
403,720ind1
404,111e
405,5889
406,518a
407,5189
408,884a
409,884g
410,884k
411,884q
412,8845
413,300f
414,7109
415,028ind1
416,028ind2
417,028b
418,028a
419,730i
420,730p
421,730l
422,852u
423,880n
424,2466
425,974a
426,974b
427,9745
428,505ind2
429,505t
430,505r
431,630l
432,911ind1
433,910u
434,911ind2
435,534b
436,611ind1
437,611ind2
438,611a
439,6110
440,6119
441,700h
442,700f
443,041e
444,610c
445,024ind2
446,6102
447,246n
448,022a
449,222ind2
450,222a
451,760ind1
452,760t
453,760x
454,7609
455,906a
456,9065
457,024q
458,6006
459,9089
460,366e
461,366g
462,022ind1
463,022l
464,0222
465,222b
466,310a
467,310b
468,321a
469,321b
470,362ind1
471,362a
472,555a
473,555b
474,5555
475,596a
476,596b
477,5965
478,597b
479,5975
480,770ind1
481,770t
482,770c
483,770x
484,7709
485,776t
486,776c
487,776x
488,780ind1
489,780ind2
490,780t
491,780c
492,780x
493,7809
494,8505
495,905a
496,9055
497,935a
498,9355
499,022y
500,210ind1
501,210a
502,210b
503,765ind1
504,765t
505,765c
506,765x
507,7659
508,8569
509,526a
510,651c
511,591i
512,5915
513,776a
514,776d
