melinda_id;data_element;genre_008;Listalla K/E;Keltaiset K/E;Punaiset K/E;biblio_level;author_2;author_name;title;title_remainder;title_remainder_length;title_remainder_word;title_2;publication_year;language;language_primary;language_multi;publication_year_from;publication_year_till;publication_decade;publication_place;publication_country;signum;udk_orig;udk_aux;udk;udk_primary;udk_multi;genre_655;language_original
340893;Kirjat;Ei koodattu;E;E;E;Monograph/Item;;Castrén, Zach;'Fördärfbringande är icke det, att man lider orätt, utan det att man gör orätt';NA;NA;NA;'Fördärfbringande är icke det, att man lider orätt, utan det att man gör orätt' ;1903;Swedish;Swedish;FALSE;1903;NA;1900;Stockholm;Sweden;"K.Suomi-Venäjä, Estl. -1972;Käsifilmistö - filmikortit";839.79;-41;Suomenruotsalainen kirjallisuus;Suomenruotsalainen kirjallisuus;FALSE;"Pamfletit; Pamfletter";
875868;Kirjat;Ei koodattu;E;E;E;Monograph/Item;;NA;'Herää Suomi' nimisen lentolehden johdosta;NA;NA;NA;'Herää Suomi' nimisen lentolehden johdosta ;1903;Finnish;Finnish;FALSE;1903;NA;1900;Stockholm;Sweden;"K.Suomi-Venäjä, Estl. -1972;Mf.";323.1|323.25|894.541;NA;"Kansallisuusliikkeet. Kansallisuuskysymykset. Kansalliset vähemmistöt;Väestön ja valtion välinen suhde. Sisäpoliittinen toiminta;Suomenkielinen kirjallisuus";Kansallisuusliikkeet. Kansallisuuskysymykset. Kansalliset vähemmistöt;TRUE;"Mielipidekirjallisuus; Debattlitteratur";
876886;Kirjat;Ei koodattu;E;E;E;Monograph/Item;;NA;'Kunnioita isääsi ja äitiäsi jotta sinä menestyisit ja kauan eläisit maan päällä';NA;NA;NA;'Kunnioita isääsi ja äitiäsi jotta sinä menestyisit ja kauan eläisit maan päällä' ;1903;Finnish;Finnish;FALSE;1903;NA;1900;Stockholm;Sweden;"K.Suomi-Venäjä, Estl. -1972;Mf.";355.1|839.79;-41;"Asevoimat yleisesti. Puolustushaarat. Sotilaselämä;Suomenruotsalainen kirjallisuus";Asevoimat yleisesti. Puolustushaarat. Sotilaselämä;TRUE;NA;
3226644;Kirjat;Ei koodattu;E;E;E;Monograph/Item;;Korpela, Simo;75 virttä;NA;NA;NA;75 virttä;1904;Finnish;Finnish;FALSE;1904;NA;1900;Porvoo;Finland;Heng.laulukirj.1. -1972;894541;-1;Suomenkielinen kirjallisuus;Suomenkielinen kirjallisuus;FALSE;"Uskonnolliset runot; Religiös lyrik";
18257402;Kirjat;Draama;E;E;E;Monograph/Item;Godenhjelm, B. F.,|Aspelin-Haapkylä, Eliel,;Kivi, Aleksis;A. Kiven valitut teokset;NA;NA;NA;A. Kiven valitut teokset 1,;1909;Finnish;Finnish;FALSE;1909;NA;1900;Helsinki;Finland;NA;821.511.111-2KIVI;NA;Suomenkielinen kirjallisuus;Suomenkielinen kirjallisuus;FALSE;"Näytelmät; Skådespel";
1465520;Kirjat;Yhdistelmä;E;E;E;Monograph/Item;Godenhjelm, B. F.,|Kivi, Aleksis,|Kivi, Aleksis,|Kivi, Aleksis,;Kivi, Aleksis;A. Kiven valitut teokset;NA;NA;NA;A. Kiven valitut teokset II,;1878;Finnish;Finnish;FALSE;1878;NA;1870;NA;NA;NA;894.541|894.541;-8|-82;Suomenkielinen kirjallisuus;Suomenkielinen kirjallisuus;FALSE;"Novellit; Romaanit; Runot; Noveller; Romaner; Dikter";
4997783;Kirjat;Romaanit;E;E;E;Monograph/Item;;NA;Aaku;NA;NA;NA;Aaku ;1890;Finnish;Finnish;FALSE;1890;NA;1890;Tampere;Finland;NA;894541;-3;Suomenkielinen kirjallisuus;Suomenkielinen kirjallisuus;FALSE;NA;
2556299;Kirjat;Ei koodattu;E;E;E;Monograph/Item;;NA;Aamunkoi;keski-suomen nuorisoseuran kyhäelmiä;36;3;Aamunkoi keski-suomen nuorisoseuran kyhäelmiä ;1889;Finnish;Finnish;FALSE;1889;NA;1880;Jyväskylä;Finland;NA;894541;-82;Suomenkielinen kirjallisuus;Suomenkielinen kirjallisuus;FALSE;"Antologiat; Antologier";
881450;Kirjat;Runot;E;E;E;Monograph/Item;Cajander, Paavo,|Cajander, Paavo,|Cajander, Paavo,|Cajander, Paavo,|Cajander, Paavo,|Cajander, Paavo,;Kramsu, Kaarlo;Aatteet;"kuolewa soturi ; santawuoren tappelu ; koditon wapaus ; laulumme ; ensimmäinen leiwo";84;13;"Aatteet kuolewa soturi ; santawuoren tappelu ; koditon wapaus ; laulumme ; ensimmäinen leiwo ";1894;Finnish;Finnish;FALSE;1894;NA;1890;NA;NA;NA;894541;-1;Suomenkielinen kirjallisuus;Suomenkielinen kirjallisuus;FALSE;NA;
861020;Kirjat;Draama;E;E;E;Monograph/Item;;Walakorpi, U W;Aave;1-näytöksinen kansanpila;24;2;Aave 1-näytöksinen kansanpila;1908;Finnish;Finnish;FALSE;1908;NA;1900;NA;NA;NA;894541;-2;Suomenkielinen kirjallisuus;Suomenkielinen kirjallisuus;FALSE;NA;
