original	publication_year	n	Count
99-1972	1972	    1	1
99-1969	1969	    1	1
99-1966	1966	    1	1
99-1961	1961	    1	1
99-1959	1959	    1	1
99-1958	1958	    1	1
99-1957	1957	    1	1
99-1953	1953	    1	1
99-1952	1952	    1	1
99-1951	1951	    1	1
99-1939	1939	    1	1
99-1938	1938	    1	1
99-1937	1937	    1	1
99-1934	1934	    1	1
99-1933	1933	    1	1
99-1927	1927	    1	1
99-1925	1925	    1	1
99-1923	1923	    1	1
99-1921	1921	    1	1
99-1910	1910	    1	1
99-1909	1909	    1	1
99-1906	1906	    1	1
99-1899	1899	    1	1
99-1898	1898	    1	1
99-1890	1890	    1	1
99-1866	1866	    1	1
99-1863	1863	    1	1
99-1777	1777	    1	1
98-1998	1998	    1	1
98-1968	1968	    1	1
98-1967	1967	    1	1
98-1963	1963	    1	1
98-1961	1961	    1	1
98-1957	1957	    1	1
98-1955	1955	    1	1
98-1950	1950	    1	1
98-1948	1948	    1	1
98-1943	1943	    1	1
98-1931	1931	    1	1
98-1926	1926	    1	1
98-1923	1923	    1	1
98-1910	1910	    1	1
98-1898	1898	    1	1
98-1890	1890	    1	1
98-1873	1873	    1	1
98-1837	1837	    1	1
98-1795	1795	    1	1
98-1743	1743	    1	1
97-1969	1969	    1	1
97-1967	1967	    1	1
97-1960	1960	    1	1
97-1955	1955	    1	1
97-1953	1953	    1	1
97-1952	1952	    1	1
97-1948	1948	    1	1
97-1946	1946	    1	1
97-1944	1944	    1	1
97-1943	1943	    1	1
97-1942	1942	    1	1
97-1941	1941	    1	1
97-1937	1937	    1	1
97-1935	1935	    1	1
97-1934	1934	    1	1
97-1929	1929	    1	1
97-1915	1915	    1	1
97-1909	1909	    1	1
97-1897	1897	    1	1
97-1891	1891	    1	1
97-1880	1880	    1	1
97-1878	1878	    1	1
97-1853	1853	    1	1
97-1852	1852	    1	1
97-1840	1840	    1	1
97-1819	1819	    1	1
97-1757	1757	    1	1
97-1750	1750	    1	1
97-1700	1700	    1	1
96-1985	1985	    1	1
96-1979	1979	    1	1
96-1954	1954	    1	1
96-1941	1941	    1	1
96-1935	1935	    1	1
96-1934	1934	    1	1
96-1933	1933	    1	1
96-1931	1931	    1	1
96-1929	1929	    1	1
96-1927	1927	    1	1
96-1925	1925	    1	1
96-1923	1923	    1	1
96-1909	1909	    1	1
96-1890	1890	    1	1
96-1883	1883	    1	1
96-1866	1866	    1	1
96-1854	1854	    1	1
95-1947	1947	    1	1
95-1939	1939	    1	1
95-1938	1938	    1	1
95-1937	1937	    1	1
95-1936	1936	    1	1
95-1931	1931	    1	1
95-1930	1930	    1	1
95-1926	1926	    1	1
95-1924	1924	    1	1
95-1923	1923	    1	1
95-1921	1921	    1	1
95-1920	1920	    1	1
95-1912	1912	    1	1
95-1910	1910	    1	1
95-1908	1908	    1	1
95-1906	1906	    1	1
95-1902	1902	    1	1
95-1900	1900	    1	1
95-1895	1895	    1	1
95-1893	1893	    1	1
95-1885	1885	    1	1
95-1798	1798	    1	1
95-1771	1771	    1	1
95-1592	1592	    1	1
95-1572	1572	    1	1
94-1994	1994	    1	1
94-1971	1971	    1	1
94-1964	1964	    1	1
94-1948	1948	    1	1
94-1944	1944	    1	1
94-1943	1943	    1	1
94-1942	1942	    1	1
94-1940	1940	    1	1
94-1939	1939	    1	1
94-1937	1937	    1	1
94-1936	1936	    1	1
94-1932	1932	    1	1
94-1931	1931	    1	1
94-1930	1930	    1	1
94-1929	1929	    1	1
94-1928	1928	    1	1
94-1925	1925	    1	1
94-1923	1923	    1	1
94-1921	1921	    1	1
94-1920	1920	    1	1
94-1893	1893	    1	1
94-1888	1888	    1	1
94-1878	1878	    1	1
94-1871	1871	    1	1
94-1804	1804	    1	1
94-1797	1797	    1	1
94-1773	1773	    1	1
94-1772	1772	    1	1
93-1959	1959	    1	1
93-1955	1955	    1	1
93-1954	1954	    1	1
93-1945	1945	    1	1
93-1943	1943	    1	1
93-1938	1938	    1	1
93-1937	1937	    1	1
93-1930	1930	    1	1
93-1926	1926	    1	1
93-1919	1919	    1	1
93-1918	1918	    1	1
93-1914	1914	    1	1
93-1910	1910	    1	1
93-1909	1909	    1	1
93-1900	1900	    1	1
93-1892	1892	    1	1
93-1891	1891	    1	1
93-1846	1846	    1	1
93-1845	1845	    1	1
93-1844	1844	    1	1
93-1729	1729	    1	1
93-1539	1539	    1	1
92-1970	1970	    1	1
92-1964	1964	    1	1
92-1955	1955	    1	1
92-1954	1954	    1	1
92-1952	1952	    1	1
92-1950	1950	    1	1
92-1947	1947	    1	1
92-1946	1946	    1	1
92-1943	1943	    1	1
92-1940	1940	    1	1
92-1939	1939	    1	1
92-1938	1938	    1	1
92-1935	1935	    1	1
92-1931	1931	    1	1
92-1930	1930	    1	1
92-1929	1929	    1	1
92-1928	1928	    1	1
92-1920	1920	    1	1
92-1916	1916	    1	1
92-1915	1915	    1	1
92-1908	1908	    1	1
92-1907	1907	    1	1
92-1893	1893	    1	1
92-1892	1892	    1	1
92-1891	1891	    1	1
92-1877	1877	    1	1
92-1858	1858	    1	1
91-1989	1989	    1	1
91-1968	1968	    1	1
91-1964	1964	    1	1
91-1959	1959	    1	1
91-1958	1958	    1	1
91-1957	1957	    1	1
91-1953	1953	    1	1
91-1950	1950	    1	1
91-1949	1949	    1	1
91-1945	1945	    1	1
91-1939	1939	    1	1
91-1938	1938	    1	1
91-1932	1932	    1	1
91-1925	1925	    1	1
91-1923	1923	    1	1
91-1921	1921	    1	1
91-1916	1916	    1	1
91-1915	1915	    1	1
91-1914	1914	    1	1
91-1913	1913	    1	1
91-1911	1911	    1	1
91-1908	1908	    1	1
91-1905	1905	    1	1
91-1899	1899	    1	1
91-1886	1886	    1	1
91-1862	1862	    1	1
91-1861	1861	    1	1
91-1859	1859	    1	1
91-1849	1849	    1	1
91-1688	1688	    1	1
