Name	Count
    	370
uuuu	 80
2099	 47
20uu-9999	 12
199u-9999	  8
200u-9999	  8
-	  7
||||	  7
9207	  6
19uu	  5
uuuu-uuuu	  5
2001-2000	  4
2008-2000	  4
200u	  4
    -    	  3
1980-1900	  3
2119	  3
9209	  3
1933-1900	  2
196?-9999	  2
1991-1990	  2
199u-199u	  2
199u-200u	  2
2001-0011	  2
2002-2000	  2
2005-2000	  2
2007-2000	  2
2100	  2
2120	  2
2319	  2
uuuu-9999	  2
175u	  1
1886-1885	  1
1906-1900	  1
1907-1900	  1
1912-1900	  1
1914-1900	  1
1915-1900	  1
1916-1900	  1
1919-1900	  1
1921-1920	  1
1924-1900	  1
1926-1925	  1
1927-1923	  1
1942-1900	  1
1943-1900	  1
1943-1941	  1
1944-1900	  1
1947-1900	  1
1949-1900	  1
1952-1900	  1
1955-1900	  1
1959-1900	  1
1961-1900	  1
1966-1868	  1
1969-1900	  1
1971-1900	  1
1975-1900	  1
1976-1900	  1
1977-1900	  1
1978-1900	  1
197u-199u	  1
197u-9999	  1
1986-1900	  1
1988-1987	  1
198u	  1
198u-199u	  1
198u-9999	  1
1994-1990	  1
1997-1996	  1
19uu-19uu	  1
19uu-9999	  1
2002-0020	  1
2003-2000	  1
2004-2000	  1
2006-2000	  1
200u-200u	  1
2013-1897	  1
201u	  1
9206	  1
fin -2010	  1
u   -u   	  1
uuuu-||||	  1
