Term	Count	Frequency
1908-1979.	996	0.7
1804-1877.	862	0.6
1818-1898.	816	0.5
1914-2001.	784	0.5
1901-2000,	770	0.5
1483-1546.	496	0.3
1861-1921.	473	0.3
1890-1976.	440	0.3
1818-1898,	438	0.3
1739-1804,	435	0.3
1942-2018.	433	0.3
1915-2003.	425	0.3
1878-1926.	425	0.3
1593-1657,	399	0.3
1914-2001,	383	0.3
1873-1956.	348	0.2
1933-2020.	327	0.2
1876-1916,	319	0.2
1878-1954.	309	0.2
1928-2015.	300	0.2
1906-1998.	300	0.2
1919-1994.	297	0.2
1888-1964.	290	0.2
1921-1993.	281	0.2
1608-1670,	277	0.2
1875-1934.	275	0.2
1834-1872,	270	0.2
1684-1771,	270	0.2
1931-2008.	261	0.2
1728-1801,	238	0.2
1907-2002.	235	0.2
1617-1688,	234	0.2
1927-2006.	228	0.2
1936-2011.	216	0.1
1917-2009.	215	0.1
1925-2020.	214	0.1
1946-2020.	212	0.1
1927-2009.	212	0.1
1869-1913.	212	0.1
1828-1905.	204	0.1
1905-1995.	203	0.1
1834-1872.	201	0.1
1794-1846,	201	0.1
1920-1992.	199	0.1
1875-1958.	199	0.1
1918-2016.	198	0.1
1805-1875.	198	0.1
1904-1981.	196	0.1
1925-2011.	195	0.1
1906-1976.	195	0.1
1828-1910.	195	0.1
1924-1985.	194	0.1
1715-1773,	194	0.1
1650-1718,	189	0.1
1876-1955.	187	0.1
1564-1616.	187	0.1
1936-2023.	184	0.1
1944-2023.	183	0.1
1926-2011.	180	0.1
1904-1986.	178	0.1
1899-1973.	175	0.1
1874-1959.	174	0.1
1897-1994.	173	0.1
1926-1977.	172	0.1
1913-2002.	172	0.1
1910-1995.	172	0.1
1716-1779,	172	0.1
1890-1966.	169	0.1
1905-1985.	168	0.1
1931-2002.	165	0.1
1908-1998.	165	0.1
1906-1998,	165	0.1
1892-1983.	165	0.1
1876-1953.	165	0.1
1907-2002,	164	0.1
1890-1968.	163	0.1
1885-1962.	161	0.1
1878-1956.	161	0.1
1870-1924.	160	0.1
1921-2004.	159	0.1
1878-1953.	159	0.1
1861-1925.	159	0.1
1842-1936.	159	0.1
1886-1975.	158	0.1
1875-1933.	157	0.1
1864-1935.	157	0.1
1929-2015.	156	0.1
1929-2007.	156	0.1
1904-1984.	156	0.1
1874-1938.	155	0.1
1712-1786,	155	0.1
1905-1986.	154	0.1
1868-1918.	153	0.1
1912-1995.	152	0.1
1908-1973.	152	0.1
1898-1976.	151	0.1
1844-1897.	149	0.1
1911-1982.	148	0.1
1871-1951.	148	0.1
1828-1910,	148	0.1
1885-1963.	147	0.1
1861-1932.	147	0.1
1903-1983.	146	0.1
1874-1970.	146	0.1
1871-1951,	146	0.1
1855-1924.	146	0.1
1881-1934.	145	0.1
1700-1776,	145	0.1
1923-2013.	144	0.1
1901-2000.	143	0.1
1900-1986.	143	0.1
1916-2003.	141	0.1
1879-1965.	139	0.1
1918-2004.	138	0.1
1908-1979,	138	0.1
1887-1951.	138	0.1
1863-1931.	137	0.1
1860-1939.	137	0.1
1855-1922.	137	0.1
1802-1870.	137	0.1
1785-1863.	137	0.1
1941-2020.	136	0.1
1909-1993.	136	0.1
1933-2022.	135	0.1
1906-1969.	135	0.1
1919-2000.	134	0.1
1812-1870.	134	0.1
1869-1947.	133	0.1
1885-1964.	132	0.1
1876-1946.	132	0.1
1615-1690.	132	0.1
1948-2020.	130	0.1
1929-2012.	130	0.1
1724-1804,	130	0.1
1937-2005.	129	0.1
1923-2007.	129	0.1
1644-1692,	129	0.1
1936-2020.	128	0.1
1906-1993.	128	0.1
1651-1700,	128	0.1
1942-2018,	127	0.1
1940-2022.	127	0.1
1938-2022.	127	0.1
1932-2015.	127	0.1
1895-1963.	127	0.1
1873-1948,	127	0.1
1859-1931.	127	0.1
1835-1910.	127	0.1
1953-2021.	126	0.1
1907-1985.	126	0.1
1893-1968.	126	0.1
1884-1960,	126	0.1
1880-1939.	126	0.1
1900-1982.	125	0.1
1868-1932.	125	0.1
1904-1972.	124	0.1
1867-1948.	124	0.1
1821-1881.	124	0.1
1937-1989.	123	0.1
1932-2022.	123	0.1
1918-1997.	123	0.1
1893-1975.	123	0.1
1892-1970.	123	0.1
1893-1972.	122	0.1
1874-1952.	122	0.1
1913-1998.	121	0.1
1901-1989.	121	0.1
1657-1729,	121	0.1
1934-2021.	120	0.1
1924-1997.	120	0.1
1818-1883.	120	0.1
1885-1950.	119	0.1
1871-1967.	119	0.1
1867-1938.	119	0.1
1899-1989.	118	0.1
1886-1954.	118	0.1
1874-1942.	118	0.1
1910-1967.	117	0.1
1888-1963.	117	0.1
1938-2021.	116	0.1
1895-1973.	116	0.1
1864-1933.	116	0.1
1727-1797,	116	0.1
1928-2012.	115	0.1
1858-1923.	115	0.1
1806-1881.	115	0.1
1878-1932.	114	0.1
1930-1999.	113	0.1
1862-1925.	113	0.1
1861-1921,	113	0.1
1935-2020.	112	0.1
1935-2017.	112	0.1
1916-1994.	112	0.1
1897-1988.	112	0.1
1866-1937.	112	0.1
1904-1989.	111	0.1
1835-1888.	111	0.1
1628-1705,	111	0.1
kuollut 1714,	110	0.1
1953-2023.	110	0.1
1947-2010.	110	0.1
1910-1986.	110	0.1
1907-1988.	110	0.1
1927-2001.	109	0.1
1924-1984.	109	0.1
1917-1977.	109	0.1
1907-1996.	109	0.1
1906-1979.	109	0.1
1905-1955.	109	0.1
1881-1956.	109	0.1
1661-1729,	109	0.1
1931-2022.	108	0.1
1922-2019.	108	0.1
1921-2006.	108	0.1
1920-1999.	108	0.1
1918-2009.	108	0.1
1906-1971.	108	0.1
1891-1966.	108	0.1
1939-2017.	107	0.1
1890-1972.	107	0.1
1870-1958.	107	0.1
1870-1947.	107	0.1
1860-1898.	107	0.1
1939-2022.	106	0.1
1937-1983.	106	0.1
1896-1972.	106	0.1
1878-1961.	106	0.1
1706-1783,	106	0.1
1943-2019.	105	0.1
1928-2019.	105	0.1
1891-1985.	105	0.1
1879-1966.	105	0.1
1711-1776.	105	0.1
1945-2002.	104	0.1
1924-1988.	104	0.1
1920-2009.	104	0.1
1906-1992.	104	0.1
1902-1973.	104	0.1
1860-1904.	104	0.1
1859-1943.	104	0.1
1802-1870,	104	0.1
1652-1711,	104	0.1
1930-2010.	103	0.1
1900-1961.	103	0.1
1878-1956,	103	0.1
1875-1936.	103	0.1
1864-1932.	103	0.1
1892-1955.	102	0.1
1891-1972.	102	0.1
1889-1962.	102	0.1
1887-1956.	102	0.1
1874-1966.	102	0.1
1850-1894.	102	0.1
1779-1860,	101	0.1
1765-1836,	101	0.1
1722-1803,	101	0.1
1920-2008.	100	0.1
1879-1961.	100	0.1
1870-1946.	100	0.1
1926-2004.	99	0.1
1900-1970.	99	0.1
1895-1980.	99	0.1
1892-1976.	99	0.1
1924-2013.	98	0.1
1811-1893.	98	0.1
1937-2022.	97	0.1
