Term	Count	Frequency
	295371	65.1
1947-	2846	0.6
1951-	2630	0.6
1948-	2630	0.6
1946-	2456	0.5
1950-	2426	0.5
1945-	2411	0.5
1949-	2395	0.5
1954-	2271	0.5
1944-	2192	0.5
1952-	2166	0.5
1941-	2105	0.5
1955-	2101	0.5
1942-	2058	0.5
1964-	2006	0.4
1958-	1990	0.4
1953-	1935	0.4
1966-	1906	0.4
1967-	1886	0.4
1963-	1886	0.4
1957-	1882	0.4
1962-	1863	0.4
1943-	1813	0.4
1959-	1770	0.4
1961-	1725	0.4
1956-	1704	0.4
1968-	1683	0.4
1965-	1661	0.4
1960-	1630	0.4
1939-	1602	0.4
1940-	1527	0.3
1969-	1467	0.3
1938-	1461	0.3
1975-	1458	0.3
1976-	1403	0.3
1974-	1402	0.3
1972-	1397	0.3
1970-	1372	0.3
1973-	1368	0.3
1971-	1314	0.3
1977-	1210	0.3
1978-	1150	0.3
1979-	1142	0.3
1937-	1108	0.2
1936-	1071	0.2
1980-	1039	0.2
1935-	1009	0.2
1981-	993	0.2
1982-	958	0.2
1934-	862	0.2
1933-	828	0.2
1983-	821	0.2
1932-	806	0.2
1930-	718	0.2
1984-	704	0.2
1985-	662	0.1
1929-	652	0.1
1931-	645	0.1
1928-	538	0.1
1986-	507	0.1
1927-	504	0.1
1987-	471	0.1
1926-	439	0.1
1988-	428	0.1
1924-	421	0.1
1908-1979.	373	0.1
1925-	369	0.1
1923-	344	0.1
1922-	337	0.1
1989-	336	0.1
1804-1877.	322	0.1
1818-1898.	321	0.1
1914-2001.	310	0.1
1901-2000,	287	0.1
1990-	284	0.1
1992-	262	0.1
1920-	261	0.1
1919-	245	0.1
1917-	210	0
1921-	207	0
1861-1921.	203	0
1918-	201	0
1991-	199	0
1483-1546.	186	0
1818-1898,	184	0
1912-	178	0
1942-2018.	177	0
1915-	173	0
1915-2003.	170	0
1890-1976.	169	0
1873-1956.	165	0
1878-1926.	164	0
1914-	153	0
1904-	150	0
1739-1804,	148	0
1914-2001,	147	0
1916-	146	0
1909-	142	0
1911-	139	0
1876-1916,	139	0
1933-2020.	131	0
1908-	131	0
1906-	127	0
1993-	124	0
1905-	123	0
1928-2015.	121	0
1878-1954.	118	0
1903-	117	0
1906-1998.	115	0
1888-1964.	115	0
1913-	113	0
1919-1994.	106	0
1907-	106	0
1593-1657,	105	0
1875-1934.	101	0
1834-1872,	97	0
1902-	95	0
1828-1905.	94	0
1921-1993.	93	0
1927-2009.	92	0
1907-2002.	92	0
1936-2011.	87	0
1920-1992.	87	0
1931-2002.	84	0
1927-2006.	82	0
1684-1771,	81	0
1925-2020.	80	0
1876-1955.	80	0
1871-1951,	80	0
1918-2016.	79	0
1901-	79	0
1794-1846,	79	0
1946-2020.	78	0
1910-	78	0
1899-1973.	78	0
1897-1994.	77	0
1874-1938.	77	0
1608-1670,	77	0
1924-1985.	76	0
1869-1913.	76	0
1881-1934.	75	0
1931-2008.	74	0
1925-2011.	74	0
1901-2000.	74	0
1805-1875.	74	0
1650-1718,	74	0
1929-2007.	73	0
1908-1998.	73	0
1905-1995.	73	0
1904-1981.	73	0
1944-2023.	72	0
1890-1966.	72	0
1834-1872.	72	0
1936-2023.	70	0
1906-1976.	70	0
1864-1935.	70	0
1700-1776,	70	0
1564-1616.	70	0
1921-2004.	69	0
1716-1779,	69	0
1919-2000.	68	0
1874-1959.	68	0
1617-1688,	68	0
1917-2009.	67	0
1892-1983.	67	0
1890-1968.	67	0
1876-1953.	67	0
1842-1936.	67	0
1728-1801,	67	0
1905-1985.	66	0
1828-1910,	66	0
1765-1836,	66	0
1926-2011.	65	0
1926-1977.	65	0
1906-1969.	65	0
1886-1975.	65	0
1879-1965.	65	0
1855-1922.	65	0
1913-2002.	64	0
1893-1968.	64	0
1878-1956.	64	0
1871-1951.	64	0
1861-1925.	64	0
1887-1951.	63	0
1878-1953.	63	0
1828-1910.	63	0
1615-1690.	63	0
1870-1924.	62	0
1941-2020.	61	0
1937-2005.	61	0
1907-2002,	61	0
1898-1976.	61	0
1868-1932.	61	0
1868-1918.	61	0
1821-1881.	61	0
1923-2013.	60	0
1916-2003.	60	0
1855-1924.	60	0
1910-1995.	59	0
1905-1986.	59	0
1884-1960,	59	0
1875-1933.	59	0
1903-1983.	58	0
1844-1897.	58	0
1906-1998,	57	0
1874-1970.	57	0
1888-1963.	56	0
1871-1967.	56	0
1933-2022.	55	0
1918-2004.	55	0
1912-1995.	55	0
1885-1962.	55	0
1869-1947.	55	0
1861-1932.	55	0
1860-1939.	54	0
1938-2022.	53	0
1929-2012.	53	0
1904-1986.	53	0
1904-1984.	53	0
1873-1948,	53	0
1724-1804,	53	0
1651-1700,	53	0
1908-1973.	52	0
1886-1954.	52	0
1885-1964.	52	0
1864-1933.	52	0
1802-1870.	52	0
1661-1729,	52	0
1948-2020.	51	0
1911-1982.	51	0
1904-1972.	51	0
1895-1963.	51	0
1860-1898.	51	0
1835-1910.	51	0
1930-1999.	50	0
1918-1997.	50	0
1906-1993.	50	0
1895-1973.	50	0
1885-1963.	50	0
1875-1958.	50	0
1874-1942.	50	0
1953-2021.	49	0
1938-2021.	49	0
1924-1988.	49	0
1918-2009.	49	0
1916-1994.	49	0
1907-1996.	49	0
1897-1988.	49	0
1863-1931.	49	0
1785-1863.	49	0
1929-2015.	48	0
1913-1998.	48	0
1908-1979,	48	0
1876-1946.	48	0
1818-1883.	48	0
1727-1797,	48	0
1652-1711,	48	0
1936-2020.	47	0
1932-2015.	47	0
1924-1997.	47	0
1910-1986.	47	0
1906-1971.	47	0
1899-1989.	47	0
1893-1975.	47	0
1867-1938.	47	0
1712-1786,	47	0
1706-1783,	47	0
1903-1965.	46	0
1900-	46	0
1878-1961.	46	0
1862-1925.	46	0
1859-1931.	46	0
1806-1881.	46	0
1779-1860,	46	0
1934-2021.	45	0
1932-2022.	45	0
1928-2012.	45	0
1927-2014.	45	0
1923-2007.	45	0
1922-2019.	45	0
1900-1961.	45	0
1895-1980.	45	0
1891-1972.	45	0
1858-1923.	45	0
1953-2023.	44	0
1930-2010.	44	0
1901-1989.	44	0
1881-1964.	44	0
1711-1776.	44	0
1920-1999.	43	0
1907-1985.	43	0
1903-1974.	43	0
1900-1970.	43	0
1894-1935.	43	0
1882-1973.	43	0
1874-1952.	43	0
1870-1946.	43	0
1870-1933.	43	0
1861-1939.	43	0
1860-1904.	43	0
1812-1870.	43	0
1931-2019.	42	0
1909-1993.	42	0
1906-1979.	42	0
1902-1973.	42	0
1893-1972.	42	0
1889-1962.	42	0
1879-1961.	42	0
1875-1954.	42	0
1875-1936.	42	0
1874-1966.	42	0
1715-1773,	42	0
1644-1692,	42	0
1939-2022.	41	0
1937-1989.	41	0
1927-2001.	41	0
1920-2007.	41	0
1907-1988.	41	0
1900-1986.	41	0
1900-1980.	41	0
1892-1970.	41	0
1891-1966.	41	0
1891-1963.	41	0
1880-1939.	41	0
1861-1921,	41	0
1722-1803,	41	0
1948-2011.	40	0
1947-2010.	40	0
1920-2009.	40	0
1920-2008.	40	0
1896-1972.	40	0
1893-1944.	40	0
1885-1950.	40	0
1878-1947.	40	0
1870-1958.	40	0
1870-1947.	40	0
1862-1919.	40	0
kuollut 1714,	39	0
1945-2002.	39	0
1942-2018,	39	0
1941-2000.	39	0
1909-1998.	39	0
1907-1998.	39	0
1904-1992.	39	0
1902-1957,	39	0
1895-1971.	39	0
1886-1963.	39	0
1885-1948.	39	0
1881-1956.	39	0
1879-1956.	39	0
1867-1948.	39	0
1867-1944.	39	0
1866-1937.	39	0
1864-1932.	39	0
1802-1870,	39	0
1935-2020.	38	0
1934-2012.	38	0
1933-2012.	38	0
1922-2006.	38	0
1914-2000.	38	0
1910-1967.	38	0
1904-1961.	38	0
1899-1971.	38	0
1892-1976.	38	0
1878-1956,	38	0
1846-1906.	38	0
1842-1925.	38	0
1811-1893.	38	0
1800-1867,	38	0
1940-2022.	37	0
1939-2018.	37	0
1935-2017.	37	0
1921-2006.	37	0
1917-1977.	37	0
1915-1967.	37	0
1907-1960,	37	0
1905-1955.	37	0
1864-1944.	37	0
1853-1923.	37	0
1850-1907.	37	0
1937-1983.	36	0
1931-2022.	36	0
1928-2019.	36	0
1924-2013.	36	0
1924-1984.	36	0
1915-1980.	36	0
1913-1982.	36	0
1908-2001.	36	0
1908-1986.	36	0
1907-1989.	36	0
1907-1975.	36	0
1900-1982.	36	0
1892-1985.	36	0
1892-1955.	36	0
1892-1923.	36	0
1887-1956.	36	0
1886-1954,	36	0
1863-1917.	36	0
1848-1928.	36	0
1772-1847.	36	0
1941-1998.	35	0
1935-2021.	35	0
1934-2022.	35	0
1930-1997.	35	0
1928-2013.	35	0
1926-2004.	35	0
1924-2003.	35	0
1908-1995.	35	0
1898-1985.	35	0
1896-1977.	35	0
1891-1980.	35	0
1890-1972.	35	0
1883-1965.	35	0
1862-1939.	35	0
1835-1888.	35	0
1995-	34	0
1964-2022.	34	0
1943-2019.	34	0
1914-1995.	34	0
1905-1955,	34	0
1903-1995.	34	0
1896-1986.	34	0
1891-1951.	34	0
1886-1957.	34	0
1879-1966.	34	0
1879-1951,	34	0
1876-1954.	34	0
1875-1944.	34	0
1849-1912.	34	0
1845-1928.	34	0
1838-1919.	34	0
1937-2022.	33	0
1930-2022.	33	0
1929-1998.	33	0
1923-2011.	33	0
1909-1990.	33	0
1909-1961.	33	0
1904-1989.	33	0
1902-1980.	33	0
1898-1977.	33	0
1889-1957.	33	0
1889-1955.	33	0
1879-1943.	33	0
1876-1951.	33	0
1871-1936.	33	0
1852-1936.	33	0
1850-1901.	33	0
1706-1769,	33	0
1994-	32	0
1951-2021.	32	0
1939-2017.	32	0
1938-2021,	32	0
1930-2021.	32	0
1929-2020.	32	0
1921-2010.	32	0
1921-2009.	32	0
1917-2002.	32	0
1912-1983.	32	0
1907-1987.	32	0
1899-1978.	32	0
1898-1972.	32	0
1898-1971.	32	0
1894-1978.	32	0
1893-1969.	32	0
1889-1963.	32	0
1888-1953.	32	0
1882-1965.	32	0
1877-1948.	32	0
1874-1939.	32	0
1862-1930.	32	0
1859-1943.	32	0
1931-2014.	31	0
1927-2022.	31	0
1915-1993.	31	0
1908-1991.	31	0
1908-1984.	31	0
1906-1992.	31	0
1905-1987.	31	0
1894-1982.	31	0
1893-1984.	31	0
1893-1952,	31	0
1887-1951,	31	0
1886-1964.	31	0
1885-1933.	31	0
1884-1959.	31	0
1878-1932.	31	0
1877-1935.	31	0
1874-1957.	31	0
1868-1936.	31	0
1844-1897,	31	0
1781-1855.	31	0
1727-1797.	31	0
1624-1700.	31	0
1965-2021,	30	0
1931-2016.	30	0
1930-2019.	30	0
1913-1994.	30	0
1911-1999.	30	0
1908-1973,	30	0
1901-1972.	30	0
1894-1977.	30	0
1891-1985.	30	0
1888-1942.	30	0
1888-1935.	30	0
1885-1945.	30	0
1882-1972.	30	0
1882-1941.	30	0
1879-1946.	30	0
1867-1925.	30	0
