Term	Count	Frequency
	726213	65.2
1947-	7022	0.6
1948-	6391	0.6
1951-	6175	0.6
1946-	6020	0.5
1950-	6004	0.5
1945-	5870	0.5
1949-	5835	0.5
1954-	5517	0.5
1952-	5323	0.5
1944-	5201	0.5
1941-	5105	0.5
1955-	5101	0.5
1942-	5048	0.5
1964-	4961	0.4
1958-	4911	0.4
1957-	4747	0.4
1953-	4705	0.4
1962-	4627	0.4
1966-	4594	0.4
1963-	4553	0.4
1967-	4546	0.4
1943-	4463	0.4
1956-	4291	0.4
1961-	4244	0.4
1959-	4200	0.4
1968-	4151	0.4
1965-	4022	0.4
1960-	3981	0.4
1940-	3902	0.4
1939-	3864	0.3
1975-	3603	0.3
1969-	3590	0.3
1974-	3531	0.3
1938-	3474	0.3
1972-	3452	0.3
1976-	3366	0.3
1970-	3317	0.3
1973-	3264	0.3
1971-	3239	0.3
1977-	3156	0.3
1979-	2889	0.3
1978-	2873	0.3
1980-	2582	0.2
1936-	2568	0.2
1982-	2518	0.2
1981-	2495	0.2
1935-	2481	0.2
1937-	2440	0.2
1934-	2161	0.2
1983-	2103	0.2
1932-	2054	0.2
1933-	1982	0.2
1984-	1822	0.2
1930-	1782	0.2
1985-	1686	0.2
1931-	1578	0.1
1929-	1569	0.1
1928-	1387	0.1
1986-	1350	0.1
1987-	1271	0.1
1926-	1162	0.1
1927-	1159	0.1
1988-	1148	0.1
1924-	1116	0.1
1908-1979.	929	0.1
1925-	897	0.1
1989-	861	0.1
1923-	838	0.1
1922-	802	0.1
1804-1877.	774	0.1
1818-1898.	766	0.1
1901-2000,	745	0.1
1914-2001.	743	0.1
1990-	713	0.1
1992-	710	0.1
1919-	629	0.1
1920-	591	0.1
1921-	553	0
1991-	534	0
1917-	525	0
1918-	495	0
1483-1546.	459	0
1861-1921.	449	0
1912-	444	0
1818-1898,	415	0
1890-1976.	414	0
1942-2018.	413	0
1915-	408	0
1739-1804,	408	0
1878-1926.	399	0
1915-2003.	397	0
1911-	384	0
1593-1657,	369	0
1909-	364	0
1916-	353	0
1908-	353	0
1914-2001,	351	0
1914-	348	0
1904-	340	0
1906-	335	0
1873-1956.	333	0
1905-	328	0
1933-2020.	316	0
1876-1916,	304	0
1878-1954.	295	0
1993-	289	0
1903-	286	0
1906-1998.	280	0
1913-	277	0
1921-1993.	275	0
1919-1994.	275	0
1928-2015.	273	0
1608-1670,	270	0
1888-1964.	267	0
1875-1934.	267	0
1907-	266	0
1834-1872,	249	0
1931-2008.	243	0
1684-1771,	242	0
1907-2002.	227	0
1728-1801,	219	0
1617-1688,	219	0
1927-2006.	212	0
1902-	207	0
1869-1913.	202	0
1917-2009.	201	0
1927-2009.	199	0
1946-2020.	198	0
1936-2011.	198	0
1925-2020.	191	0
1794-1846,	187	0
1875-1958.	186	0
1805-1875.	186	0
1905-1995.	185	0
1715-1773,	185	0
1834-1872.	184	0
1828-1905.	184	0
1904-1981.	183	0
1828-1910.	182	0
1924-1985.	181	0
1918-2016.	181	0
1925-2011.	179	0
1920-1992.	179	0
1876-1955.	179	0
1944-2023.	177	0
1936-2023.	177	0
1650-1718,	175	0
1906-1976.	174	0
1564-1616.	174	0
1904-1986.	172	0
1926-2011.	168	0
1910-1995.	166	0
1874-1959.	165	0
1913-2002.	164	0
1910-	161	0
1899-1973.	161	0
1931-2002.	160	0
1926-1977.	160	0
1905-1985.	160	0
1890-1966.	160	0
1897-1994.	159	0
1876-1953.	159	0
1716-1779,	159	0
1908-1998.	156	0
1907-2002,	156	0
1892-1983.	155	0
1890-1968.	155	0
1929-2015.	154	0
1878-1956.	154	0
1901-	152	0
1885-1962.	152	0
1870-1924.	152	0
1878-1953.	151	0
1921-2004.	150	0
1906-1998,	149	0
1904-1984.	149	0
1861-1925.	149	0
1712-1786,	149	0
1908-1973.	148	0
1875-1933.	148	0
1929-2007.	147	0
1912-1995.	146	0
1842-1936.	146	0
1828-1910,	146	0
1905-1986.	145	0
1864-1935.	143	0
1861-1932.	143	0
1898-1976.	142	0
1885-1963.	142	0
1868-1918.	142	0
1911-1982.	141	0
1886-1975.	141	0
1871-1951.	141	0
1901-2000.	139	0
1874-1938.	139	0
1700-1776,	139	0
1923-2013.	138	0
1903-1983.	138	0
1874-1970.	138	0
1844-1897.	138	0
1900-1986.	137	0
1879-1965.	137	0
1908-1979,	136	0
1855-1924.	135	0
1881-1934.	134	0
1860-1939.	133	0
1906-1969.	132	0
1918-2004.	131	0
1871-1951,	131	0
1941-2020.	130	0
1916-2003.	130	0
1855-1922.	130	0
1802-1870.	129	0
1909-1993.	128	0
1885-1964.	128	0
1812-1870.	128	0
1785-1863.	127	0
1615-1690.	127	0
1933-2022.	126	0
1887-1951.	126	0
1724-1804,	126	0
1937-2005.	125	0
1876-1946.	125	0
1651-1700,	125	0
1869-1947.	124	0
1948-2020.	123	0
1880-1939.	123	0
1938-2022.	122	0
1937-1989.	122	0
1884-1960,	122	0
1863-1931.	122	0
1644-1692,	122	0
1919-2000.	121	0
1932-2015.	120	0
1906-1993.	120	0
1893-1968.	120	0
1868-1932.	120	0
1859-1931.	120	0
1953-2021.	119	0
1907-1985.	119	0
1895-1963.	119	0
1873-1948,	119	0
1929-2012.	118	0
1900-1982.	118	0
1942-2018,	117	0
1936-2020.	117	0
1923-2007.	117	0
1904-1972.	117	0
1874-1952.	117	0
1835-1910.	117	0
1885-1950.	116	0
1893-1972.	115	0
1932-2022.	114	0
1918-1997.	114	0
1901-1989.	114	0
1899-1989.	114	0
1871-1967.	114	0
1867-1948.	114	0
1727-1797,	114	0
1657-1729,	114	0
1940-2022.	113	0
1910-1967.	113	0
1895-1973.	113	0
1892-1970.	113	0
1858-1923.	113	0
1821-1881.	113	0
1886-1954.	112	0
1864-1933.	112	0
1924-1997.	111	0
1913-1998.	111	0
1888-1963.	111	0
1928-2012.	110	0
1900-	110	0
1893-1975.	110	0
1874-1942.	110	0
1628-1705,	110	0
1947-2010.	109	0
1897-1988.	109	0
1818-1883.	109	0
kuollut 1714,	108	0
1916-1994.	108	0
1867-1938.	108	0
1934-2021.	107	0
1862-1925.	107	0
1861-1921,	107	0
1935-2017.	106	0
1930-1999.	106	0
1906-1971.	106	0
1860-1898.	106	0
1938-2021.	105	0
1910-1986.	105	0
1878-1932.	105	0
1661-1729,	105	0
1939-2017.	104	0
1935-2020.	104	0
1835-1888.	104	0
1806-1881.	104	0
1953-2023.	103	0
1907-1996.	103	0
1896-1972.	103	0
1924-1984.	102	0
1706-1783,	102	0
1939-2022.	101	0
1937-1983.	101	0
1922-2019.	101	0
1891-1966.	101	0
1870-1958.	101	0
1870-1947.	101	0
1864-1932.	101	0
1945-2002.	100	0
1943-2019.	100	0
1906-1979.	100	0
1905-1955.	100	0
1890-1972.	100	0
1878-1961.	100	0
1859-1943.	100	0
1931-2022.	99	0
1928-2019.	99	0
1920-1999.	99	0
1902-1973.	99	0
1891-1985.	99	0
1889-1962.	99	0
1881-1956.	99	0
1879-1966.	99	0
1866-1937.	99	0
1930-2010.	98	0
1921-2006.	98	0
1918-2009.	98	0
1906-1992.	98	0
1874-1966.	98	0
1860-1904.	98	0
1802-1870,	98	0
1765-1836,	98	0
1926-2004.	97	0
1904-1989.	97	0
1870-1946.	97	0
1779-1860,	97	0
1892-1955.	96	0
1850-1894.	96	0
1722-1803,	96	0
1711-1776.	96	0
1652-1711,	96	0
1927-2001.	95	0
1920-2009.	95	0
1900-1961.	95	0
1891-1972.	95	0
1887-1956.	95	0
1875-1936.	95	0
1994-	94	0
1920-2008.	94	0
1900-1970.	94	0
1895-1980.	94	0
1881-1964.	94	0
1879-1951,	94	0
1924-1988.	92	0
1898-1971.	92	0
1892-1976.	92	0
1876-1954.	92	0
1811-1893.	92	0
1928-2013.	91	0
1907-1988.	91	0
1894-1982.	91	0
1891-1980.	91	0
1891-1963.	91	0
1879-1961.	91	0
1878-1956,	91	0
1941-2000.	90	0
1937-2022.	90	0
1892-1985.	90	0
1892-1923.	90	0
1862-1930.	90	0
1848-1928.	90	0
1848-1924.	90	0
1995-	89	0
1937-2019.	89	0
1917-2002.	89	0
1879-1956.	89	0
1924-2013.	88	0
1917-1977.	88	0
1908-1986.	88	0
1898-1977.	88	0
1886-1954,	88	0
1941-1998.	87	0
1931-2019.	87	0
1930-2022.	87	0
1908-2001.	87	0
1908-1995.	87	0
1899-1971.	87	0
1939-2018.	86	0
1907-1998.	86	0
1887-1957,	86	0
1870-1933.	86	0
1846-1906.	86	0
1845-1928.	86	0
1624-1700.	86	0
1863-1917.	85	0
1850-1913.	85	0
1891-1982.	84	0
1879-1943.	84	0
1862-1939.	84	0
1862-1919.	84	0
1922-2006.	83	0
1907-1987.	83	0
1893-1944.	83	0
1889-1957.	83	0
1871-1936.	83	0
1852-1936.	83	0
1851-1938.	83	0
1964-2022.	82	0
1953-2021,	82	0
1948-2011.	82	0
1875-1954.	82	0
1867-1914.	82	0
1853-1923.	82	0
1760-1852,	82	0
1893-1978.	81	0
1889-1958.	81	0
1883-1965.	81	0
1861-1939.	81	0
1785-1848,	81	0
1564-1616,	81	0
1931-2014.	80	0
1927-2014.	80	0
1889-1970.	80	0
1868-1936.	80	0
1706-1769,	80	0
1934-2022.	79	0
1933-1998.	79	0
1915-1980.	79	0
1913-1982.	79	0
1903-1965.	79	0
1900-1980.	79	0
1896-1986.	79	0
1802-1872.	79	0
1932-2002.	78	0
1909-1990.	78	0
1904-1992.	78	0
1902-1980.	78	0
1888-1942.	78	0
1884-1960.	78	0
1878-1947.	78	0
1871-1955.	78	0
1849-1912.	78	0
1930-2004.	77	0
1927-2022.	77	0
1915-2001.	77	0
1911-1987.	77	0
1905-1982.	77	0
1888-1953.	77	0
1850-1907.	77	0
1933-2012.	76	0
1920-2007.	76	0
1917-2001.	76	0
1915-1967.	76	0
1907-1979.	76	0
1907-1975.	76	0
1906-1971,	76	0
1897-1966.	76	0
1885-1948.	76	0
1879-1958.	76	0
1842-1925.	76	0
1832-1901.	76	0
1938-2011.	75	0
1914-2000.	75	0
1912-1983.	75	0
1893?-1975.	75	0
1889-1955.	75	0
1873-1950.	75	0
1864-1946.	75	0
1843-1929.	75	0
1633-1694,	75	0
1931-2016.	74	0
1926-2016.	74	0
1911-1999.	74	0
1907-1960,	74	0
1903-1974.	74	0
1901-1972.	74	0
1893-1952,	74	0
1880-1949.	74	0
1874-1959,	74	0
1838-1919.	74	0
1903-1995.	73	0
1899-1978.	73	0
1886-1964.	73	0
1867-1960.	73	0
1816-1868.	73	0
1934-2012.	72	0
1920-1981.	72	0
1909-2000.	72	0
1905-1987.	72	0
1896-1977.	72	0
1888-1935.	72	0
1875-1944.	72	0
1873-1948.	72	0
1867-1951.	72	0
1867-1944.	72	0
1849-1919.	72	0
1909-1998.	71	0
1904-1961.	71	0
1890-1976,	71	0
1874-1957.	71	0
1864-1944.	71	0
1800-1867,	71	0
1929-2020.	70	0
1929-1998.	70	0
1923-2011.	70	0
1914-1995.	70	0
1906-1985.	70	0
1898-1972.	70	0
1886-1957.	70	0
1830-1907.	70	0
1827-1913.	70	0
1946-2018.	69	0
1931-2007.	69	0
1929-2006.	69	0
1916-1997.	69	0
1915-1993.	69	0
1908-1993.	69	0
1898-1985.	69	0
1895-1971.	69	0
1894-1935.	69	0
1891-1965.	69	0
1891-1951.	69	0
1889-1963.	69	0
1888-1962.	69	0
1882-1972.	69	0
1879-1946.	69	0
1873-1940.	69	0
1870-1952.	69	0
1783-1868,	69	0
1965-2021,	68	0
1930-2019.	68	0
1930-1997.	68	0
1899-1961.	68	0
1898-1974.	68	0
1893-1967.	68	0
1887-1951,	68	0
1882-1973.	68	0
1882-1965.	68	0
1882-1942.	68	0
1882-1941.	68	0
1880-1943.	68	0
1850-1901.	68	0
1781-1855.	68	0
1926-2010.	67	0
1921-1987.	67	0
1913-1994.	67	0
1900-1989.	67	0
1891-1962.	67	0
1888-1925.	67	0
1872-1950.	67	0
1867-1925.	67	0
1847-1914.	67	0
1831-1891.	67	0
1802-1884.	67	0
1935-2021.	66	0
1932-2012.	66	0
1930-2021.	66	0
1918-1993.	66	0
1912-1998.	66	0
1908-2006.	66	0
1895-1981.	66	0
1895-	66	0
1888-1982.	66	0
1886-1963.	66	0
1874-1939.	66	0
1775-1844,	66	0
1763-1831,	66	0
1660-1704,	66	0
1919-1999.	65	0
1906-1958.	65	0
1900-1944.	65	0
1896-1961.	65	0
1894-1977.	65	0
1893-1984.	65	0
1885-1945.	65	0
1882-1969.	65	0
1879-1922.	65	0
1876-1962.	65	0
1860-1924.	65	0
1828-1905,	65	0
1951-2021.	64	0
1945-2004.	64	0
1924-2003.	64	0
1922-1992.	64	0
1908-1991.	64	0
1907-1996,	64	0
1907-1969.	64	0
1894-1978.	64	0
1890-1960.	64	0
1882-1961.	64	0
1877-1935.	64	0
1846-1928.	64	0
1844-1897,	64	0
1832-1910.	64	0
1925-2013.	63	0
1924-2002.	63	0
1908-1973,	63	0
1900-1964.	63	0
1899-1987.	63	0
1893-1973.	63	0
1892-1966.	63	0
1890-1969.	63	0
1884-1973.	63	0
1883-1964.	63	0
1876-1951.	63	0
1861-1952.	63	0
1858-1940,	63	0
1856-1910.	63	0
1854-1932.	63	0
1851-1925.	63	0
1749-1832.	63	0
kuollut 1664,	62	0
1946-2010.	62	0
1930-2000.	62	0
1921-2010.	62	0
1916-2002.	62	0
1911-1989.	62	0
1909-1961.	62	0
1902-1978.	62	0
1902-1957.	62	0
1902-1957,	62	0
1901-1984.	62	0
1896-1975.	62	0
1877-1960.	62	0
1874-1943.	62	0
1870-1956.	62	0
1850-1916.	62	0
1772-1847.	62	0
1934-2018.	61	0
1933-1995.	61	0
1907-1989.	61	0
1893-1969.	61	0
1889-1975.	61	0
1885-1931.	61	0
1883-1960,	61	0
1877-1948.	61	0
1863-1930.	61	0
1859-1947.	61	0
1858-1927.	61	0
1850-1893.	61	0
1928-2007.	60	0
1910-1983.	60	0
1908-1999.	60	0
1908-1984.	60	0
1905-1955,	60	0
1894-1974.	60	0
1890-1944.	60	0
1889-1967.	60	0
1887-1992.	60	0
1885-1933.	60	0
1884-1948,	60	0
1849-1906.	60	0
1731-1773,	60	0
1617-1688.	60	0
1938-2021,	59	0
1927-2017.	59	0
1924-2020.	59	0
1913-1992.	59	0
1905-1991.	59	0
1887-1946.	59	0
1886-1962.	59	0
1884-1979.	59	0
1884-1976.	59	0
1884-1959.	59	0
1883-1937.	59	0
1876-1947.	59	0
1868-1939.	59	0
1858-1934.	59	0
1794-1860,	59	0
1660-1731.	59	0
1946-1998.	58	0
1944-1999.	58	0
1930-2013.	58	0
1925-2016.	58	0
1922-1993.	58	0
1921-2009.	58	0
1919-1986.	58	0
1913-1988.	58	0
1912-1986.	58	0
1909-1982.	58	0
1902-1974.	58	0
1894-1952.	58	0
1888-1952.	58	0
