Name	Count
-	410873
Kuollut	   953
Noin	   352
Syntynyt	    84
Eaa, Eaa -	    72
Eaa, Noin	    55
Eaa, Eaa	    38
Syntynyt Noin, Kuollut	    36
-luku	    31
Eaa, Tai	    19
Toiminta-aika	    15
Jaa, Noin	    13
Tai	    13
Eli	     8
Syntynyt Ehkä -luvulla, Kuollut	     7
-luku, Toiminta-aika	     6
J kr, Noin	     5
Kr, -	     4
-luku, -	     3
Jälkeen, Kuollut	     3
Puolivälissä, Eli	     3
_	     2
Fl	     2
-luku, /	     1
-luvulla, Kuollut	     1
-noin	     1
-työryhmä, Venäläinen	     1
Alan	     1
Carl	     1
Christian	     1
Conte	     1
K	     1
Kr, -l	     1
Nicholas	     1
Nuorisolautakunta	     1
October	     1
Rannikkoviranomaistyöryhmä	     1
Rune	     1
Syntynyt -luvulla, Kuollut	     1
Syntynyt Noin, Kuollut ,|noin -noin	     1
Syntynyt Noin, Kuollut Ennen	     1
Syntynyt Viim, Kuollut	     1
Syntynyt, Kuollut Jälkeen	     1
Syntynyt, Kuollut Noin	     1
Tilastotoimisto, Tutkimus-	     1
Victor	     1
