Name	Count
Päivänsalo, B H	10
Tolstoi, Leo	 9
Yrjö-koskinen, Yrjö Sakari	 8
Gottlund, Carl Axel	 7
Ignatius, K E F	 7
Reuter, O M	 7
Topelius, Zacharias	 7
Bonsdorff, Jacobus	 6
Kurvinen, Pietari	 6
Laestadius, Lars Levi	 6
Schybergson, M G	 6
Lindgren, Bernh	 5
Setälä, E N	 5
Uhrström, Vilhelm	 5
Westerback, Johan	 5
Forstén, T K	 4
Grotenfelt, Kustavi	 4
Krohn, Julius	 4
Levander, K M	 4
Montépin, Xavier Aymon De	 4
Runeberg, Johan Ludvig	 4
Stanley, Henry M	 4
Sunila, J E	 4
äimä, F	 3
Alighieri, Dante	 3
Bergstrand, Carl Erik	 3
Bonsdorff, E	 3
Brander, Seb	 3
Brehm, Alfred	 3
Colliander, O I	 3
Dumas, Alexandre	 3
Franzén, Frans Michael	 3
Heikinheimo, Olli	 3
Hertzberg, Rafael	 3
Impivaara, Heikki	 3
Johansson, Gustaf	 3
Lönnrot, Elias	 3
Melander, K R	 3
Ojala, Nestor	 3
Ojansuu, Heikki	 3
Rauschenbusch, W	 3
Rosberg, Johan Evert	 3
Salenius, J M	 3
Shakespeare, William	 3
Snellman, Johan Vilhelm	 3
Strömborg, J E	 3
Talvio, Maila	 3
Tigerstedt, örnulf	 3
Wasastjerna, Nils	 3
Zola, Émile	 3
Zweigbergk, P A	 3
Aarne, Antti	 2
Aho, Juhani	 2
Ailio, Julius	 2
Airila, Martti	 2
Arndt, Johann	 2
Aspelin, J R	 2
Beck, J T	 2
Bergroth, Gustaf Elis	 2
Blink, Carl	 2
Brenner, Magnus	 2
Brofeldt, Pekka	 2
Bunyan, John	 2
Cour, Poul La	 2
Darwin, Charles	 2
Doyle, Arthur Conan	 2
Falk, Viktor Von	 2
Granö, J G	 2
Gustafsson, C	 2
Hackman, Victor	 2
Hirn, Karl E	 2
Järnefelt, Akseli Kustaa Leonard	 2
Järvi, T H	 2
Kajanus, Georg August	 2
Karjalainen, K F	 2
Kettunen, Lauri	 2
Krohn, Kaarle	 2
Krummacher, Friedrich Wilhelm	 2
Landor, A Henry Savage	 2
Laurosela, Jussi	 2
Lindberg, Harald	 2
Lübke, Wilhelm	 2
Luther, Martti	 2
Merle D'aubigné, Jean Henri	 2
Neovius, Adolf	 2
Palmén, E G	 2
Pettersson, Victor	 2
Ramsay, Wilhelm	 2
Rein, Thiodolf	 2
Reuter, Enzio	 2
Roos, Magnus Friedrich	 2
Sandman, Jonas Albert	 2
Sarlin, K K	 2
Saxén, Ralf	 2
Schvindt, Theodor	 2
Sirelius, U T	 2
Söderhjelm, Werner	 2
Soldan, Gutten	 2
Starbäck, C Georg	 2
Stenroos, K E	 2
Talmage, T De Witt	 2
Tigerstedt, K K	 2
Viquesnel, M Auguste	 2
Wainio, Edvard August	 2
Waltari, Toimi	 2
Wistrand, August Timoleon	 2
Wrede, R A	 2
Wretlind, E W	 2
Wulffert, Alexander	 2
Zilliacus, Konni	 2
Aarnio, B	 1
Abrahamsson, Gustaf Alfred	 1
Ahlqvist, August	 1
åhrén, E	 1
Aimonen, Anton	 1
Alava, Mikko	 1
Andersen, H C	 1
Andersson, Gunnar	 1
Aro, J E	 1
Arrhenius, Johan	 1
Arwidsson, Adolf Ivar	 1
Aspelin, Henrik Emanuel	 1
Barratt, T B	 1
Bebel, August	 1
Berg, Carl Oskar	 1
Bergh, Edv	 1
Bergh, Johan Fredrik	 1
Bergroth, Ossian	 1
Biaudet, Henry	 1
Blavatsky, Helena Petrovna	 1
Blomstedt, Kaarlo Juhana	 1
Blomstedt, O	 1
Boldt, Robert	 1
Bolin, Wilhelm	 1
Bomansson, J O	 1
Bonsdorff, Carl V	 1
Booth, William	 1
Brühl, G Von	 1
Büttner, Heinrich	 1
Caine, Hall	 1
Cajan, Juhana Fredrik	 1
Cajander, K A	 1
Canth, Minna	 1
Cederberg, Arno Rafael	 1
Cederström, G C U	 1
Clarenburg, W	 1
Conrad, J	 1
Dahlberg, Gustaf	 1
Danielson-kalmari, J R	 1
De Wet, Christiaan	 1
Dieffenbach, Georg Christian	 1
Dietzgen, Joseph	 1
Dimitrov, G	 1
Donner, Kai	 1
Dostojevski, F M	 1
Dumoulin, Pierre	 1
Ebers, Georg	 1
Ekelund, Bror Michael	 1
Ekvall, J U	 1
Elfving, Fredrik	 1
Englund, J A	 1
Erastow, G	 1
Erkko, J H	 1
Europaeus, D E D	 1
Faltin, Richard	 1
Farrar, Frederick William	 1
Fieandt, Einar	 1
Foerster, Fr W	 1
Foy, Mathilda	 1
Friis, Aleks	 1
Funcke, Otto	 1
Furuhjelm, Annie	 1
Gaboriau, E	 1
Gaimard, Paul	 1
Gebhard, Hannes	 1
Geitlin, Johan Gabriel	 1
Gibier, Paul	 1
Godenhjelm, Ida	 1
Gogol, Nikolai	 1
Gough, John Ballantine	 1
Granath, Wilhelm	 1
Grönblad, Edward	 1
Grotenfelt, Arvi	 1
Grotenfelt, Gösta	 1
Gummerus, Herman	 1
Gummerus, J	 1
Gummerus, Jaakko	 1
Gunter, Archibald Clavering	 1
Gyldén, C W	 1
Haanpää, Mikko	 1
Hagman, Tyko	 1
Hahnsson, Johan Adrian	 1
Hainari, O A	 1
Hämäläinen, Albert	 1
Hammarsten, Fr	 1
Härting, R	 1
Hartmann, Hugo	 1
Hästesko, F A	 1
Hausen, Reinhold	 1
Hedin, Sven	 1
Heidenstam, Verner Von	 1
Heikel, Axel O	 1
Heikinheimo, Anna-liisa	 1
Heinricius, P A	 1
Herlin, Rafael	 1
Hevésy, Ludvig	 1
Hilli, Fritiof	 1
Hintikka, S V	 1
Hirn, D F	 1
Hisinger, Eduard	 1
Hjelt, Edv	 1
Holma, Harri	 1
Holmberg, Carl Emil	 1
Holsti, Rudolf	 1
Homén, Theodor	 1
Honigh, C	 1
Hult, Ragnar	 1
Hultman, Oskar	 1
Huusmann, K	 1
Ingraham, Joseph Holt	 1
Itkonen, T I	 1
Ivalo, Santeri	 1
Jalas, Rakel	 1
Janson, Chr	 1
Janson, Gustaf	 1
Johansson, Erik	 1
Johnstone, Arthur Edward	 1
Jokinen, E	 1
Jokipaltio, V	 1
Josephson, Aksel G S	 1
Jurva, Risto	 1
Juvelius, J W	 1
Kankaanpää, V	 1
Karlsson, Karl J	 1
Karpio, Dagmar	 1
Karsten, Petter Adolf	 1
Karsten, Rafael	 1
Keinänen, S A	 1
Kilpeläinen, E	 1
Klaveness, Thv	 1
Kock, Henry De	 1
Korhonen, Arvi	 1
Koskinen, Juho	 1
Krestovski, Vsevolod	 1
Krüger, Stephanus Johannes Paulus Paul	 1
Kujola, Joh	 1
L	 1
Lagus, Wilhelm	 1
Langensköld, Agnes	 1
Långfors, Arthur	 1
Länkelä, Jaakko	 1
Laskovski, F F	 1
Lehmus, Toivo	 1
Leo, Gottlob Edvard	 1
Liewendal, Frans Oskar	 1
Lindfors, N	 1
Lindqvist, Carl Adolf	 1
Lindroth, J Ivar	 1
Long, James	 1
Mäkinen, Antti	 1
Mantere, Oskari	 1
March, Daniel	 1
Martikainen, Aura	 1
Matter, M	 1
Mela, Aukusti Juhana	 1
Mérimée, Prosper	 1
Meyer, Carla	 1
Miller, Joh Pet	 1
Moring, Karl	 1
Morris, William	 1
Musikka, Väinö	 1
Mustala, Hellin	 1
Myrsky, Eino	 1
Nielsen, Hans	 1
Nielsen, Konrad	 1
Niemi, Aukusti Robert	 1
Nieminen, Kaarlo	 1
Nordling, Elis	 1
Nordlund, A O	 1
Nordqvist, Osc	 1
Nummelin, P A	 1
Nyström, Garibaldi	 1
Ojala, Herman	 1
Ojala, N	 1
Olsen, Rannveig	 1
Olsson-seffer, Pehr	 1
Paasonen, Heikki	 1
Palander, Edvard Wilhelm	 1
Palmgren, Alvar	 1
Palmgren, Rolf	 1
Parm, Margarethe	 1
Pauli, J	 1
Pestalozzi, Johann Heinrich	 1
Petrovskij, Sergej	 1
Petterson, Erik Viktor	 1
Pihlemann, J	 1
Pipping, Fredrik Wilhelm	 1
Pipping, Hugo	 1
Poppius, B	 1
Pütz, Wilhelm	 1
Raala, R	 1
Rabbe, Fabian	 1
Rambach, Johann Jacob	 1
Reijonen, Juho	 1
Reima, Vilho	 1
Renvall, Tancred T	 1
Richter, Ingeborg	 1
Roos, Samuel	 1
Rosendal, Mauno	 1
Runeberg, J L	 1
Ruuth, J W	 1
Sahlberg, John	 1
Salminen, Carl H	 1
Saphir, Adolf	 1
Saurio, Elli	 1
Savander, Otto	 1
Schiefner, Anton	 1
Schlatter, A	 1
Schweitzer, Ph	 1
Sederholm, C R	 1
Siegberg, Artur	 1
Sienkiewicz, Henryk	 1
Silfverberg, K W	 1
Sivén, Deryck	 1
Skovgaard-petersen, C	 1
Smith, Carl Edvard	 1
Soikkeli, Kaarle	 1
Sombart, Werner	 1
Stern, Alfred	 1
Strukel, M	 1
Sully, James	 1
Sundman, Gösta	 1
Suomalainen, E W	 1
Tanner, A F	 1
Tawaststjerna, Werner	 1
Telman, Konrad	 1
Teräsvuori, Kaarlo	 1
Thomas, Louis	 1
Thornton, J P	 1
Tigerstedt, A F	 1
Toivonen, Y H	 1
Tolstoi, Aleksei Konstantinovitš	 1
Topelius, Z	 1
Tunkelo, E A	 1
Turkia, Matti	 1
