Name	Count
	440205
Cupido,	  1085
Disney,	   456
Goscinny,	   220
Outsider.	   209
Larin-Kyösti,	   154
Morris.	   146
Outsider,	   126
Teutori,	   121
Mattel,	   120
Juba,	   113
Hergé.	   107
Aapeli,	    85
Altan,	    78
Diverse,	    71
Olli,	    63
Franquin.	    57
Agapetus,	    54
Runa.	    52
Arvily,	    50
Työryhmä,	    49
Fogeli,	    48
Aina,	    47
Kauppis-Heikki,	    46
Maria,	    45
Vaasan-Jaakkoo,	    45
Valentin,	    45
Platon,	    44
Tiitus.	    44
Marvel,	    42
Kustaa	    41
Jammu,	    39
Chleo,	    38
Janosch.	    38
Olrik,	    38
Hulkkonen,	    37
Molière,	    37
Sempé.	    36
Panteleimon,	    31
Janosch,	    30
Lilith,	    30
Sangharakshita,	    30
Tuomas,	    29
Sofokles,	    28
Voltaire,	    28
,	    27
eOne,	    27
Plato,	    27
Wallu,	    27
Aristoteles,	    26
Helena	    25
Korhos-Heikki,	    25
Augustinus,	    24
Peyo,	    24
Sokal.	    24
Johannes,	    23
Lise,	    23
Suonio,	    23
Tome.	    23
Arijoutsi,	    22
Fuse,	    22
Paavali,	    21
Peyo.	    21
Aiskhylos,	    20
Stendhal.	    19
Homeros.	    18
Origo,	    18
Tupa-Uuno,	    18
Aisopos.	    17
Bahá'u'lláh,	    17
Jari,	    17
Saki.	    17
Victor,	    17
Ánandamúrti,	    16
Hermann,	    16
Michael	    16
Osho,	    16
Veijon-Veikko.	    16
Adi-setä,	    15
Erasmus,	    15
Hergé,	    15
Herman,	    15
Saki,	    15
Serp,	    15
A-ï-a,	    14
Erkki-Mikael,	    14
Homeros,	    14
Isoäiti,	    14
Morris,	    14
Pasa,	    14
Troll,	    14
Yann.	    14
Benedictus	    13
Esko	    13
Kristoduli,	    13
Pasa.	    13
Anonyymi.	    12
Artemajos.	    12
Aura,	    12
Bisquit,	    12
Hannu,	    12
Leo,	    12
Nemo,	    12
Tres.	    12
Aesop,	    11
Andreas,	    11
Artemajos,	    11
Berck.	    11
Laotse,	    11
Magdalena.	    11
Ouida,	    11
Peach-Pit,	    11
Sigurd,	    11
Sjón,	    11
Smythe.	    11
Topias,	    11
Ambrosius,	    10
Etna.	    10
Euripides.	    10
J.-nen,	    10
Lodbrok,	    10
Rintamäki.	    10
Sanrio,	    10
Teresa,	    10
Teutori.	    10
Ukami,	    10
Zapp.	    10
Ái,	     9
Dupuy.	     9
Elina,	     9
Franquin,	     9
Fridsamme,	     9
Homo	     9
Plutarkhos,	     9
Tuulia,	     9
'Abdu'l-Bahá.	     8
Achdé,	     8
Ahndongshik,	     8
Amma,	     8
Colette,	     8
Derib.	     8
Epiktetos.	     8
Kaarina,	     8
Ksenofon,	     8
Laulajapoika,	     8
Lukianos.	     8
Moebius,	     8
Samson,	     8
Syster,	     8
Thelwell.	     8
THiLO,	     8
Anka.	     7
Arseni,	     7
Bernadette.	     7
Franciscus,	     7
Hanski	     7
Hessu.	     7
Keuhkotautinen.	     7
Kuparikettu,	     7
Miklu,	     7
P.,	     7
Sapper,	     7
SusuPetal.	     7
TaoLin,	     7
Thukydides.	     7
Tibet.	     7
Zep.	     7
Aate,	     6
Achdé.	     6
Clamp,	     6
Galka,	     6
Grönroos,	     6
Guyon,	     6
Hanokage,	     6
Henkipatto,	     6
Jambo,	     6
Jay,	     6
Jenny-Cecilia.	     6
