Name	Count
	19163
Aina,	   37
Maria,	   34
Kauppis-Heikki,	   15
A-ï-a,	   14
Larin-Kyösti,	   14
Tuomas,	   14
Runa.	   12
Suonio,	   10
Tres.	   10
Nemo,	    9
J.-nen,	    8
Aura,	    7
Korhos-Heikki,	    7
Lodbrok,	    7
Molière,	    7
Sigurd,	    6
Tiitus.	    6
Veijon-Veikko.	    6
-el-el-,	    5
Emlekyl,	    5
Kullervo	    5
X.,	    5
A***,	    4
Aarne,	    4
Christoph.	    4
Elia,	    4
Emilia,	    4
Laulajapoika,	    4
Lea.	    4
Lrn,	    4
Suomenmielinen,	    4
Tuomi.	    4
-ijo-,	    3
-n,	    3
-s.	    3
Augustinus,	    3
E.,	    3
Eekku.	    3
Eukleides,	    3
Iliodor.	    3
Itikka,	    3
Kario,	    3
Kuusi,	    3
Kyösti,	    3
Marinero,	    3
Nepomuk.	    3
Österviking,	    3
Platon,	    3
Rosenthal.	    3
Selja.	    3
Sofokles,	    3
Sphinx,	    3
Sulka,	    3
Syster,	    3
Torborg.	    3
Viebahn,	    3
-gf-,	    2
-i,	    2
-l-b-s,	    2
-n.	    2
-nd-	    2
-r-t.	    2
-u.,	    2
A-a,	    2
Aan,	    2
Aira.	    2
Aisopos.	    2
Alceste,	    2
Aleksanteri	    2
Aquila,	    2
Arius,	    2
Broom,	    2
Broom.	    2
Cicero.	    2
Edvin,	    2
Eichorn,	    2
Elna.	    2
Ensio.	    2
Faust,	    2
Flavia,	    2
Hermogen.	    2
Hungerford,	    2
Huvineuvos.	    2
Il-o,	    2
Inkala.	    2
Isko,	    2
Jorma	    2
Kansakoulunopettaja,	    2
Karola,	    2
Kenraali,	    2
Keuhkotautinen.	    2
Kimmo,	    2
Koito,	    2
l-r-l.	    2
Labiche.	    2
Lakimies,	    2
Lördags-Pelle,	    2
Lungsotist.	    2
Nissen,	    2
Ouida,	    2
Parvus.	    2
Pilgrimen,	    2
Prest,	    2
Rikord.	    2
Salon-Kaiku.	    2
Santeri,	    2
Schmidt,	    2
Silla,	    2
Suomalainen.	    2
T...u.	    2
Talmage,	    2
Tohtori-Eno,	    2
Tukydides.	    2
Vagabond,	    2
Vakuutusmies,	    2
Waaranen,	    2
Wilma.	    2
Z.,	    2
-?-.	    1
