Name	Count
	1185692
FI-Gmc	    123
FI-Ga	     94
FI-Suom.kaunokirj.1	     83
FI-Om	     77
FI-Cb	     65
FI-Ea	     65
FI-Gb	     61
FI-Vm	     56
FI-Ca	     55
FI-Da	     54
FI-Ekm	     51
FI-Mm	     42
FI-Gt	     40
FI-Metsanhoito 2	     36
FI-Suom. kiel. 3	     33
FI-Ea3	     32
FI-Lakitiede 3	     28
FI-Srm	     25
FI-Monisteet 1. HY	     23
FI-K.Hbrtauskirj	     22
FI-Suom. kaunok. 3	     21
FI-Eksegetiikka	     20
FI-Hbrtauskirj	     20
FI-Om;FI-Vm	     20
FI-Matematiikka	     19
FI-Van	     18
FI-Diss. HY	     17
FI-Tiet. seur.: Suom. kirj. seura	     16
FI-Helsingin yliopisto 11	     14
FI-Matematiikka;FI-Ga	     14
FI-Suom. kaunokirj. 2	     14
FI-Eb	     13
FI-Metsanhoito 3	     13
FI-Jm	     12
FI-Laäketiede 3	     12
FI-Musiikki 4	     12
FI-Ty	     12
FI-Eea	     11
FI-Eeb	     11
FI-Siv.seur.: Kansanvalistusseura 3	     11
FI-Metsanhoito 1	     10
FI-Tuomiokapitulit	     10
FI-Cb Valtion	      9
FI-K.Teologia	      9
FI-Pohjoism. kielit	      9
FI-Saarnakirj	      9
FI-Tiet. seur.: Geol. toimik	      9
FI-Da3	      8
FI-Teollisuus 3	      8
FI-1992- ks. nidetiedot	      7
FI-Cb Yleisradio	      7
FI-Kam	      7
FI-Karjanhoito 3	      7
FI-Musiikki 3	      7
FI-Pm	      7
FI-Suom. elamäkerrat 2	      7
FI-Ca Helsinki	      6
FI-Db Bévère	      6
FI-Japa	      6
FI-JYU	      6
FI-Ka	      6
FI-Ka15	      6
FI-Kirjastot 3 Suomen	      6
FI-Suom. kiel. 2	      6
FI-Yl. luonnontiede	      6
FI-Yleiset sarjat 1	      6
FI-1993- ks. nidetiedot	      5
FI-Cb Helsingin	      5
FI-Dea	      5
FI-Fa	      5
FI-Germ. kielit	      5
FI-Kasvatusoppi 3	      5
FI-Kotitalous 3	      5
FI-Maanviljelys 2B	      5
FI-Om;FI-Vm;FI-Kom	      5
FI-Pienkarjanhoito 2	      5
FI-Raamatunhist	      5
FI-Saarnakirjallisuus	      5
FI-Suom. hist. 3	      5
FI-Suom. kaunok. 4	      5
FI-Suom. lastenkirj. 3	      5
FI-Teologia 3	      5
FI-Tiet. seur.: Soc. pro fauna et flora	      5
FI-Tiet. seur.: Suom. ekseg. seura	      5
FI-Tiet. seur.: Suom. tiedeakatemia	      5
FI-1991- ks. nidetiedot	      4
FI-1992- ks. nidetiedot;FI-Ea3	      4
FI-1994- ks. nidetiedot	      4
FI-Ekm;FI-Ekm	      4
FI-Kalastus 3	      4
FI-Kirjastot 2 Alkon	      4
FI-Kirkkohist	      4
FI-Maantiede 1;FI-Ga	      4
FI-Om;FI-Gt	      4
FI-Om;FI-Kom	      4
FI-Suom. kaunok. 2	      4
FI-Suom. kaunokirj. 1	      4
FI-Turun yliopisto 1	      4
FI-Yl.lukemistot 1	      4
FI-1993- ks. nidetiedot;FI-Ea3	      3
FI-1995- ks. nidetiedot	      3
FI-Cb Jyvaskylän	      3
FI-Cb Tampereen	      3
FI-Eb Hbkulin	      3
FI-Fysiikka	      3
FI-Gmc;FI-JYU	      3
FI-Jyvaskylän kasvatusop. korkeak. 1	      3
FI-K. Metsanhoito	      3
FI-K.Oikeustiede	      3
FI-Kansatiede	      3
FI-Kava	      3
FI-losofia	      3
FI-Maanmittaus 3	      3
FI-Maantiede 1	      3
FI-Maanvilj. 2B	      3
FI-Maanviljelys 3	      3
FI-Om;FI-He	      3
FI-Om;FI-Kam	      3
FI-Puutarhanhoito 2	      3
FI-Tiet. seur.: Suomen tiedeseura	      3
FI-Turun yliopisto 11	      3
FI-Tyovaenkys. 3	      3
FI-Yl. hakuteokset	      3
FI-1939-44	      2
FI-1991- ks. nidetiedot;FI-Ea3	      2
FI-1994- ks. nidetiedot;FI-Ea3	      2
FI-1997- ks. nidetiedot	      2
FI-2001- ks. nidetiedot	      2
FI-Ca Teknillisen	      2
FI-Cb Helsinki	      2
FI-Da Hbavikko	      2
FI-Db Bévère;FI-2001- ks. nidetiedot	      2
FI-Db Bévère;FI-2001- ks. nidetiedot;FI-Ea3	      2
FI-Db Bévère;FI-Ea3	      2
FI-Diss. HY;FI-Metsanhoito 2	      2
FI-Diss. TY	      2
FI-Ea3;FI-1991- ks. nidetiedot	      2
FI-Ed	      2
FI-Fa;FI-Ca	      2
FI-Foliot	      2
FI-Gb Harmä	      2
FI-H3	      2
FI-Hbrtauskirj.;FI-Ea	      2
FI-Helsingin yliopisto 5	      2
FI-Heng. seurat 1	      2
FI-K.Fol	      2
FI-K.Henkilokirj	      2
FI-Kasik	      2
FI-Kirj. hist	      2
FI-Lahetys	      2
FI-Maantiede 2	      2
FI-Mm;FI-Kam;FI-Jm	      2
FI-Om;FI-Gt;FI-Vm	      2
FI-Om;FI-Ka	      2
FI-Om;FI-Vm;FI-He	      2
FI-Om;FI-Vm;FI-Kam	      2
FI-Pm;FI-Rauma	      2
FI-Pohj. laäket. sarjat	      2
FI-Pohjoism. kielit.;FI-Ga	      2
FI-Rm	      2
FI-Sosiaalipolitiikka 2	      2
FI-Sosiaalipolitiikka 3	      2
FI-SUK	      2
FI-Suom. kaunok. 6	      2
FI-Suom. kaunok. 6, Hbavio, Elina	      2
FI-Suom. lastenkirj. 4	      2
FI-Teollisuusliikkeet 2	      2
FI-Teologia 2	      2
FI-Tiet. seur.: Duodecim	      2
FI-Tiet. seur.: Maantiet. seurat	      2
FI-Ty;FI-Ka	      2
FI-Valtio-oppi. 3	      2
FI-Vm;FI-Ka	      2
FI-Yl. hist	      2
FI-Yleinen historia	      2
FI-1977- ks. nidetiedot	      1
