original	language_count	multilingual	languages	language_primary	Count
fin	 1	FALSE	Finnish	Finnish	777658
eng	 1	FALSE	English	English	128663
swe	 1	FALSE	Swedish	Swedish	110294
	 0	FALSE	Undetermined	Undetermined	 49548
fin;swe	 2	TRUE	Finnish;Swedish	Finnish	 27330
ger	 1	FALSE	German	German	 13953
fin;eng	 2	TRUE	Finnish;English	Finnish	 12243
lat	 1	FALSE	Latin	Latin	  9954
fin;swe;eng	 3	TRUE	Finnish;Swedish;English	Finnish	  6972
rus	 1	FALSE	Russian	Russian	  4884
mul	 1	FALSE	Multiple languages	Multiple languages	  4360
fre	 1	FALSE	French	French	  3599
eng;fin	 2	TRUE	English;Finnish	English	  3000
swe;fin	 2	TRUE	Swedish;Finnish	Swedish	  2454
fin;ger	 2	TRUE	Finnish;German	Finnish	  1762
est	 1	FALSE	Estonian	Estonian	  1543
dan	 1	FALSE	Danish	Danish	  1483
nor	 1	FALSE	Norwegian	Norwegian	  1237
ger;fin	 2	TRUE	German;Finnish	German	  1164
fin;swe;eng;ger	 4	TRUE	Finnish;Swedish;English;German	Finnish	  1125
und	 0	FALSE	Undetermined	Undetermined	   952
spa	 1	FALSE	Spanish	Spanish	   866
fin;rus	 2	TRUE	Finnish;Russian	Finnish	   855
ita	 1	FALSE	Italian	Italian	   738
lat;swe	 2	TRUE	Latin;Swedish	Latin	   647
hun	 1	FALSE	Hungarian	Hungarian	   620
fin;fre	 2	TRUE	Finnish;French	Finnish	   570
rus;fin	 2	TRUE	Russian;Finnish	Russian	   532
swe;eng	 2	TRUE	Swedish;English	Swedish	   516
smi	 1	FALSE	Sami	Sami	   479
fre;fin	 2	TRUE	French;Finnish	French	   475
dut	 1	FALSE	Dutch	Dutch	   455
fin;lat	 2	TRUE	Finnish;Latin	Finnish	   418
eng;ger	 2	TRUE	English;German	English	   408
swe;dan;nor	 3	TRUE	Swedish;Danish;Norwegian	Swedish	   397
pol	 1	FALSE	Polish	Polish	   369
swe;lat	 2	TRUE	Swedish;Latin	Swedish	   366
jpn	 1	FALSE	Japanese	Japanese	   338
cze	 1	FALSE	Czech	Czech	   327
spa;fin	 2	TRUE	Spanish;Finnish	Spanish	   299
krl	 1	FALSE	Karelian	Karelian	   297
lat;grc	 2	TRUE	Latin;Greek, Ancient (to 1453)	Latin	   285
fin;eng;ger	 3	TRUE	Finnish;English;German	Finnish	   280
eng;swe	 2	TRUE	English;Swedish	English	   269
fin;swe;eng;ger;rus	 5	TRUE	Finnish;Swedish;English;German;Russian	Finnish	   251
fin;est	 2	TRUE	Finnish;Estonian	Finnish	   226
lav	 1	FALSE	Latvian	Latvian	   208
afa	 1	FALSE	Afroasiatic (Other)	Afroasiatic (Other)	   193
eng;fre	 2	TRUE	English;French	English	   193
fin;eng;rus	 3	TRUE	Finnish;English;Russian	Finnish	   190
fin;ita	 2	TRUE	Finnish;Italian	Finnish	   187
fin;swe;mul	 3	TRUE	Finnish;Swedish;Multiple languages	Finnish	   176
fiu	 1	FALSE	Finno-Ugrian (Other)	Finno-Ugrian (Other)	   169
fin;spa	 2	TRUE	Finnish;Spanish	Finnish	   163
lit	 1	FALSE	Lithuanian	Lithuanian	   161
fin;swe;ger	 3	TRUE	Finnish;Swedish;German	Finnish	   153
lat;fre	 2	TRUE	Latin;French	Latin	   152
fin;eng;swe	 3	TRUE	Finnish;English;Swedish	Finnish	   151
lat;fin	 2	TRUE	Latin;Finnish	Latin	   149
ger;swe	 2	TRUE	German;Swedish	German	   149
epo	 1	FALSE	Esperanto	Esperanto	   143
eng;rus	 2	TRUE	English;Russian	English	   143
swe;ger	 2	TRUE	Swedish;German	Swedish	   142
ice	 1	FALSE	Icelandic	Icelandic	   133
smi;sme	 2	TRUE	Sami;Northern Sami	Sami	   129
fin;smi	 2	TRUE	Finnish;Sami	Finnish	   127
fin;swe;eng;ger;fre	 5	TRUE	Finnish;Swedish;English;German;French	Finnish	   123
por	 1	FALSE	Portuguese	Portuguese	   119
fin;swe;fre	 3	TRUE	Finnish;Swedish;French	Finnish	   116
fin;eng;fre	 3	TRUE	Finnish;English;French	Finnish	   115
sme	 1	FALSE	Northern Sami	Northern Sami	   113
dan;nor;swe	 3	TRUE	Danish;Norwegian;Swedish	Danish	   112
eng;ger;fre	 3	TRUE	English;German;French	English	   111
ita;fin	 2	TRUE	Italian;Finnish	Italian	   108
swe;fre	 2	TRUE	Swedish;French	Swedish	   108
chi	 1	FALSE	Chinese	Chinese	   107
bul	 1	FALSE	Bulgarian	Bulgarian	   100
fin;hun	 2	TRUE	Finnish;Hungarian	Finnish	    95
tur	 1	FALSE	Turkish	Turkish	    93
fin;nor	 2	TRUE	Finnish;Norwegian	Finnish	    91
slv	 1	FALSE	Slovenian	Slovenian	    86
swe;rus	 2	TRUE	Swedish;Russian	Swedish	    85
swe;fin;eng	 3	TRUE	Swedish;Finnish;English	Swedish	    81
fin;swe;rus	 3	TRUE	Finnish;Swedish;Russian	Finnish	    80
rum	 1	FALSE	Romanian	Romanian	    79
lat;ger	 2	TRUE	Latin;German	Latin	    78
ger;eng	 2	TRUE	German;English	German	    76
swe;nor	 2	TRUE	Swedish;Norwegian	Swedish	    76
slo	 1	FALSE	Slovak	Slovak	    74
fin;swe;lat	 3	TRUE	Finnish;Swedish;Latin	Finnish	    72
