Name	Count	Percentage
u	93	59.24
rusfin	 8	 5.10
fra	 3	 1.91
ufin	 3	 1.91
e	 2	 1.27
er	 2	 1.27
fineng	 2	 1.27
finswe	 2	 1.27
isl	 2	 1.27
ng	 2	 1.27
-22	 1	 0.64
-79	 1	 0.64
.	 1	 0.64
)	 1	 0.64
$h	 1	 0.64
0 (	 1	 0.64
77-	 1	 0.64
951	 1	 0.64
bulfin	 1	 0.64
d fin	 1	 0.64
eng fin	 1	 0.64
f	 1	 0.64
f i	 1	 0.64
f20091772	 1	 0.64
FI-NL	 1	 0.64
fine	 1	 0.64
finjpn	 1	 0.64
finmul	 1	 0.64
fis	 1	 0.64
g	 1	 0.64
gerfin	 1	 0.64
gernorfin	 1	 0.64
gfr	 1	 0.64
hut	 1	 0.64
kur fin	 1	 0.64
kwn	 1	 0.64
li	 1	 0.64
mari	 1	 0.64
n	 1	 0.64
nid	 1	 0.64
nid.	 1	 0.64
no	 1	 0.64
PDF	 1	 0.64
s	 1	 0.64
swefin	 1	 0.64
swes	 1	 0.64
sws	 1	 0.64
wee	 1	 0.64
