id1,id2,language,discarded
3598816,349102|FCC000757605,u,u
4092289,FCC005675963|906262,swedannor,swedannor
4092302,906280|FCC005245641,finswe,finswe
4100178,918143|FCC005654238,fineng,fineng
4104263,923062|FCC005656556,fineng,fineng
5639500,FCC018796716,fit,fit
5644042,FCC018822174,fit,fit
5706687,FCC019059792,fit,fit
5723188,FCC019073236,fit,fit
5723560,FCC019074575,fit,fit
5765140,FCC019095132,fit,fit
5765534,FCC019096796,fit,fit
5768922,FCC019102230,fit,fit
5769250,FCC019119965,fit,fit
5776580,FCC019154173,fit,fit
5895917,FCC019414398,fit|swe|fin,fit
5920981,FCC019503033,fit,fit
5920982,FCC019503034,fit,fit
