Name	Count	Percentage
Finnish	33590	58.40
Swedish	17340	30.15
Russian	 1940	 3.37
German	 1914	 3.33
Latin	 1037	 1.80
French	  611	 1.06
English	  451	 0.78
Danish	  136	 0.24
Estonian	   95	 0.17
Multiple languages	   58	 0.10
Norwegian	   55	 0.10
Hungarian	   40	 0.07
Italian	   37	 0.06
Afroasiatic (Other)	   31	 0.05
Finno-Ugrian (Other)	   21	 0.04
Dutch	   18	 0.03
Polish	   18	 0.03
Sami	   16	 0.03
Esperanto	   14	 0.02
Icelandic	   14	 0.02
Spanish	   14	 0.02
Undetermined	   12	 0.02
Latvian	    8	 0.01
Germanic (Other)	    7	 0.01
Czech	    6	 0.01
Karelian	    4	 0.01
Lithuanian	    4	 0.01
Ndonga	    4	 0.01
Unrecognized	    4	 0.01
Greek, Ancient (to 1453)	    3	 0.01
Japanese	    2	 0.00
Ukrainian	    2	 0.00
Armenian	    1	 0.00
Ido	    1	 0.00
Moksha	    1	 0.00
Northern Sami	    1	 0.00
Ossetic	    1	 0.00
Romanian	    1	 0.00
Southern Sami	    1	 0.00
Tibetan	    1	 0.00
Yiddish	    1	 0.00
