Name	Count	Percentage
Finnish	782647	65.21
English	131240	10.93
Swedish	111821	 9.32
Undetermined	 53828	 4.48
Finnish;Swedish	 27430	 2.29
German	 14054	 1.17
Finnish;English	 12182	 1.01
Latin	  8567	 0.71
Finnish;Swedish;English	  7086	 0.59
Russian	  5401	 0.45
Multiple languages	  4382	 0.37
French	  3529	 0.29
English;Finnish	  3075	 0.26
Swedish;Finnish	  2530	 0.21
Finnish;German	  1697	 0.14
Estonian	  1547	 0.13
Danish	  1441	 0.12
Norwegian	  1189	 0.10
German;Finnish	  1181	 0.10
Finnish;Swedish;English;German	  1136	 0.09
Spanish	   851	 0.07
Finnish;Russian	   809	 0.07
Italian	   728	 0.06
Latin;Swedish	   675	 0.06
Hungarian	   604	 0.05
Russian;Finnish	   544	 0.05
Finnish;French	   542	 0.05
Swedish;Latin	   537	 0.04
Swedish;English	   505	 0.04
Sami	   478	 0.04
French;Finnish	   475	 0.04
Dutch	   455	 0.04
Finnish;Latin	   417	 0.03
English;German	   398	 0.03
Swedish;Danish;Norwegian	   384	 0.03
Japanese	   373	 0.03
Polish	   365	 0.03
Czech	   321	 0.03
Spanish;Finnish	   314	 0.03
Latin;Greek, Ancient (to 1453)	   310	 0.03
Karelian	   300	 0.02
English;Swedish	   279	 0.02
Finnish;English;German	   275	 0.02
Finnish;Swedish;English;German;Russian	   262	 0.02
Finnish;Estonian	   227	 0.02
Finnish;Swedish;Multiple languages	   213	 0.02
Latvian	   203	 0.02
Finnish;English;Russian	   191	 0.02
English;French	   188	 0.02
Finnish;Italian	   184	 0.02
Afroasiatic (Other)	   166	 0.01
Finnish;English;Swedish	   166	 0.01
Finno-Ugrian (Other)	   165	 0.01
Lithuanian	   162	 0.01
Finnish;Spanish	   156	 0.01
German;Swedish	   151	 0.01
Sami;Northern Sami	   149	 0.01
Latin;French	   147	 0.01
Latin;Finnish	   146	 0.01
Finnish;Swedish;German	   142	 0.01
English;Russian	   140	 0.01
Swedish;German	   140	 0.01
Northern Sami	   138	 0.01
Esperanto	   137	 0.01
Icelandic	   129	 0.01
Finnish;Sami	   128	 0.01
Finnish;Swedish;English;German;French	   120	 0.01
Portuguese	   116	 0.01
Finnish;Swedish;French	   110	 0.01
English;German;French	   109	 0.01
Swedish;French	   109	 0.01
Finnish;English;French	   108	 0.01
Danish;Norwegian;Swedish	   107	 0.01
Chinese	   106	 0.01
Finnish;English;Multiple languages	   106	 0.01
Italian;Finnish	   105	 0.01
Tatar	   103	 0.01
Bulgarian	    95	 0.01
Finnish;Hungarian	    93	 0.01
Finnish;Norwegian	    92	 0.01
Turkish	    91	 0.01
Swedish;Russian	    87	 0.01
Romanian	    86	 0.01
Slovenian	    84	 0.01
Finnish;Swedish;Russian	    80	 0.01
Latin;Persian	    78	 0.01
Swedish;Finnish;English	    78	 0.01
Swedish;Norwegian;Danish	    78	 0.01
German;English	    75	 0.01
Latin;German	    74	 0.01
Swedish;Norwegian	    73	 0.01
Arabic	    72	 0.01
Estonian;Finnish	    72	 0.01
Finnish;Swedish;Latin	    72	 0.01
Slovak	    72	 0.01
French;English	    67	 0.01
Finnish;Swedish;Danish;Norwegian	    65	 0.01
Latin;Greek, Ancient (to 1453);Swedish	    65	 0.01
Hebrew	    63	 0.01
Swedish;Danish	    63	 0.01
Finnish;Arabic	    62	 0.01
Finnish;Japanese	    62	 0.01
Ukrainian	    61	 0.01
Finnish;Esperanto	    60	 0.00
Sami;Inari Sami	    60	 0.00
Finnish;Swedish;English;Russian	    59	 0.00
Greek, Modern (1453-)	    59	 0.00
English;Finnish;Swedish	    53	 0.00
French;Swedish	    53	 0.00
Croatian	    51	 0.00
English;French;German	    51	 0.00
Finnish;Swedish;English;German;French;Russian	    51	 0.00
Finnish;Swedish;English;French	    50	 0.00
Finnish;Multiple languages	    49	 0.00
Finnish;Swedish;English;Multiple languages	    47	 0.00
Ndonga	    47	 0.00
Finnish;Finno-Ugrian (Other)	    45	 0.00
Russian;English	    43	 0.00
Finnish;Chinese	    42	 0.00
Finnish;Swedish;English;French;German;Russian	    42	 0.00
Hungarian;Finnish	    42	 0.00
Russian;Swedish	    42	 0.00
Somali	    41	 0.00
Finnish;Karelian	    40	 0.00
Latin;Swedish;Greek, Ancient (to 1453)	    40	 0.00
Swedish;English;German	    40	 0.00
Finnish;Greek, Modern (1453-)	    39	 0.00
Albanian	    38	 0.00
English;Chinese	    38	 0.00
Swedish;Danish;Norwegian;English	    37	 0.00
Finnish;Danish	    36	 0.00
Danish;Swedish	    35	 0.00
Persian	    35	 0.00
Serbian	    35	 0.00
Japanese;Finnish	    34	 0.00
Afrikaans	    33	 0.00
Finnish;English;German;French	    33	 0.00
Finnish;Hebrew	    33	 0.00
Finnish;Swedish;English;French;German	    33	 0.00
Finnish;Swedish;Norwegian	    33	 0.00
English;Akkadian	    32	 0.00
Finnish;Portuguese	    31	 0.00
Vietnamese	    31	 0.00
English;Swedish;Finnish	    30	 0.00
Estonian;English	    30	 0.00
Mari	    30	 0.00
Danish;Swedish;Norwegian	    29	 0.00
Finnish;German;French	    29	 0.00
Latin;Swedish;Finnish	    29	 0.00
Norwegian;Swedish	    29	 0.00
German;French	    28	 0.00
Portuguese;Finnish	    28	 0.00
English;Japanese	    27	 0.00
Finnish;Somali	    27	 0.00
Sami;Finnish	    27	 0.00
Finnish;English;German;Russian	    26	 0.00
Finnish;German;Latin	    25	 0.00
Latin;French;Swedish	    25	 0.00
English;Latin	    24	 0.00
Korean	    24	 0.00
Latin;Hebrew	    24	 0.00
Latin;Swedish;French	    24	 0.00
Sami;Skolt Sami	    24	 0.00
Finnish;English;Estonian	    23	 0.00
Finnish;Estonian;English	    23	 0.00
Swedish;Norwegian;English	    23	 0.00
Finnish;Persian	    22	 0.00
Finnish;Russian;English	    22	 0.00
Finnish;Undetermined	    22	 0.00
Greek, Ancient (to 1453);Finnish	    22	 0.00
Inari Sami	    22	 0.00
Bantu (Other)	    21	 0.00
Esperanto;Finnish	    21	 0.00
Finnish;Greek, Ancient (to 1453)	    21	 0.00
Arabic;Finnish	    20	 0.00
English;Arabic	    20	 0.00
English;Italian	    20	 0.00
English;Spanish	    20	 0.00
Finnish;English;Spanish	    20	 0.00
German;Latin	    20	 0.00
Multiple languages;English;Finnish	    20	 0.00
Norwegian;Swedish;Danish	    20	 0.00
Faroese	    19	 0.00
Finnish;Swedish;German;French	    19	 0.00
Finnish;Turkish	    19	 0.00
Karelian;Finnish	    19	 0.00
Komi	    19	 0.00
Latin;English	    19	 0.00
Swedish;Danish;English	    19	 0.00
Swedish;English;German;French	    19	 0.00
Chinese;Finnish	    18	 0.00
Finnish;Polish	    18	 0.00
Greek, Ancient (to 1453);Latin	    18	 0.00
Polish;Finnish	    18	 0.00
Swahili	    18	 0.00
Finnish;Dutch	    17	 0.00
German;Finno-Ugrian (Other)	    17	 0.00
Swedish;English;Finnish	    17	 0.00
Catalan	    16	 0.00
Danish;English	    16	 0.00
Kurdish	    16	 0.00
Swedish;English;Norwegian	    16	 0.00
Finnish;English;Chinese	    15	 0.00
Finnish;German;English	    15	 0.00
Finnish;Kurdish	    15	 0.00
Finnish;Swedish;German;Russian	    15	 0.00
Finnish;Thai	    15	 0.00
Finnish;Vietnamese	    15	 0.00
Greek, Ancient (to 1453)	    15	 0.00
Turkish;Finnish	    15	 0.00
Finnish;English;Italian	    14	 0.00
Finnish;English;Japanese	    14	 0.00
Finnish;Northern Sami	    14	 0.00
Finnish;Swedish;Danish	    14	 0.00
Finnish;Swedish;English;German;French;Spanish	    14	 0.00
Multiple languages;Swedish;Finnish	    14	 0.00
Russian;Karelian	    14	 0.00
Sami;Northern Sami;Finnish	    14	 0.00
English;Danish	    13	 0.00
English;French;Russian	    13	 0.00
English;German;Russian	    13	 0.00
Finnish;English;German;Swedish	    13	 0.00
Finnish;Romanian	    13	 0.00
Finnish;Swedish;Sami	    13	 0.00
German;English;French	    13	 0.00
Latin;Arabic	    13	 0.00
Norwegian;Danish;Swedish	    13	 0.00
Sami;Inari Sami;Finnish	    13	 0.00
English;Finnish;Russian	    12	 0.00
Finnish;English;Swedish;German	    12	 0.00
Swedish;German;French	    12	 0.00
