Name	Count	Percentage
Finnish	36772	50.59
Swedish	21176	29.13
German	 2504	 3.44
Finnish;Swedish	 2397	 3.30
Latin	 2386	 3.28
Russian	 2082	 2.86
English	 1215	 1.67
French	  669	 0.92
Finnish;English	  299	 0.41
Swedish;Latin	  286	 0.39
Swedish;Finnish	  204	 0.28
Multiple languages	  190	 0.26
Finnish;Swedish;English	  150	 0.21
Danish	  148	 0.20
Finnish;German	  140	 0.19
Finnish;Swedish;Multiple languages	  130	 0.18
Finnish;Russian	  108	 0.15
Estonian	  100	 0.14
Undetermined	   94	 0.13
Latin;Swedish	   87	 0.12
Latin;Persian	   78	 0.11
Finnish;French	   69	 0.09
Finnish;Latin	   67	 0.09
Swedish;Russian	   61	 0.08
Swedish;French	   59	 0.08
Norwegian	   58	 0.08
Finnish;Swedish;Russian	   51	 0.07
Swedish;German	   43	 0.06
Italian	   40	 0.06
Russian;Finnish	   40	 0.06
Hungarian	   36	 0.05
Afroasiatic (Other)	   35	 0.05
Latin;Greek, Ancient (to 1453);Swedish	   35	 0.05
Finnish;Swedish;French	   30	 0.04
Russian;Swedish	   29	 0.04
Finnish;Swedish;English;German	   28	 0.04
Finnish;German;French	   26	 0.04
Spanish	   26	 0.04
Latin;Greek, Ancient (to 1453)	   24	 0.03
Dutch	   22	 0.03
Finnish;Swedish;Latin	   21	 0.03
Polish	   21	 0.03
Finnish;Swedish;German	   19	 0.03
Swedish;English	   19	 0.03
German;Finnish	   17	 0.02
Finnish;Swedish;German;Russian	   15	 0.02
English;Russian	   14	 0.02
Finno-Ugrian (Other)	   14	 0.02
Icelandic	   14	 0.02
Latin;Finnish	   14	 0.02
Esperanto	   12	 0.02
Finnish;Swedish;German;French	   12	 0.02
Latin;Arabic	   12	 0.02
Sami	   12	 0.02
Swedish;German;French	   11	 0.02
Finnish;English;Russian	   10	 0.01
Finnish;Estonian	    9	 0.01
German;Estonian	    9	 0.01
Swedish;Finnish;French	    9	 0.01
Swedish;Persian	    9	 0.01
English;Finnish	    8	 0.01
Finnish;Swedish;English;German;Russian	    8	 0.01
French;Swedish	    8	 0.01
German;French	    8	 0.01
Latvian	    8	 0.01
Finnish;Esperanto	    7	 0.01
Finnish;Swedish;English;German;French	    7	 0.01
Swedish;Finnish;Russian	    7	 0.01
Czech	    6	 0.01
Finnish;Swedish;English;French	    6	 0.01
Finnish;Swedish;English;Russian	    6	 0.01
Finno-Ugrian (Other);Russian	    6	 0.01
Latin;French	    6	 0.01
Russian;French	    6	 0.01
Swedish;Finnish;Latin	    6	 0.01
Swedish;Persian;Latin	    6	 0.01
