Name	Count
	229167
[S.l.] :	  1312
[S.l] :	   131
[S.I.] :	    93
[Ii] :	    75
Ii :	    21
2002 :	    18
[Yli-Ii] :	    15
[S.I] :	    13
EU :	    13
2001 :	    12
2006 :	    12
1975 :	    11
2005 :	    11
New Delhi :	    11
1972 :	    10
Yli-Ii :	    10
2004 :	     9
Kungsängen :	     8
1973 :	     7
Ås :	     7
1958 :	     6
1974 :	     6
2003 :	     6
[s.a.] :	     5
1978 :	     5
Ienae :	     5
L'viv :	     5
L'vìv :	     5
- :	     4
[1976] :	     4
[Hk] :	     4
1893 :	     4
2007 :	     4
Hk,	     4
Mullsjö :	     4
San Sebastián :	     4
[S. I.] :	     3
[S.l],	     3
1969 :	     3
1977 :	     3
1992 :	     3
Gefle :	     3
New Brighton (Minn.) :	     3
New Haven (Conn.) ;|London :	     3
New York ;|London ;|Lund :	     3
Sverige :	     3
[1929] :	     2
[1975] :	     2
[1998] :	     2
[2001] :	     2
[Ii, Kauppilantie 17] :	     2
[Ii, Ojakyläntie 441] :	     2
[Kungsängen] :	     2
[New York] ;|[Vantaa] :	     2
[S.i.] :	     2
[U.S.A.] :	     2
1845 :	     2
1854 :	     2
1856 :	     2
1900 :	     2
1933 :	     2
1957 :	     2
1968 :	     2
1976 :	     2
1979 :	     2
1996 :	     2
1998 :	     2
2000 :	     2
A Cassel :	     2
Berttula :	     2
Bulolo, Papua New Guinea :	     2
Cassel :	     2
Gleerup :	     2
Hk :	     2
Italia.	     2
Motala :	     2
New Brighton :	     2
New Brighton (MN) :	     2
New Brighton, MN :	     2
New York ;|Berlin :	     2
New York ;|Heidelberg ;|Berlin :	     2
New York ;|Westport ;|London :	     2
Raumati Beach, New Zealand :|Stockholm :	     2
? :	     1
[ S. I. ] :	     1
[?] :	     1
[1930-1940?]	     1
[1932] :	     1
[1958] :	     1
[1959] :	     1
[1963-]	     1
[1963] :	     1
[1972] :	     1
[1973] :	     1
[1980] :	     1
[1986] :	     1
[1996] :	     1
[1999] :	     1
[2], 5 s.	     1
[4], 112 s.	     1
[9], 41, 40 s. :	     1
[Agnifitiae] :	     1
[Gel'sìnkì] :|L'vìv :	     1
[Ii, Etukatu 8] :	     1
[Ii, Konintie 135] :	     1
[Ii, Konintie 211] :	     1
[Ii],	     1
[Langnau, Schweiz] :	     1
[New Brighton, Minn.] :	     1
[New Mexico, USA] ;|[Vantaa] :	     1
[New Paltz (N. Y.)] :	     1
[New Paltz (N.Y.)] :	     1
[New Paltz, NY] :	     1
[s. a.] :	     1
[s. l.],	     1
[S. l] :	     1
[S.I. ] :	     1
[s.l] :	     1
[San Sebastián] :	     1
[Yli-Ii, Kasöörinkuja 8 A 1] :	     1
123 s.	     1
128, [44] s. :	     1
1845.	     1
1850 :	     1
1877 :	     1
1895 :	     1
1896 :	     1
1899 :	     1
1903 :	     1
1904 :	     1
1909-1922 :	     1
1919 :	     1
1921.	     1
1924 :	     1
1931 :	     1
1935 :	     1
1936 :	     1
1937 :	     1
1948 :	     1
1951 :	     1
1960 :	     1
1963[-1966] :	     1
1966 :	     1
1982 :	     1
1990 :	     1
1994 :	     1
1995-	     1
1999 :	     1
204 s. :	     1
21 s.	     1
245, [1] s.	     1
260 a,	     1
9, [2] s.	     1
B:borg :	     1
Deutschland [Stralsund] :	     1
Edita :	     1
Ely (MI) :	     1
Ii (Konintie 44) :	     1
Italia,	     1
Karl-Marx-Stadt :	     1
ki,	     1
L'vïv, :	     1
La Chaux-de Fonds, Suisse :	     1
Lake Norden (S.D.) :	     1
Lviv :|L'viv :	     1
m 11 :	     1
Motala,	     1
Nayī Dillī [se on New Delhi] :	     1
New Brighton, Minn. :	     1
New Delhi ;|New York :	     1
New Haven (Conn.) ;|London :|New York :	     1
New Haven, Conn. ;|London :	     1
New Paltz (N.Y.) :	     1
New Paltz, N.Y. :	     1
New Rochelle :	     1
New Yok :	     1
New York ;|[Helsinki] :	     1
New York ;|[Lund] :	     1
New York ;|Basel :	     1
New York ;|Boston ;|Toronto :	     1
New York ;|Bristol (Pa.) ;|Washington (D.C.) :	     1
New York ;|Ghent :	     1
New York ;|Heidelberg ;|Helsinki :	     1
New York ;|Helsinki :	     1
New York ;|Kööpenhamina :	     1
New York ;|London ;|Toronto ;|London :	     1
New York ;|Oxford :	     1
New York ;|Washington :	     1
New York :|[Helsinki] :	     1
New York :|München :	     1
New York, NY ;|Washington, DC :	     1
New Yourk Mills (Minn.) :	     1
Piitem :	     1
Teufen, Schweiz ;|[Vantaa] :	     1
U.S.A. :	     1
