original	publication_year	Count
2020	2020	27673
2021	2021	27108
2022	2022	25769
2019	2019	21226
2018	2018	19587
2012	2012	19110
2007	2007	18312
2017	2017	18244
2006	2006	17976
2013	2013	17720
2011	2011	17718
2008	2008	17621
2005	2005	17553
2016	2016	17533
2000	2000	17440
2010	2010	17359
2015	2015	17133
1999	1999	16965
2014	2014	16963
2004	2004	16895
1997	1997	16776
2009	2009	16738
1996	1996	16616
1995	1995	16476
1998	1998	16423
2001	2001	16363
2003	2003	16135
2002	2002	16021
1990	1990	15701
1994	1994	15634
1991	1991	15391
1992	1992	15338
1989	1989	15228
1993	1993	15224
1986	1986	14834
1988	1988	14765
1987	1987	14483
1985	1985	14198
1984	1984	13893
1983	1983	13882
1982	1982	13268
1981	1981	12626
2023	2023	12530
1980	1980	11328
1979	1979	10906
1978	1978	 9998
1977	1977	 9839
1975	1975	 9190
1973	1973	 9149
1974	1974	 9109
1976	1976	 9089
1972	1972	 8689
1971	1971	 7167
1970	1970	 6823
1969	1969	 6462
1967	1967	 6441
1968	1968	 6293
1964	1964	 5102
1965	1965	 5092
1966	1966	 5087
2013-9999	2013	 4932
1961	1961	 4562
1945	1945	 4487
1939	1939	 4478
1946	1946	 4399
1963	1963	 4298
1962	1962	 4251
1955	1955	 4210
1958	1958	 4185
1957	1957	 4120
1938	1938	 4086
1960	1960	 4062
1956	1956	 3933
1959	1959	 3870
1936	1936	 3812
1937	1937	 3765
1948	1948	 3763
1952	1952	 3757
1947	1947	 3702
1953	1953	 3689
1954	1954	 3668
1949	1949	 3455
1935	1935	 3357
1943	1943	 3354
1944	1944	 3352
1941	1941	 3346
1930	1930	 3343
1951	1951	 3329
1940	1940	 3308
1950	1950	 3279
1929	1929	 3256
1927	1927	 3172
1932	1932	 3167
1942	1942	 3136
1934	1934	 3118
1928	1928	 3092
1933	1933	 3070
1931	1931	 3063
1926	1926	 2986
1924	1924	 2963
1925	1925	 2891
1923	1923	 2791
1922	1922	 2756
1919	1919	 2704
1920	1920	 2690
1921	1921	 2559
1912	1912	 2463
1916	1916	 2229
1917	1917	 2181
1908	1908	 2056
1910	1910	 2012
1913	1913	 2004
1918	1918	 1996
1915	1915	 1994
1906	1906	 1895
1907	1907	 1892
1909	1909	 1864
1911	1911	 1824
1914	1914	 1769
1900	1900	 1582
