melinda_id publication_year n
(FI-HELKA)493302-helkadb 1912 1
(FI-MELINDA)000061544 1917 1
(FI-MELINDA)000065086 1916 1
(FI-MELINDA)000066594 1902 1
(FI-MELINDA)000066824 1909 1
(FI-MELINDA)000067752 1899 1
(FI-MELINDA)000067773 1909 1
(FI-MELINDA)000070181 1916 1
(FI-MELINDA)000073369 1889 1
(FI-MELINDA)000073371 1890 1
(FI-MELINDA)000073847 1890 1
(FI-MELINDA)000073848 1898 1
(FI-MELINDA)000075607 1917 1
(FI-MELINDA)000084801 1914 1
(FI-MELINDA)000089646 1893 1
(FI-MELINDA)000100200 1899 1
(FI-MELINDA)000100283 1896 1
(FI-MELINDA)000107417 1891 1
(FI-MELINDA)000138165 1910 1
(FI-MELINDA)000168000 1857 1
(FI-MELINDA)000179838 1913 1
(FI-MELINDA)000182960 1904 1
(FI-MELINDA)000234776 1896 1
(FI-MELINDA)000246955 1916 1
(FI-MELINDA)000248674 1917 1
(FI-MELINDA)000253458 1864 1
(FI-MELINDA)000262516 1892 1
(FI-MELINDA)000267011 1917 1
(FI-MELINDA)000269301 1903 1
(FI-MELINDA)000278406 1880 1
(FI-MELINDA)000280301 1901 1
(FI-MELINDA)000280355 1914 1
(FI-MELINDA)000286085 1896 1
(FI-MELINDA)000297313 1885 1
(FI-MELINDA)000297737 1908 1
(FI-MELINDA)000304301 1902 1
(FI-MELINDA)000305650 1911 1
(FI-MELINDA)000305679 1868 1
(FI-MELINDA)000308339 1904 1
(FI-MELINDA)000308387 1913 1
(FI-MELINDA)000308391 1917 1
(FI-MELINDA)000316223 1899 1
(FI-MELINDA)000318376 1887 1
(FI-MELINDA)000326338 1895 1
(FI-MELINDA)000333002 1906 1
(FI-MELINDA)000334746 1891 1
(FI-MELINDA)000336072 1889 1
(FI-MELINDA)000337141 1901 1
(FI-MELINDA)000340169 1914 1
(FI-MELINDA)000340409 1906 1
(FI-MELINDA)000348062 1917 1
(FI-MELINDA)000348248 1895 1
(FI-MELINDA)000359817 1886 1
(FI-MELINDA)000365348 1912 1
(FI-MELINDA)000379983 1907 1
(FI-MELINDA)000380957 1909 1
(FI-MELINDA)000383997 1906 1
(FI-MELINDA)000385753 1909 1
(FI-MELINDA)000400317 1897 1
(FI-MELINDA)000400326 1891 1
(FI-MELINDA)000407248 1912 1
(FI-MELINDA)000409312 1897 1
(FI-MELINDA)000410363 1896 1
(FI-MELINDA)000410809 1905 1
(FI-MELINDA)000434097 1832 1
(FI-MELINDA)000437020 1885 1
(FI-MELINDA)000440655 1898 1
(FI-MELINDA)000445307 1896 1
(FI-MELINDA)000451252 1914 1
(FI-MELINDA)000451470 1906 1
(FI-MELINDA)000459405 1900 1
(FI-MELINDA)000464246 1870 1
(FI-MELINDA)000464276 1843 1
(FI-MELINDA)000464334 1897 1
(FI-MELINDA)000465063 1907 1
(FI-MELINDA)000465595 1881 1
(FI-MELINDA)000467892 1897 1
(FI-MELINDA)000471170 1846 1
(FI-MELINDA)000472691 1899 1
(FI-MELINDA)000477209 1841 1
(FI-MELINDA)000477667 1894 1
(FI-MELINDA)000477941 1910 1
(FI-MELINDA)000480734 1879 1
(FI-MELINDA)000482073 1907 1
(FI-MELINDA)000491116 1893 1
(FI-MELINDA)000491148 1878 1
(FI-MELINDA)000491149 1905 1
(FI-MELINDA)000491170 1904 1
(FI-MELINDA)000491172 1906 1
(FI-MELINDA)000491186 1908 1
(FI-MELINDA)000491252 1897 1
(FI-MELINDA)000491274 1917 1
(FI-MELINDA)000491280 1906 1
(FI-MELINDA)000491299 1907 1
(FI-MELINDA)000491301 1893 1
(FI-MELINDA)000491370 1893 1
(FI-MELINDA)000491372 1909 1
(FI-MELINDA)000491383 1915 1
(FI-MELINDA)000491393 1895 1
(FI-MELINDA)000491448 1909 1
(FI-MELINDA)000491460 1917 1
(FI-MELINDA)000491470 1909 1
(FI-MELINDA)000491489 1891 1
(FI-MELINDA)000491492 1916 1
(FI-MELINDA)000491508 1912 1
(FI-MELINDA)000491527 1898 1
(FI-MELINDA)000491536 1912 1
(FI-MELINDA)000492341 1917 1
(FI-MELINDA)000492357 1917 1
(FI-MELINDA)000492368 1913 1
(FI-MELINDA)000492405 1912 1
(FI-MELINDA)000492409 1894 1
(FI-MELINDA)000492528 1912 1
(FI-MELINDA)000492535 1898 1
(FI-MELINDA)000492554 1910 1
(FI-MELINDA)000492575 1911 1
(FI-MELINDA)000493226 1891 1
(FI-MELINDA)000493229 1893 1
(FI-MELINDA)000493233 1914 1
(FI-MELINDA)000493253 1901 1
(FI-MELINDA)000493290 1914 1
(FI-MELINDA)000493301 1891 1
(FI-MELINDA)000493302 1891 1
(FI-MELINDA)000493320 1890 1
(FI-MELINDA)000493346 1889 1
(FI-MELINDA)000493373 1893 1
(FI-MELINDA)000493376 1886 1
(FI-MELINDA)000493392 1911 1
(FI-MELINDA)000493397 1914 1
(FI-MELINDA)000493405 1915 1
(FI-MELINDA)000499665 1906 1
(FI-MELINDA)000499865 1857 1
(FI-MELINDA)000500339 1891 1
(FI-MELINDA)000531840 1894 1
(FI-MELINDA)000532058 1889 1
(FI-MELINDA)000533178 1888 1
(FI-MELINDA)000550297 1884 1
(FI-MELINDA)000586930 1910 1
(FI-MELINDA)000589389 1880 1
(FI-MELINDA)000596566 1905 1
(FI-MELINDA)000603431 1901 1
(FI-MELINDA)000603434 1901 1
(FI-MELINDA)000603437 1901 1
(FI-MELINDA)000605232 1901 1
(FI-MELINDA)000606728 1909 1
(FI-MELINDA)000607098 1911 1
(FI-MELINDA)000607202 1912 1
(FI-MELINDA)000609300 1909 1
(FI-MELINDA)000613161 1888 1
(FI-MELINDA)000613213 1859 1
(FI-MELINDA)000614221 1891 1
(FI-MELINDA)000614598 1886 1
(FI-MELINDA)000614701 1885 1
(FI-MELINDA)000615365 1894 1
(FI-MELINDA)000615445 1888 1
(FI-MELINDA)000615467 1907 1
(FI-MELINDA)000615646 1893 1
(FI-MELINDA)000615720 1907 1
(FI-MELINDA)000615721 1908 1
(FI-MELINDA)000615723 1916 1
(FI-MELINDA)000615753 1917 1
(FI-MELINDA)000615804 1910 1
(FI-MELINDA)000615842 1886 1
(FI-MELINDA)000616039 1907 1
(FI-MELINDA)000616052 1907 1
(FI-MELINDA)000616205 1916 1
(FI-MELINDA)000616294 1907 1
(FI-MELINDA)000674621 1913 1
(FI-MELINDA)000674655 1907 1
(FI-MELINDA)000674664 1917 1
(FI-MELINDA)000674666 1907 1
(FI-MELINDA)000674678 1915 1
(FI-MELINDA)000674685 1904 1
(FI-MELINDA)000674702 1904 1
(FI-MELINDA)000674726 1908 1
(FI-MELINDA)000674737 1881 1
(FI-MELINDA)000674739 1915 1
(FI-MELINDA)000674758 1914 1
(FI-MELINDA)000674809 1898 1
(FI-MELINDA)000674826 1887 1
(FI-MELINDA)000674869 1906 1
(FI-MELINDA)000674896 1909 1
(FI-MELINDA)000674972 1869 1
(FI-MELINDA)000675041 1914 1
(FI-MELINDA)000675048 1898 1
(FI-MELINDA)000675066 1893 1
(FI-MELINDA)000675074 1909 1
(FI-MELINDA)000675091 1904 1
(FI-MELINDA)000675293 1902 1
(FI-MELINDA)000675316 1897 1
(FI-MELINDA)000675379 1898 1
(FI-MELINDA)000675391 1907 1
(FI-MELINDA)000675425 1917 1
