Name	Count	Percentage
    	384	0.73
uuuu	348	0.66
201u	 51	0.10
17uu	 26	0.05
200u 9999	 25	0.05
20uu 9999	 22	0.04
199u 9999	 21	0.04
200u	 21	0.04
||||	 20	0.04
19uu 9999	 10	0.02
198u 198u	  9	0.02
19uu	  8	0.02
1uuu	  8	0.02
????	  7	0.01
164u	  7	0.01
163u	  5	0.01
16uu	  5	0.01
199u 200u	  5	0.01
173u	  4	0.01
199u 199u	  4	0.01
19uu 19uu	  4	0.01
201u 9999	  4	0.01
199u	  3	0.01
uuuu 9999	  3	0.01
174u	  2	0.00
175u	  2	0.00
18uu	  2	0.00
1906 1900	  2	0.00
1912 1900	  2	0.00
1926 1925	  2	0.00
1943 1941	  2	0.00
1944 1900	  2	0.00
196? 9999	  2	0.00
197u 198u	  2	0.00
198u	  2	0.00
198u 199u	  2	0.00
200u 2008	  2	0.00
200u 200u	  2	0.00
20uu	  2	0.00
20uu 2013	  2	0.00
20uu 2019	  2	0.00
20uu 2022	  2	0.00
20uu 2023	  2	0.00
20uu 2025	  2	0.00
     9999	  1	0.00
15uu	  1	0.00
169u	  1	0.00
170u	  1	0.00
171u	  1	0.00
176u	  1	0.00
178u	  1	0.00
181u	  1	0.00
182u	  1	0.00
18uu 19uu	  1	0.00
1911 1908	  1	0.00
1914 1900	  1	0.00
1915 1900	  1	0.00
191u 1963	  1	0.00
1924 1900	  1	0.00
192u 1929	  1	0.00
1955 1953	  1	0.00
1975 1900	  1	0.00
197u 197u	  1	0.00
197u 1980	  1	0.00
197u 199u	  1	0.00
197u 9999	  1	0.00
1985 1984	  1	0.00
1987 1986	  1	0.00
198u 1982	  1	0.00
198u 1990	  1	0.00
198u 1992	  1	0.00
198u 2003	  1	0.00
1994 1990	  1	0.00
1997 1996	  1	0.00
199u 2000	  1	0.00
199u 2002	  1	0.00
19uu 1913	  1	0.00
19uu 1964	  1	0.00
19uu 1969	  1	0.00
19uu 1972	  1	0.00
19uu 1981	  1	0.00
19uu 1992	  1	0.00
19uu 1993	  1	0.00
19uu 1994	  1	0.00
19uu 1996	  1	0.00
19uu 1999	  1	0.00
19uu 2002	  1	0.00
19uu 2004	  1	0.00
19uu 2005	  1	0.00
19uu 2008	  1	0.00
2002 2000	  1	0.00
200u 2007	  1	0.00
200u 2010	  1	0.00
200u 2011	  1	0.00
200u 2020	  1	0.00
201u 2012	  1	0.00
201u 2014	  1	0.00
2023 2021	  1	0.00
2029	  1	0.00
202u 9999	  1	0.00
20uu 2012	  1	0.00
20xx 9999	  1	0.00
2112	  1	0.00
u    u   	  1	0.00
uuuu uuuu	  1	0.00
