melinda_id	id2	field008_6	publication_status	original	publication_year
002709546	FCC002709546	d	Continuing resource ceased publication	19uu 1994	NA
006054331	FCC006054331	c	Continuing resource currently published	199u 9999	NA
007013214	FCC007013214	s	Single known date/probable date	199u	NA
009596388	FCC009596388	s	Single known date/probable date	uuuu	NA
009778488	FCC009778488	s	Single known date/probable date	uuuu	NA
009778882	FCC009778882	s	Single known date/probable date	uuuu	NA
009812921	FCC009812921	s	Single known date/probable date	    	NA
016606056	FCC016606056	q	Questionable date	||||	NA
016606069	FCC016606069	q	Questionable date	||||	NA
016606071	FCC016606071	q	Questionable date	||||	NA
016606097	FCC016606097	q	Questionable date	||||	NA
016606101	FCC016606101	q	Questionable date	||||	NA
016606102	FCC016606102	q	Questionable date	||||	NA
016673648	FCC016673648	s	Single known date/probable date	    	NA
016673677	FCC016673677	s	Single known date/probable date	    	NA
016673700	FCC016673700	s	Single known date/probable date	    	NA
016673701	FCC016673701	s	Single known date/probable date	    	NA
016673715	FCC016673715	s	Single known date/probable date	    	NA
016673717	FCC016673717	s	Single known date/probable date	    	NA
016673776	FCC016673776	s	Single known date/probable date	    	NA
016673778	FCC016673778	s	Single known date/probable date	    	NA
016673779	FCC016673779	s	Single known date/probable date	    	NA
016673781	FCC016673781	s	Single known date/probable date	    	NA
016673782	FCC016673782	s	Single known date/probable date	    	NA
016673802	FCC016673802	s	Single known date/probable date	    	NA
016680825	FCC016680825	s	Single known date/probable date	    	NA
016716395	FCC016716395	s	Single known date/probable date	    	NA
016717872	FCC016717872	s	Single known date/probable date	    	NA
016718015	FCC016718015	s	Single known date/probable date	    	NA
016788866	FCC016788866	s	Single known date/probable date	||||	NA
016797281	FCC016797281	s	Single known date/probable date	||||	NA
017145463	FCC017145463	s	Single known date/probable date	||||	NA
017242518	FCC017242518	d	Continuing resource ceased publication	20uu 2022	NA
017242550	FCC017242550	d	Continuing resource ceased publication	20uu 2023	NA
017242552	FCC017242552	d	Continuing resource ceased publication	20uu 2023	NA
017242553	FCC017242553	d	Continuing resource ceased publication	20uu 2022	NA
017381130	FCC017381130	d	Continuing resource ceased publication	20uu 2025	NA
017384835	FCC017384835	d	Continuing resource ceased publication	20uu 2025	NA
017396221	FCC017396221	c	Continuing resource currently published	20uu 9999	NA
017538485	FCC017538485	s	Single known date/probable date	||||	NA
018044080	FCC018044080	c	Continuing resource currently published	20uu 9999	NA
018059116	FCC018059116	c	Continuing resource currently published	20uu 9999	NA
018200186	FCC018200186	c	Continuing resource currently published	20uu 9999	NA
018264501	FCC018264501	d	Continuing resource ceased publication	197u 199u	NA
018765122	FCC018765122	q	Questionable date	uuuu	NA
018765164	FCC018765164	c	Continuing resource currently published	199u 9999	NA
018765305	FCC018765305	q	Questionable date	uuuu	NA
018765466	FCC018765466	c	Continuing resource currently published	199u 9999	NA
018767248	FCC018767248	d	Continuing resource ceased publication	199u 200u	NA
018767283	FCC018767283	c	Continuing resource currently published	199u 9999	NA
018767321	FCC018767321	d	Continuing resource ceased publication	198u 199u	NA
018774769	FCC018774769	d	Continuing resource ceased publication	199u 199u	NA
018777653	FCC018777653	d	Continuing resource ceased publication	199u 2002	NA
018777711	FCC018777711	d	Continuing resource ceased publication	199u 199u	NA
018777810	FCC018777810	d	Continuing resource ceased publication	199u 200u	NA
018783768	FCC018783768	d	Continuing resource ceased publication	199u 200u	NA
018783777	FCC018783777	d	Continuing resource ceased publication	199u 2000	NA
018789006	FCC018789006	c	Continuing resource currently published	199u 9999	NA
018799525	FCC018799525	d	Continuing resource ceased publication	199u 200u	NA
018807588	FCC018807588	c	Continuing resource currently published	19uu 9999	NA
018817864	FCC018817864	d	Continuing resource ceased publication	197u 1980	NA
018833272	FCC018833272	d	Continuing resource ceased publication	199u 199u	NA
018833326	FCC018833326	d	Continuing resource ceased publication	199u 200u	NA
018833526	FCC018833526	d	Continuing resource ceased publication	199u 199u	NA
018978353	FCC018978353	i	Inclusive dates of collection	2023 2021	NA
019011805	FCC019011805	c	Continuing resource currently published	199u 9999	NA
019016373	FCC019016373	c	Continuing resource currently published	200u 9999	NA
019208834	FCC019208834	c	Continuing resource currently published	20uu 9999	NA
019208870	FCC019208870	c	Continuing resource currently published	20uu 9999	NA
019223295	FCC019223295	r	Reprint/reissue date and original date	uuuu	NA
019223553	FCC019223553	r	Reprint/reissue date and original date	uuuu	NA
019223572	FCC019223572	r	Reprint/reissue date and original date	uuuu	NA
019225508	FCC019225508	c	Continuing resource currently published	202u 9999	NA
019227536	FCC019227536	r	Reprint/reissue date and original date	uuuu	NA
019227648	FCC019227648	r	Reprint/reissue date and original date	uuuu	NA
019227653	FCC019227653	r	Reprint/reissue date and original date	uuuu	NA
019228156	FCC019228156	r	Reprint/reissue date and original date	uuuu	NA
019232572	FCC019232572	r	Reprint/reissue date and original date	uuuu	NA
019235216	FCC019235216	r	Reprint/reissue date and original date	uuuu	NA
019240334	FCC019240334	r	Reprint/reissue date and original date	uuuu	NA
019242008	FCC019242008	r	Reprint/reissue date and original date	uuuu	NA
019249784	FCC019249784	r	Reprint/reissue date and original date	uuuu	NA
019249913	FCC019249913	r	Reprint/reissue date and original date	uuuu	NA
019249923	FCC019249923	r	Reprint/reissue date and original date	uuuu	NA
019249934	FCC019249934	r	Reprint/reissue date and original date	uuuu	NA
019250027	FCC019250027	r	Reprint/reissue date and original date	uuuu	NA
019258986	FCC019258986	r	Reprint/reissue date and original date	uuuu	NA
019262863	FCC019262863	r	Reprint/reissue date and original date	169u	NA
019275493	FCC019275493	r	Reprint/reissue date and original date	175u	NA
019277108	FCC019277108	r	Reprint/reissue date and original date	17uu	NA
019292281	FCC019292281	r	Reprint/reissue date and original date	uuuu	NA
019304993	FCC019304993	r	Reprint/reissue date and original date	uuuu	NA
019305537	FCC019305537	r	Reprint/reissue date and original date	uuuu	NA
019305538	FCC019305538	r	Reprint/reissue date and original date	uuuu	NA
019323443	FCC019323443	r	Reprint/reissue date and original date	????	NA
019323468	FCC019323468	r	Reprint/reissue date and original date	uuuu	NA
019323857	FCC019323857	r	Reprint/reissue date and original date	uuuu	NA
019323878	FCC019323878	r	Reprint/reissue date and original date	uuuu	NA
019325304	FCC019325304	r	Reprint/reissue date and original date	18uu	NA
019328143	FCC019328143	r	Reprint/reissue date and original date	uuuu	NA
019334333	FCC019334333	d	Continuing resource ceased publication	1943 1941	NA
019336127	FCC019336127	d	Continuing resource ceased publication	1944 1900	NA
019336171	FCC019336171	d	Continuing resource ceased publication	1912 1900	NA
019336274	FCC019336274	d	Continuing resource ceased publication	1926 1925	NA
019336560	FCC019336560	d	Continuing resource ceased publication	1906 1900	NA
019338599	FCC019338599	q	Questionable date	19uu	NA
019344701	FCC019344701	r	Reprint/reissue date and original date	17uu	NA
019348324	FCC019348324	r	Reprint/reissue date and original date	16uu	NA
019348361	FCC019348361	r	Reprint/reissue date and original date	17uu	NA
019348363	FCC019348363	r	Reprint/reissue date and original date	17uu	NA
019348365	FCC019348365	r	Reprint/reissue date and original date	????	NA
019349916	FCC019349916	r	Reprint/reissue date and original date	17uu	NA
019352169	FCC019352169	r	Reprint/reissue date and original date	17uu	NA
019352224	FCC019352224	r	Reprint/reissue date and original date	17uu	NA
