Name	Count
	8737
[s.n.],	 183
impressa apud Imp. Acad. typ. J. C. Frenckell,	   6
Industriidkarenes i Finland Ömsesidiga Brandförsäkringsbolag,	   6
Helios i distr,	   5
Industriidkarenes i Finland Ömsesidiga Brandstodsförening,	   3
J. Gummerus i distr,	   3
Uusi aika,	   2
[E. Lagus i distr.],	   1
[Föreningsbankens i Finland],	   1
[Frivilliga brandkårens i Borgå],	   1
[Industriidkarenes i Finland Ömsesidiga brandstodsförening],	   1
[Industriskolans i Helsingfors],	   1
[Jordbrukarenes i Finland Central-Andelslag],	   1
[Kock- och Stuertskolans i Åbo],	   1
[Konst- och Konstindustriföreningens i Björneborg],	   1
[Svenska Landtbrukssällskapens i Finland],	   1
[Svenska lyceets i Uleåborg konvent],	   1
[Svenska Lyceets i Uleåborg],	   1
[Svenska Normallyceums i Helsingfors],	   1
[Svenska samskolans i Kuopio konvent],	   1
[Svenska Samskolans i Tavastehus konvent, utg.],	   1
[Turistföreningens i Finland Åbo-filial],	   1
[Turistföreningens i Finland Åbofilial],	   1
Finska kyrkans inremissionssällskap,	   1
Industriidkarenas i Finland Ömsesidiga Brandstodsförening,	   1
Lilius i Gercberg",	   1
Lutherska evangeliföreningens i Finland förlag,	   1
Maskinistföreningens i Finland utlåtande,	   1
Nya Svenska Läroverkets i Helsingfors,	   1
Svenska Landtbrukssällskapens i Finland Förbund,	   1
Vasa afdelning,	   1
