Name	Count
	904117
Suomi|Finland	 55731
Helsinki|Helsingfors	  8812
Turku|Åbo	  4966
Eurooppa|Europa	  3397
Tampere|Tammerfors	  3367
Ruotsi|Sverige	  2779
Yhdysvallat|Förenta staterna	  2515
Pohjoismaat|Norden	  2410
Lappi|Lappland	  1838
Oulu|Uleåborg	  1543
Venäjä|Ryssland	  1521
Vaasan lääni|Vasa län	  1415
Ahvenanmaa|Åland	  1260
Jyväskylä|Jyväskylä	  1228
Saksa|Tyskland	  1196
Ranska|Frankrike	  1165
Espoo|Esbo	  1146
Suomenlahti|Finska viken	  1130
Neuvostoliitto|Sovjetunionen	  1082
Keski-Suomi|Mellersta Finland	  1045
Uusimaa|Nyland	  1017
Vaasa|Vasa	  1004
Kuopio|Kuopio	   999
Iso-Britannia|Storbritannien	   953
Saaristomeri|Skärgårdshavet	   939
Pirkanmaa|Birkaland	   885
Pohjois-Karjala|Norra Karelen	   875
Lahti|Lahtis	   848
Kiina|Kina	   827
Itämeri|Östersjön	   825
Pori|Björneborg	   806
Turun ja Porin lääni|Åbo och Björneborgs län	   785
Lappeenranta|Villmanstrand	   772
Viro|Estland	   748
Etelä-Pohjanmaa|Södra Österbotten	   709
Suomi|Eurooppa|Finland|Europa	   666
Italia|Italien	   665
Lapin lääni|Lapplands län	   657
Satakunta|Satakunta	   656
Kainuu|Kajanaland	   646
Varsinais-Suomi|Egentliga Finland	   630
Vantaa|Vanda	   628
Kreikka|Grekland	   616
Japani|Japan	   598
Pohjanmaa|Österbotten	   596
Helsinki|Suomi|Helsingfors|Finland	   590
Suomi|Venäjä|Finland|Ryssland	   586
Joensuu|Joensuu	   578
Rauma|Raumo	   566
Suomi|Ruotsi|Finland|Sverige	   564
Häme|Tavastland	   553
Pohjanlahti|Perämeri|Bottniska viken|Bottenviken	   542
Hämeenlinna|Tavastehus	   536
Porvoo|Borgå	   535
Intia|Indien	   508
Pohjois-Savo|Norra Savolax	   508
Afrikka|Afrika	   507
Kotka|Kotka	   507
Suomi|Neuvostoliitto|Finland|Sovjetunionen	   505
Englanti|England	   503
Uudenmaan lääni|Nylands län	   497
Karjala|Karelen	   496
