001;Tiede. Tieteen teoria. Tiedehallinto. Tiedepolitiikka. Tutkimuspolitiikka. Tutkimustyö. Tieteen popularisointi. Tulevaisuuden tutkimus. Futurologia 
002;Tietopalvelu. Dokumentaatiopalvelu. Informaatiopalvelu. Tietokannat
003;Semiotiikka. Merkit. Symbolit. Kirjoitus. Kirjoitusjärjestelmät
004;Tietotekniikka. Tietojenkäsittely. Atk
006;Standardit. Normit. Standardisoiminen
007;Kybernetiikka. Informaatioteoria. Kommunikaatioteoria
008;Sivilisaatio. Kulttuuri. Edistys
009;Humanistiset tieteet, yleistä
01;Bibliografiat. Julkaisuluettelot
02;Kirjastotoimi. Kirjastotiede
03;Tietosanakirjat. Yleiset hakuteokset 
05;Kausijulkaisut. Aikakauslehdet. Sarjat
061;Yhteisöt. Järjestöt. Säätiöt. Tutkimuslaitokset. Kokoukset. Näyttelyt 
069;Museot. Museologia
07;Lehdistö. Journalismi. Sanomalehdet 
08 (2002-);Sekasisältöiset teokset
01;Filosofia  
09;Käsikirjoitukset. Harvinaiskirjat. Bibliofilia. Exlibrikset
11/12;Metafysiikka. Ontologia. Estetiikka. Luonnonfilosofia 
13;Okkultismi. Salatieteet. Astrologia. Paranormaalit ilmiöt
14;Filosofiset suuntaukset
141.33;Teosofia. Kristosofia. Antroposofia. Filosofinen mystiikka
159.9;Psykologia
159.92;Kehityspsykologia. Persoonallisuuden psykologia. Luovuus. Lahjakkuus. Älykkyys.
159.94/.95;Henkiset perustoiminnot. Psykomotoriikka. Tunteet. Motivaatio. Kognitio. Muisti. Oppiminen. Ajattelu
16;Logiikka. Tietoteoria. Epistemologia
17;Etiikka. Moraali. Käytännöllinen filosofia. Elämäntaito
2;Uskonto. Teologia
21;Luonnollinen teologia. Vapaa-ajattelu. Ateismi. Panteismi
22/28;Kristinusko. Kristillinen teologia.
22;Raamattu
23;Dogmatiikka
24;Kristillinen etiikka. Kristillinen taide. Hymnologia. Hartaus. Mystiikka. Askeesi. Uskonnolliset kokemukset 
25;Pastoraaliteologia. Homiletiikka. Saarnaoppi. Saarnat. Sielunhoito
26;Kristillinen kirkko. Kirkon hallinto. Kirkko ja yhteiskunta. Ekumenia. Liturgiikka. Sakramentit. Kristillinen kasvatus. Kristilliset järjestöt. Diakonia. Lähetystyö
27;Yleinen kirkkohistoria. Patristiikka
28;Kristilliset kirkot. Kristilliset yhteisöt. Kristillisperäiset yhteisöt
281.9;Ortodoksinen kirkko
29;Uskontotiede. Mytologia. Ei-kristilliset uskonnot - mytologia ks. myös 39
3;Yhteiskuntatieteet
303;Yhteiskuntatieteiden tutkimusmenetelmät. Yhteiskuntatieteiden metodologia 
304;Yhteiskuntapolitiikka. Sosiaalipolitiikka 
305;Sukupuolentutkimus. Sukupuoliroolit
308;Sosiografia. Yhteiskuntakuvaus
311;Tilastotiede. Tilaston teoria. Tilastomenetelmät 
314;Väestötiede. Väestötutkimus. Demografia. Muuttoliike. Siirtolaisuus
316;Sosiologia
316.6;Sosiaalinen käyttäytyminen. Sosiaalipsykologia
316.7;Kulttuurisosiologia. Kulttuuriantropologia. Sosiaaliantropologia 
32;Politiikantutkimus. Valtio-oppi
323;Sisäpolitiikka
323.1;Kansallisuusliikkeet. Kansallisuuskysymykset. Kansalliset vähemmistöt
324;Vaalit
327;Kansainväliset suhteet. Kansainvälinen politiikka. Ulkopolitiikka
327.3;Rauhanliike. Pasifismi. Aseidenriisunta
328;Kansanedustuslaitokset. Hallitukset
329;Poliittiset puolueet. Poliittiset liikkeet
33;Kansantalous. Kansantaloustiede
330;Kansantaloustieteen yleiset käsitteet. Kansantalouden teoria. Kansantulo. Kulutus. Elintaso
331;Työ. Työtiede
331.1;Työelämän suhteet. Työmarkkinajärjestöt. Ammattiyhdistysliike. Työpaikkademokratia. Työtaistelut
331.2;Palkat. Palkkaus
331.4;Työolot. Työympäristö. Työsuojelu. Työturvallisuus. Työterveys. Työperäiset sairaudet. Työtapaturmat. Työterveyshuolto 
331.5;Työllisyys. Työttömyys. Työmarkkinat
332;Aluetalous. Maa. Kiinteistöt 
334;Osuustoiminta. Kauppakamarit
336;Julkinen talous. Valtiontalous. Kunnallistalous 
336.2;Verotus
336.7;Raha. Valuutta. Pankit. Arvopaperit. Luotot
338;Taloudellinen tila. Suhdanteet. Talouspolitiikka. Taloussuunnittelu 
