orig;new_name;gender
Mangasarian, M M;Mangasarian, Mangasar Mugurditch;male
Louhivuori, O W;Louhivuori, Oskar Wilhelm;male
Granit, A W;Granit, Arthur Wilhelm;male
Sederholm, J J;Sederholm, Jakob Johannes;male
L-m, O;Löfström, Oskar;male
Mellberg, E J;Mellberg, Edvard Julius;male
Kerkkola, I E;Kerkkola, Iivar Edvard;male
Ramstedt, G J;Ramstedt, Gustaf John;male
Maa, J; Mannermaa, Jooseppi Juuso;male
Mannermaa, J; Mannermaa, Jooseppi Juuso;male
Liefde, J De;Liefde, Jan de;male
Ouspensky, P D;Ouspensky, Pyotr Demyanovich;male
Bonsdorff, E;Bonsdorff, Ernst;male
Tolkien, J R R;Tolkien, John;male
Andersen, H C;Andersen, Hans Christian;male
Hermansson, B J;Hermansson, Johan;male
Sillanpää, F E;Sillanpää, Frans Emil;male
Merikoski, K;Merikoski, Kaarlo;male
Reuter, O M;Reuter, Odo Morannal;male
Setälä, E N;Setälä, Emil Nestor;male
Leinberg, K G;Leinberg, Karl Gabriel;male
Gylden, C W;Gylden, Claes Wilhelm;male
Tigerstedt, K K;Tigerstedt, Karl Konstantin;male
Palmen, E G;Palmen, Ernst Gustav;male
Päivänsalo, B H;Päivänsalo Bror Hannes;male
Hjelt, Edv;Hjelt, Otto Edvard August;male
Raitio, K;Raitio, Konsti;male
Bogat, A P;Bogat, Aleksandra Pavlovna;female
Bogat, A;Bogat, Aleksandra Pavlovna;female
Sinett, A P;Sinnett, Alfred Percy;male
Mechelin, L;Mechelin, Leo;male
Riehl, W H; Reihl, Wilhelm Heinrich;male

