synonyme;name
useina jaksoina;in parts
jaksossa;parts
karttaliitettä;sheets
karttaliite;sheet
=evangeliska sällskapets skrifter;
evangeliska sällskapets skrifter;
kartor;sheets
& omsl.;sheet
omsl$;sheet
kartbl;sheets
portr;sheets
taitettuina;folded
taitettuna;folded
taitettua;folded
vihkoa;vol
osaa;parts
nid.;vol
nide;vol
nid\\.;vol
nidettä;vol
nide;vol
sävelmäkokoelmaa;vols
sävelmäkokoelma;vol
tab.;tables
taulukkol.;tables
nuotteja;sheets
lösa kartor;sheets
karttalehteä;sheets
karttalehti;sheet
kartta;sheet
kartasto;sheet
karta;sheet
arkkia;sheets
arkki;sheet
karttaa;sheets
kuvalehdet;sheets
kuvalehtiä;plates
kuvalehteä taitettuina;plates
kuvalehteä;plates
kuvalehti;plate
kuvaliitettä;plates
kuvaliite;plate
musikbilaga;plate
kuvas.;sheets
kuval.;sheets
kuval;sheets
kuvasivua;pages
kuvasivu;page
numeroimatonta kuvasivua;pages
numeroimaton kuvasivu;page
lehti;plate
lehdet;sheets
useina numerointijaksoina;in various pagings
med var. pag;in various pagings
lehteä;sheets
taitelehteä;sheets
taitelehti;sheet
poikittaip.;obl.
pienempi;small
\.urempi;long
verso tyhjä;verso blanko
tyhjä;blanko
numeroimatonta sivua;pages
numeroimaton sivu;page
numeroituja sivuja;pages
numeroitua sivua;pages
numeroitu sivu;page
numeroidut sivut;pages
sívua;pages
numeroimatonta ilmoitussivua;pages
numeroimaton ilmoitussivu;page
ilmoitussivua;pages
ilmoitussivu;page
kuvasivua;sheets
kuvasivu;sheet
numeroimatonta sivua;pages
numeroimaton sivu;page
sivua;pages
sivu;page
sivut;pages
s\\.$;pages
sivua;pages
sivut;pages
sivu;page
s\.$;pages
kuvaliitettä;sheets
malliliitettä;sheets
malliliite;sheet
kartblad;sheets
kuvaa;sheets
blad;plates
muotokuvalehteä;sheets
muotokuvalehti;sheet
planschbl\.;plates
planschblad;plates
pl$;plates
blad;sheets
irtokuvalehteä;sheets
irtokuvalehti;sheet
spalter;plates
pl\.;plates
bl\.;plates
irtokuval;sheets
valokuvaa;sheets
liitelehteä;sheets
liitelehti;sheet
numeroimatonta lehteä;sheets
numeroimaton lehti;sheet
silhuetter;sheets
dubbelsidor;sheets
taulua;sheets
yhteenliimattua lehteä;sheets
mallilehteä;sheets
mallil;sheets
luetteloa;sheets
hopvikta kartongskifvor;sheets
lomaketta;sheets
lehteä tekstiä;sheets
lehteä kuvia;sheets
vyblad;plates
kuvataulua;sheets
kuvapiirrosta;sheets
och;+
sammanfattning;
inkl. ann.;
ja ; ,
