Name	Count
Topelius, Zacharias	482
Runeberg, Johan Ludvig	472
Luther, Martti	256
Sjöström, Axel Gabriel	206
Aho, Juhani	187
Bonsdorff, E	135
Leino, Eino	134
Grotenfelt, Gösta	119
Tolstoi, Leo	112
Doyle, Arthur Conan	105
Rein, Gabriel	101
Sahlberg, Carolus Reginaldus	 99
Krohn, Julius	 95
Reuter, O M	 90
Talvio, Maila	 90
Vasenius, Valfrid	 89
Hjelt, August	 82
Linsén, Johan Gabriel	 82
Bäck, Johannes	 81
Oker-blom, Max	 81
Päivärinta, Pietari	 81
Setälä, E N	 79
Gyldén, C W	 78
Pipping, Fredrik Wilhelm	 78
Ramsay, August	 78
Järnefelt, Arvid	 77
Söderhjelm, Werner	 77
Gebhard, Hannes	 76
Juteini, Jaakko	 76
Leinberg, K G	 76
Larin-kyösti	 74
Nordmann, Petrus	 74
Lagerblad, Elis	 72
Palmén, E G	 72
Tavaststjerna, K A	 71
Ervast, Pekka	 70
Franzén, Frans Michael	 70
Päivänsalo, B H	 70
Hedberg, Fredrik Gabriel	 66
Nordenskiöld, Adolf Erik	 65
Rindell, Arthur	 65
Wallenius, Johannes Fredericus	 65
Canth, Minna	 63
Kurvinen, Pietari	 63
Cygnaeus, Fredrik	 61
Schultén, Nathanael Gerhard Af	 61
Erkko, J H	 59
Linnankoski, Johannes	 58
Yrjö-koskinen, Yrjö Sakari	 57
Snellman, Johan Vilhelm	 56
Wilskman, Ivar	 56
Raitio, K	 55
Suomalainen, K	 55
Achrenius, Abraham	 54
Nervander, Emil	 54
Hjelt, Edv	 53
Wegelius, Martin	 53
Paul, Adolf	 52
Ahrenberg, Jac	 51
Grotenfelt, Kustavi	 51
Kataja, Väinö	 51
Kivi, Aleksis	 51
Shakespeare, William	 50
Ingersoll, Robert	 49
Gadolin, Johan	 48
Geitlin, Gabriel	 48
Lassila, Maiju	 48
Alkio, Santeri	 47
Hallstén, Alexander Gustaf Julius	 47
Lönnrot, Elias	 47
Sundwall, F W	 47
Hult, Ragnar	 46
Ignatius, K E F	 46
Lagus, Wilhelm	 46
Snellman, G R	 46
Zilliacus, Konni	 46
Bonsdorff, Jacobus	 45
Estlander, Bernhard	 45
Tengström, Johan Jakob	 45
Waltari, Toivo	 45
Castrén, Matias Aleksanteri	 44
Kianto, Ilmari	 44
Maria	 43
Rein, Thiodolf	 43
Schybergson, M G	 43
Virkkunen, Paavo	 43
Aina	 42
Laurén, L L	 42
Lindman, Volmar	 42
Schmid, Christoph Von	 42
Arndt, Johann	 41
Bergroth, Gustaf Elis	 41
Erslev, Edouard	 41
Gottlund, Carl Axel	 41
Svebilius, Olaus Georgii	 41
Dumas, Alexandre	 40
Gripenberg, Aleksandra	 40
Tallqvist, Hj	 40
Uotinen, Mikko	 40
Westermarck, Edvard	 40
Ahlqvist, August	 39
Danielson-kalmari, J R	 39
Hertzberg, Rafael	 39
Sunila, J E	 39
Wrede, R A	 39
Gummerus, Jaakko	 38
Gyldén, Nils Abraham	 38
Hjelt, Otto Edvard August	 38
Ilmoni, Immanuel	 38
Lie, Jonas	 38
Modeen, Alexander Edvard	 38
Ramsay, Wilhelm	 38
Tigerstedt, K K	 38
Waaranen, K A	 38
Hagman, Lucina	 37
Ryle, J C	 37
Sederholm, J J	 37
Boldt, Alexander	 36
Forsman, Jaakko	 36
Hällström, Gustavus Gabriel	 36
Heilala, Yrjö	 36
