Name	Count	Percentage
Finnish	33674	52.20
Swedish	19107	29.62
Finnish;Swedish	 2021	 3.13
German	 1988	 3.08
Latin	 1662	 2.58
Russian	 1587	 2.46
Undetermined	  929	 1.44
French	  628	 0.97
English	  425	 0.66
Swedish;Finnish	  170	 0.26
Danish	  145	 0.22
Finnish;German	  144	 0.22
Finnish;Swedish;Multiple languages	  130	 0.20
Swedish;Latin	  111	 0.17
Finnish;Russian	  110	 0.17
Finnish;English	  100	 0.16
Estonian	   95	 0.15
Finnish;French	   68	 0.11
Multiple languages	   61	 0.09
Norwegian	   61	 0.09
Swedish;Russian	   59	 0.09
Finnish;Latin	   57	 0.09
Swedish;French	   57	 0.09
Latin;Swedish	   54	 0.08
Finnish;Swedish;Russian	   52	 0.08
Swedish;German	   42	 0.07
Italian	   40	 0.06
Hungarian	   39	 0.06
Afroasiatic (Other)	   35	 0.05
Latin;Greek, Ancient (to 1453);Swedish	   35	 0.05
Russian;Finnish	   34	 0.05
Finnish;Swedish;English	   31	 0.05
Finnish;Swedish;French	   30	 0.05
Latin;Persian	   27	 0.04
Finnish;German;French	   26	 0.04
Russian;Swedish	   25	 0.04
Polish	   24	 0.04
Dutch	   23	 0.04
Finnish;Swedish;German	   20	 0.03
Swedish;English	   19	 0.03
Finnish;Swedish;German;Russian	   15	 0.02
Finnish;Swedish;Latin	   15	 0.02
German;Finnish	   15	 0.02
Finno-Ugrian (Other)	   14	 0.02
Icelandic	   14	 0.02
Spanish	   14	 0.02
Finnish;Swedish;English;German	   13	 0.02
Finnish;Swedish;German;French	   12	 0.02
Latin;Finnish	   12	 0.02
Sami	   12	 0.02
English;Russian	   11	 0.02
Esperanto	   11	 0.02
Latin;Greek, Ancient (to 1453)	   10	 0.02
Swedish;German;French	   10	 0.02
German;Estonian	    9	 0.01
German;French	    8	 0.01
Latvian	    8	 0.01
Finnish;Esperanto	    7	 0.01
Finnish;Estonian	    7	 0.01
Czech	    6	 0.01
Finno-Ugrian (Other);Russian	    6	 0.01
French;Swedish	    6	 0.01
Russian;French	    6	 0.01
Swedish;Finnish;Russian	    6	 0.01
English;Finnish	    5	 0.01
Finnish;English;German	    5	 0.01
Finnish;Norwegian	    5	 0.01
Finnish;Swedish;Esperanto	    5	 0.01
Finnish;Undetermined	    5	 0.01
German;Swedish	    5	 0.01
Germanic (Other)	    5	 0.01
Lithuanian	    5	 0.01
Russian;Finnish;Swedish	    5	 0.01
Swedish;French;German	    5	 0.01
Estonian;German	    4	 0.01
Finnish;English;French	    4	 0.01
Finnish;Hungarian	    4	 0.01
Finnish;Russian;Swedish	    4	 0.01
German;English	    4	 0.01
German;Russian	    4	 0.01
Karelian	    4	 0.01
Latin;Arabic	    4	 0.01
Latin;French	    4	 0.01
Swedish;Danish;Norwegian	    4	 0.01
Swedish;English;Finnish	    4	 0.01
Swedish;German;French;Latin	    4	 0.01
English;German;French;Swedish	    3	 0.00
Finnish;Danish	    3	 0.00
Finnish;Greek, Modern (1453-)	    3	 0.00
Finnish;Swedish;English;German;French	    3	 0.00
German;Finnish;Swedish;English;French;Danish;Norwegian	    3	 0.00
German;Finno-Ugrian (Other)	    3	 0.00
Hungarian;Finnish	    3	 0.00
Ndonga	    3	 0.00
Northern Sami	    3	 0.00
Swedish;Finnish;English	    3	 0.00
Swedish;Finnish;French	    3	 0.00
Swedish;Finnish;Latin	    3	 0.00
Swedish;Persian	    3	 0.00
Swedish;Russian;Finnish	    3	 0.00
Catalan	    2	 0.00
English;French	    2	 0.00
English;French;German	    2	 0.00
English;Swedish	    2	 0.00
Esperanto;Finnish	    2	 0.00
Estonian;Finnish	    2	 0.00
Finnish;English;German;Swedish	    2	 0.00
Finnish;English;Swedish	    2	 0.00
Finnish;French;Swedish	    2	 0.00
Finnish;French;Undetermined	    2	 0.00
Finnish;German;Russian	    2	 0.00
Finnish;Swedish;English;German;Russian	    2	 0.00
Finnish;Swedish;English;Russian	    2	 0.00
Finnish;Swedish;German;English	    2	 0.00
French;Finnish	    2	 0.00
French;German	    2	 0.00
French;German;Russian	    2	 0.00
French;Russian	    2	 0.00
German;English;French	    2	 0.00
German;Latin;Estonian	    2	 0.00
Greek, Ancient (to 1453);Swedish	    2	 0.00
Latin;Arabic;Swedish	    2	 0.00
Latin;Swedish;Russian	    2	 0.00
Norwegian;German	    2	 0.00
Russian;Church Slavic	    2	 0.00
Russian;German	    2	 0.00
Russian;Karelian	    2	 0.00
Sami;Finnish	    2	 0.00
Swedish;Danish	    2	 0.00
Swedish;English;German;French	    2	 0.00
Swedish;Estonian	    2	 0.00
