Name	Count
Helsinki	502600
Turku	 49012
Porvoo	 41322
Tampere	 38658
Espoo	 32656
Jyväskylä	 28365
Oulu	 18193
Hämeenlinna	 15909
Stockholm	 14920
Vaasa	 12133
Kuopio	 11386
Vantaa	  9423
Joensuu	  7597
Kustannuspaikka tuntematon	  6905
Lahti	  5649
Otaniemi	  5576
Lappeenranta	  5375
Pori	  4850
Rovaniemi	  4664
Mikkeli	  3906
St Petersburg	  3125
Karkkila	  3112
Copenhagen	  2662
Kotka	  2388
Vyborg	  2325
Seinäjoki	  2098
Hyvinkää	  2078
Kouvola	  2038
Lohja	  1993
östersundom	  1932
Mariehamn	  1891
Kajaani	  1795
Petroskoi	  1781
Kokkola	  1754
Jokioinen	  1556
Kauniainen	  1521
Uusikaarlepyy	  1488
Rauma	  1457
Kemi	  1447
Moscow	  1435
Pietarsaari	  1351
London	  1310
Uppsala	  1282
Savonlinna	  1185
Oslo	  1149
Malmö	  1148
Sortavala	  1120
Forssa	  1109
Tallinn	  1102
Vammala	  1057
Riihimäki	  1042
Tammisaari	  1030
Imatra	   987
New York NY	   986
Kerava	   979
Paris	   970
Berlin	   926
Lapua	   914
Keuruu	   883
Tapiola	   843
Järvenpää	   801
Salo	   780
Loimaa	   719
Uusikaupunki	   711
Hamina	   705
Valkeakoski	   697
Iisalmi	   668
Kirkkonummi	   640
Hanko	   588
Pieksämäki	   585
Suomussalmi	   571
Tuusula	   570
Heinola	   552
Kuusankoski	   541
Loviisa	   539
Kangasala	   498
Budapest	   494
Varkaus	   492
Tartu	   487
Saarijärvi	   481
Kuusamo	   473
Alavus	   456
Hancock Mi	   454
Raahe	   446
Tornio	   445
Leipzig	   429
Lund	   410
Karjaa	   409
Sipoo	   387
Ylivieska	   371
Nokia	   369
Parainen	   368
Naantali	   363
München	   361
Salt lake city	   354
Amsterdam	   344
Virrat	   342
Mänttä-Vilppula	   340
Kankaanpää	   327
Vihti	   326
Kokemäki	   320
Jämsä	   309
Raisio	   301
Kuhmo	   293
Cologne	   287
Lempäälä	   287
Kaarina	   283
Karhula	   280
Hamburg	   276
Inari	   274
Suolahti	   274
Nurmijärvi	   272
Gothenburg	   271
Nummela	   264
Lieksa	   258
Mäntsälä	   248
Orimattila	   245
Paimio	   245
Frankfurt	   244
Huittinen	   243
Klaukkala	   243
Kauhajoki	   242
Kristiinankaupunki	   239
Ylöjärvi	   237
Tokyo	   235
Heinävesi	   230
Ikaalinen	   229
Kurikka	   229
Kalajoki	   228
Otalampi	   227
Oniipa	   226
Somero	   221
Kaustinen	   220
Orivesi	   219
Kannus	   216
Joutseno	   215
Sodankylä	   213
Barcelona	   212
Stuttgart	   212
Närpiö	   210
Kruunupyy	   209
Parkano	   209
Hämeenkyrö	   206
Karleby	   206
Fitchburg Ma	   204
Laitila	   203
Kauhava	   202
Anjalankoski	   200
Duluth MN	   199
Milan	   198
Harjavalta	   197
Oulainen	   197
Hollola	   196
Kangasniemi	   195
Suonenjoki	   195
Prague	   194
Sonkajärvi	   193
Anar	   192
Toijala	   192
Äänekoski	   191
Alajärvi	   191
Nivala	   191
Zürich	   188
Sotkamo	   183
Warsaw	   183
Viitasaari	   182
Vilppula	   180
Ann Arbor MI	   179
Kemijärvi	   177
Ryttylä	   176
Riga	   173
Muhos	   172
Pudasjärvi	   172
Haapajärvi	   167
Mustasaari	   167
Örebro	   165
Nurmes	   164
Eura	   163
Ilmajoki	   163
Eurajoki	   162
Nastola	   160
Laukaa	   159
Lausanne	   159
Ruovesi	   155
Jalasjärvi	   151
Lammi	   149
Dresden	   148
Haukipudas	   147
Oxford	   147
Siilinjärvi	   147
Turenki	   147
Rajamäki	   146
Pello	   145
Mynämäki	   144
Kitee	   143
Kärkölä	   142
Ilomantsi	   141
Juva	   141
Kempele	   140
Malax	   139
Ähtäri	   138
Huhmari	   137
Haapavesi	   136
Punkaharju	   135
Superior Wi	   135
Ranua	   132
Vienna	   131
Halikko	   130
Kolari	   130
Outokumpu	   130
Lieto	   129
Käkisalmi	   128
Masku	   128
Piikkiö	   127
Sysmä	   127
Jyskä	   124
Kiuruvesi	   124
Taivalkoski	   123
Janakkala	   122
Geneva	   121
Bern	   120
Paltamo	   119
Brussels	   116
Ulvila	   116
Hartola	   115
Stavanger	   113
Kittilä	   112
Liminka	   111
Kontiolahti	   110
Vilnius	   110
Perniö	   109
Rome	   109
Lappajärvi	   108
Liperi	   108
Vanda	   107
Säkylä	   105
Madrid	   104
Asikkala	   103
Lapinlahti	   103
Sastamala	   103
Karasjohka	   102
Mäntyharju	   102
Laihia	   101
Rostock	   101
Valkeala	   101
Isokyrö	    99
Salla	    99
Teuva	    99
Veteli	    99
Jeppo	    98
Panttila	    97
Reykjavik	    97
Hankasalmi	    96
Hattula	    96
Jämsänkoski	    96
Kuortane	    96
Luleå	    96
Pälkäne	    94
Loppi	    92
Nousiainen	    92
Punkalaidun	    92
Cambridge	    91
Wiesbaden	    91
Nilsiä	    90
Vaajakoski	    90
Kaskinen	    89
Keminmaa	    89
Viiala	    89
Joutsa	    88
Norrköping	    88
Padasjoki	    87
Ristiina	    87
Ivalo	    86
Vesanto	    86
Leväsjoki	    85
Oitmäki	    85
Ashtabula Oh	    84
Juuka	    84
Suomusjärvi	    84
Urjala	    84
Ylitornio	    84
Bath	    83
Borås	    83
Hauho	    83
Myllykoski	    83
Otnäs	    83
Umeå	    83
Iitti	    82
Korpilahti	    82
Chicago IL	    81
Inkoo	    81
Karstula	    81
Muurame	    81
Petäjävesi	    81
Tohmajärvi	    81
Toronto	    81
Kiiminki	    80
Königswinter	    80
Ruokolahti	    80
Tiuruniemi	    80
Leppävirta	    79
Washington DC	    78
Dordrecht	    77
Olkiluoto	    76
Pedersöre	    75
The Hague	    75
Vehmersalmi	    75
Boston Ma	    74
