Name	Count
2099-	47
uuuu-uuuu	24
1980-1900	23
20uu-9999	12
uuuu-	12
19uu-19uu	11
200u-9999	10
1981-1900	 8
199u-9999	 8
-	 7
||||-    	 7
    -    	 6
1982-1900	 6
9207-	 6
1976-1900	 5
1983-1900	 5
1988-1900	 5
1990-1900	 5
92-uuuu	 5
1970-1900	 4
1974-1900	 4
1979-1900	 4
1987-1900	 4
1989-1900	 4
1991-1990	 4
2001-2000	 4
2008-2000	 4
1966-1900	 3
1975-1900	 3
1984-1900	 3
1985-1900	 3
1986-1900	 3
2003-1987	 3
2119-	 3
9209-	 3
uuuu-    	 3
1906-1901	 2
1919-1900	 2
1933-1900	 2
1959-1900	 2
196?-9999	 2
1960-1900	 2
1967-1900	 2
1969-1900	 2
1971-1900	 2
1977-1900	 2
1978-1900	 2
198u-9999	 2
1993-1900	 2
1993-1990	 2
1995-1900	 2
199u-199u	 2
199u-200u	 2
2001-0011	 2
2001-1987	 2
2002-1987	 2
2002-1989	 2
2002-2000	 2
2003-1988	 2
2005-2000	 2
2007-2000	 2
2100-	 2
2120-	 2
2319-	 2
70-uuuu	 2
75-uuuu	 2
79-uuuu	 2
89-uuuu	 2
94-uuuu	 2
uuuu-9999	 2
    -uuuu	 1
1685-1674	 1
1708-1707	 1
1879-1877	 1
1886-1885	 1
1892-0000	 1
1906-1900	 1
1907-1900	 1
1907-1901	 1
1909-1899	 1
1909-1900	 1
1910-1899	 1
1912-1900	 1
1914-1900	 1
1915-1900	 1
1916-1900	 1
1918-1900	 1
1921-1920	 1
1923-1914	 1
1924-1900	 1
1926-1925	 1
1927-1923	 1
1929-1900	 1
1932-1900	 1
1936-1900	 1
1942-1900	 1
1943-1900	 1
1943-1941	 1
1944-1900	 1
1947-1900	 1
1949-1900	 1
1950-1900	 1
1952-1900	 1
1954-1900	 1
1955-1900	 1
1956-1900	 1
1958-1900	 1
1961-1900	 1
1965-1900	 1
1966-1868	 1
1968-1900	 1
1969-1960	 1
1977-0000	 1
197u-199u	 1
197u-9999	 1
1985-0000	 1
1988-1987	 1
198u-199u	 1
1991-1900	 1
1991-1989	 1
1994-1900	 1
1994-1990	 1
1997-1996	 1
19uu-2uuu	 1
19uu-9999	 1
2000-1987	 1
2002-0020	 1
2003-2000	 1
2004-2000	 1
2006-2000	 1
2007-1985	 1
200u	 1
2013-1897	 1
2017-2016	 1
2029-2019	 1
34-uuuu	 1
59-uuuu	 1
72-uuuu	 1
73-uuuu	 1
74-uuuu	 1
76-uuuu	 1
81-uuuu	 1
90-uuuu	 1
9206-	 1
fin -2010	 1
u   -u   	 1
uuuu-||||	 1
