melinda_id	original	publication_year	Count
(FI-MELINDA)000101303	1991-1990	NA	1
(FI-MELINDA)011522523	fin -2010	NA	1
(FI-MELINDA)011521274	    -    	NA	1
(FI-MELINDA)011467141	20uu-9999	NA	1
(FI-MELINDA)005963163	1988-1900	NA	1
(FI-MELINDA)005960515	1990-1900	NA	1
(FI-MELINDA)005956053	1982-1900	NA	1
(FI-MELINDA)005950425	1988-1900	NA	1
(FI-MELINDA)005947397	1959-1900	NA	1
(FI-MELINDA)005946804	1974-1900	NA	1
(FI-MELINDA)005934095	1975-1900	NA	1
(FI-MELINDA)018044080	20uu-9999	NA	1
(FI-MELINDA)000609441	75-uuuu	NA	1
(FI-MELINDA)009778882	uuuu-	NA	1
(FI-MELINDA)009778488	uuuu-	NA	1
(FI-MELINDA)009596388	uuuu-	NA	1
(FI-MELINDA)003188174	72-uuuu	NA	1
(FI-MELINDA)003186573	1991-1990	NA	1
(FI-MELINDA)005311963	73-uuuu	NA	1
(FI-MELINDA)018142969	2100-	NA	1
(FI-MELINDA)018059116	20uu-9999	NA	1
(FI-MELINDA)000719942	1981-1900	NA	1
(FI-MELINDA)000717445	1991-1900	NA	1
(FI-MELINDA)000717104	1991-1990	NA	1
(FI-MELINDA)000716703	1976-1900	NA	1
(FI-MELINDA)000715982	uuuu-uuuu	NA	1
(FI-MELINDA)000714713	1991-1990	NA	1
(FI-MELINDA)000713805	89-uuuu	NA	1
(FI-MELINDA)000147857	1989-1900	NA	1
(FI-MELINDA)000733477	1989-1900	NA	1
(FI-MELINDA)000733420	1990-1900	NA	1
(FI-MELINDA)000730714	92-uuuu	NA	1
(FI-MELINDA)000730712	92-uuuu	NA	1
(FI-MELINDA)000730616	1990-1900	NA	1
(FI-MELINDA)000729369	1990-1900	NA	1
(FI-MELINDA)000728976	1960-1900	NA	1
(FI-MELINDA)000728974	1960-1900	NA	1
(FI-MELINDA)000728947	1966-1900	NA	1
(FI-MELINDA)000728823	1958-1900	NA	1
(FI-MELINDA)000728776	1961-1900	NA	1
(FI-MELINDA)000728648	1950-1900	NA	1
(FI-MELINDA)000728645	1956-1900	NA	1
(FI-MELINDA)000728439	1966-1868	NA	1
(FI-MELINDA)000862043	19uu-19uu	NA	1
(FI-MELINDA)000861847	1985-1900	NA	1
(FI-MELINDA)000853467	1927-1923	NA	1
(FI-MELINDA)000608750	59-uuuu	NA	1
(FI-MELINDA)000742522	1993-1900	NA	1
(FI-MELINDA)000740489	1952-1900	NA	1
(FI-MELINDA)006730832	-	NA	1
(FI-MELINDA)006715992	-	NA	1
(FI-MELINDA)006612743	200u	NA	1
(FI-MELINDA)006609569	2002-0020	NA	1
(FI-MELINDA)006609554	2001-0011	NA	1
(FI-MELINDA)006609549	2001-0011	NA	1
(FI-MELINDA)006608990	uuuu-uuuu	NA	1
(FI-MELINDA)015503365	1910-1899	NA	1
(FI-MELINDA)015414379	2099-	NA	1
(FI-MELINDA)015414371	2100-	NA	1
(FI-MELINDA)015324686	||||-    	NA	1
(FI-MELINDA)015300808	2119-	NA	1
(FI-MELINDA)015297529	2319-	NA	1
(FI-MELINDA)006116193	200u-9999	NA	1
(FI-MELINDA)006069059	-	NA	1
(FI-MELINDA)006031667	200u-9999	NA	1
(FI-MELINDA)005840141	uuuu-uuuu	NA	1
(FI-MELINDA)005840024	uuuu-uuuu	NA	1
(FI-MELINDA)005840012	uuuu-uuuu	NA	1
(FI-MELINDA)005839874	uuuu-uuuu	NA	1
(FI-MELINDA)005839398	1921-1920	NA	1
(FI-MELINDA)005813701	200u-9999	NA	1
(FI-MELINDA)005810643	2003-2000	NA	1
(FI-MELINDA)005810407	1685-1674	NA	1
(FI-MELINDA)005810395	2001-2000	NA	1
(FI-MELINDA)005807826	    -    	NA	1
(FI-MELINDA)005586466	74-uuuu	NA	1
(FI-MELINDA)005569644	1987-1900	NA	1
(FI-MELINDA)017913172	2099-	NA	1
(FI-MELINDA)017758468	2099-	NA	1
(FI-MELINDA)017758457	2099-	NA	1
(FI-MELINDA)018777810	199u-200u	NA	1
(FI-MELINDA)018777711	199u-199u	NA	1
(FI-MELINDA)018774769	199u-199u	NA	1
(FI-MELINDA)018767321	198u-199u	NA	1
(FI-MELINDA)018767283	199u-9999	NA	1
(FI-MELINDA)018767248	199u-200u	NA	1
(FI-MELINDA)018765481	2099-	NA	1
(FI-MELINDA)018765466	199u-9999	NA	1
(FI-MELINDA)018765305	uuuu-    	NA	1
(FI-MELINDA)018765164	199u-9999	NA	1
