Name	Count
[kustantaja tuntematon],	7286
WSOY,	2525
Otava,	1995
Tekijä,	1379
Söderström,	1095
Edlund,	 886
G. W. Edlund,	 808
typis Frenckellianis,	 621
Karisto,	 572
Suomalaisen Kirjallisuuden Seura,	 483
Gummerus,	 417
Weilin & Göös,	 414
Raittiuden ystävät,	 406
Yrjö Weilin,	 385
Förf.,	 325
Kansanvalistusseura,	 300
Frenckell,	 251
Wilén,	 241
Suomen lähetysseura,	 231
Senaten,	 230
Ford,	 227
Isak Julin,	 210
Kirja,	 204
Helios,	 203
Kansanvalistus-seura,	 203
K. E. Holm,	 197
Holm,	 189
Suomen luth. evank.-yhdistys,	 170
Sällskapet för Finlands geografi,	 166
Författare,	 163
typis Frenckelliorum,	 161
Finska Vetenskapssocieteten,	 160
Werner Söderström,	 153
Hagelberg,	 149
Bonnier,	 147
Schildt,	 143
[C. A. Londicer],	 137
W. Toivonen,	 134
Clouberg,	 133
Universitet,	 125
[Suomalaisen Kirjallisuuden Seura],	 123
Svenska litteratursällskapet i Finland,	 111
Lutherska Evangeliföreningen,	 108
Otto Andersin,	 108
[Tekijä],	 104
Valistus,	 104
Kansa,	 101
KS,	  99
Teosofinen kirjakauppa,	  97
Suomalainen tiedeakatemia,	  93
Suomalainen Tiedeakatemia,	  92
Pellervo,	  90
Sortavalan evank. seura,	  89
Edlundska bokhandeln, distr.,	  88
Kuopion uusi kirjapaino,	  87
Suomalais-ugrilainen seura,	  87
Voen. Top. Depo,	  87
Societas pro fauna et flora Fennica,	  84
Societatis pro fauna et flora Fennica,	  83
G. W. Wilén,	  82
Suomentaja,	  82
Lilius & Hertzberg,	  81
Edlundska Bokhandeln, distr.,	  80
Societas geographica Fenniae,	  79
U. W. Telén & C:o,	  77
Beijer,	  76
Suomen Historiallinen seura,	  76
Kustannusoy. Kirja,	  74
Suomen merimieslähetysseura,	  74
Weilin ja Göös,	  72
Toimittaja,	  70
Karjalan kirjakauppa,	  69
Suomalais-amerikkalainen kustannusyhtiö,	  69
Vihtori Kosonen,	  68
[Finska Litteratur-sällskapets tryckeri],	  63
W. Hagelstam,	  63
[kustantaja tuntematon] ,	  61
Rauman kirjapaino,	  61
Suomalaisen Kirjallisuuden seura,	  61
P. A. Norstedt & Söner,	  59
Yrjö Weilin & Kumpp.,	  59
Satakunnan kirjakauppa,	  57
Suomen Lähetysseura,	  57
Sampo,	  55
Suomen senaatti,	  54
Työväen sanomalehti-o.y.,	  54
K. J. Gummerus,	  53
Rauman kirjapaino-osakeyhtiö,	  53
Suomen kirkon sisälähetysseura,	  53
Telén,	  53
Suomalaisen kirjallisuuden seura,	  52
Työväen sanomalehti,	  52
Barck,	  51
Lutherilainen Evankeliumi-yhtiö,	  51
Finska Missionssällskapet,	  50
Holger Schildt,	  50
Suomen Naisyhdistys,	  48
Victor Hoving,	  48
[tekijä],	  47
Henkivakuutusyhtiö Suomi,	  47
Suomen Matkailijayhdistys,	  47
Herättäjä,	  46
Kaleva,	  46
Sällskapet Pellervo,	  46
Shell,	  46
U. W. Telén,	  45
[Voenno-Topografičeskìj Otděl"],	  44
Albert Bonnier,	  44
ex officina typographica Frenckelliana,	  44
Gosudarstvennaâ tipografìâ,	  44
Tidn.- & tryckeriaktiebol.,	  44
F. Vetenskapssocieteten,	  42
K. Malmström,	  42
[Vårt Land],	  41
Folkupplysningssällskapet,	  41
Svenska Folkskolans Vänner,	  41
Työmiehen kustannusyhtiö,	  41
Maanviljelyshallitus,	  40
Nykterhetens vänner,	  40
Palander,	  40
Simelius,	  40
Suomalaisen Kirjallisuuden Seuran kirjapaino,	  39
Utgifvaren,	  39
Finskugriska sällskapet,	  38
J. C. Frenckell & Son,	  38
Sederholm,	  38
Söderström & C:o,	  37
Geologiska kommissionen,	  36
Kansan lehti,	  36
N. M. Lindh,	  36
Toivonen,	  36
Wentzel Hagelstam,	  36
[Nya Pressen],	  35
Finsk-ugriska sällskapet,	  35
General Motors,	  35
Svenska folkskolans vänner,	  35
Wickström,	  35
Lähetyskirjakauppa,	  34
Lillja :|Wilén,	  34
Lillja,	  34
Sortavalan evankelinen seura,	  34
Suomen historiallinen seura,	  34
Suomen maanviljelystaloudellinen koelaitos,	  34
Pelastusarmeijan päämaja,	  33
Societas scientiarum Fennicae,	  33
[C. W. Gyldén],	  32
[Öfverstyrelsen för landtmäteriet],	  32
Osuuskunta Kehitys,	  32
OWB,	  32
U. W. Telén ja K.,	  32
Wasenius,	  32
[Maanmittaushallitus],	  31
Boman ja Karlsson,	  31
GEJ,	  31
Akateeminen kirjakauppa,	  30
Edlundska Bokhandeln, jakaja,	  30
Naisasialiitto Unioni,	  30
Société néophilologique,	  30
Suomen kalastusyhdistys,	  30
Suomen naisyhdistys,	  30
Clouberg ja K.,	  29
Författaren,	  29
Societas scientiarum Fennicae ,	  29
Tilgmann,	  29
Utg.,	  29
[Svenska litteratursällskapet i Finland],	  28
Alfred Lagerbom,	  28
Arwidson & Co.,	  28
Lutherska evangeliföreningen,	  28
Pellervo-seura,	  28
Suom.-amer. kustannusyhtiö,	  28
Suomen metsänhoitoyhdistys,	  28
[J. C. Frenckell],	  27
G. M. Giescke,	  27
Lasipalatsi,	  27
Suomen kylvösiemenyhdistys,	  27
Valtion kotitaloustoimikunta,	  27
Alex. Lundström,	  26
Aschan,	  26
Emil Vainio,	  26
Evankelinen kustannusliike,	  26
Finlands Svenska Nykterhetsförbund,	  26
Finska missionssällskapet,	  26
Maanmittaushallitus,	  26
Olan,	  26
Statens kommission för huslig ekonomi,	  26
Suomen maanviljelys-taloudellinen koelaitos,	  26
Kustannus-o.y. Kansa,	  25
Osuuskunta Wäinämöinen,	  25
Suom. sos. kustannusyhtiö,	  25
Tampereen työväen sanomalehti,	  25
[ kustantaja tuntematon ],	  24
C. J. Bergström,	  24
G. E. Euren,	  24
G. L. Söderström,	  24
K.E. Holm,	  24
P. A. Norstedt & söner,	  24
Pyh. Sergein ja Hermanin veljeyskunta,	  24
Söderström & c:o,	  24
Työväen kp.,	  24
[C. G. Clouberg],	  23
Akademiska Bokhandeln,	  23
Stolpe,	  23
Vacuum Oil Company,	  23
Akademiska bokhandeln,	  22
Hagelstam,	  22
Hämäläinen,	  22
Helsingfors universitet,	  22
Lutherilainen Evankeliumi-yhdistys,	  22
Pyhäkouluyhdistys,	  22
Suomen kirkkohistoriallinen seura,	  22
Wahlström & Widstrand,	  22
Aikain Vartija,	  21
Andersin,	  21
Chr. Ev. Barck,	  21
Finska Sjömansmissionssällskapet,	  21
Gust. Ronelius,	  21
J. F. Granlund,	  21
J. W. Lillja,	  21
Kansainvälinen raamatuntutkijain seura,	  21
Pekka Brofeldt,	  21
Waseniuska bokhandeln, distr.,	  21
[s.n],	  20
Aikain Wartija,	  20
Amerikan sanomat,	  20
Amerikan Sanomat,	  20
Försäkringsaktiebolaget Kaleva,	  20
J. Simelii arfvingar,	  20
Kivekäs,	  20
Lindstedts antikvariska bokhandel,	  20
Suomen Eläinsuojelusyhdistys,	  20
tryckt hos J. C. Frenckell & son,	  20
tryckt hos J. C. Frenckell & Son,	  20
Uudenmaan Eläinsuojeluyhdistys,	  20
[Finsk militär tidskrift],	  19
[Folkupplysningssällskapet],	  19
Brage,	  19
Duodecim-seura,	  19
Emil Hagelberg,	  19
Folkupplysningssällkapet,	  19
Gyldendalske Boghandel Nordisk Forlag,	  19
Helsingfors-Posten,	  19
Kesävuori,	  19
kustantaja tuntematon,	  19
M. V. Vuolukka,	  19
Nobel-Standard,	  19
Oulun kirjapaino-osakeyhtiö,	  19
Sanoma,	  19
Suomen sos.-dem. nuorisoliitto,	  19
Sylviayhdistys,	  19
Tietosanakirja,	  19
Volvo,	  19
Zilliacus,	  19
[Wickström],	  18
Boman & Karlsson,	  18
Duncker & Humblot,	  18
Finlands Utsädesförening,	  18
Finska Vetenskaps-Societeten,	  18
Finska vetenskapsspcieteten,	  18
Helsingin nuorten miesten kristillinen yhdistys,	  18
KS. kp.,	  18
Lääkintöhallitus,	  18
Landtbruksstyrelsen,	  18
Luth. Evankeliumi-yhdistys,	  18
Nuorten miesten kristillinen yhdistys,	  18
Päivälehden kp.,	  18
Suomen metsänhoitoyhdistys Tapio,	  18
tekijä,	  18
W. Hagelstam, distr.,	  18
[Finska fornminnesföreningen],	  17
[Suomen luotsi- ja majakkalaitoksen ylihallitus],	  17
Finska Statsjärnvägarna,	  17
Frälsningsarmén,	  17
Hufvudstadsblad'in kirjapaino,	  17
J. C. Frenckell,	  17
Kaiserlichen Akademie der Wissenschaften,	  17
Kansallismielinen nuorisoliitto,	  17
Lantbruksstyrelsen,	  17
Lindeberg,	  17
Öhman,	  17
Rauhan sanomat,	  17
Salakirjat,	  17
Société néophilogique de Helsinki,	  17
Statsrådet,	  17
Suomalaisen Kirjallisuuden Seura :|Edlund,	  17
Suomen matkailijayhdistys,	  17
Suomi,	  17
Turistföreningen,	  17
Voenno-Topografičeskìj Otděl",	  17
[Finsk kvinnoförening],	  16
[Finska pappersindustriidkarenes förbund],	  16
[Svenska folkskolans vänner],	  16
Akademiska Bokhandeln, distr.,	  16
Almqvist & Wiksell,	  16
B. B. Bergdahl,	  16
Finska Litteratur-sällskapet,	  16
H. Nurhonen,	  16
Jyväskylän kaupunki,	  16
Ljus,	  16
Minerva,	  16
P. R. Wiitanen,	  16
Suomen geologinen toimisto,	  16
Suomen säästöpankkiyhdistys,	  16
Tampereen kirjapaino-osakeyhtiö,	  16
Turistföreningen i Finland,	  16
Wesander,	  16
[Emil Hagelberg],	  15
[Suomalainen puolue],	  15
[Teollisuushallitus],	  15
Bärlund,	  15
Frenckell :|Edlund,	  15
Geologiska Kommissionen :|Akademiska Bokhandeln, jakaja,	  15
Hämeen sanomain kirjapaino,	  15
Hufvudstadsbladet,	  15
Jyväskylän kirjapaino,	  15
K. Kaatra,	  15
Karjalan veljeskunta,	  15
Kuopion uusi kp.,	  15
Kustannusosakeyhtiö Kirja,	  15
Lindgren,	  15
Nykterhetens Vänner,	  15
Sos.-dem. eduskuntaryhmä,	  15
Suomalainen Kirjallisuuden Seura,	  15
Suomalaisen puolueen kanslia,	  15
Suomen eläinsuojelusyhdistys,	  15
Tuberkulosin vastustamisyhdistys,	  15
Valo,	  15
[Finska Metallindustrins Arbetsgifvareförbund],	  14
[Frenckell],	  14
Axel E. Lindgren,	  14
Backman,	  14
G. W. Edlunds förlag,	  14
Hagelstams bokhandel,	  14
K. Valovuori,	  14
Kewät-yhtiö,	  14
Kirjoittaja,	  14
Konkordia-liitto,	  14
Korpivaara & Halla,	  14
Lindstedt'in antikvaarinen kirjakauppa,	  14
Lutherska evangeliföreningen i Finland,	  14
Matkailutoimisto Finlandia,	  14
Osuuskunta Väinämöinen,	  14
Savon työväen sanomalehti- ja kirjapaino-osuuskunta,	  14
Suomen muinaismuistoyhdistys,	  14
Svenska litteratursälskapet i Finland,	  14
Unggren,	  14
[Föreningen Martha] :|Akademiska Bokhandeln, jakaja,	  13
[K. J. Gummerus],	  13
[Kyrkomötet],	  13
[Länsisuomalaisten esitelmätoimikunta],	  13
[N. M. Lindh],	  13
Akademiska Bokhandeln, jakaja,	  13
Akateeminen kirjakauppa, jakaja,	  13
Autola,	  13
B. E. Martin,	  13
Centraltryckeriet,	  13
Finska Historiska Samfundet,	  13
G. A. Ekholm,	  13
Hemma och Utes redaktion,	  13
hos J. C. Frenckell & Son,	  13
J. Karsten,	  13
Karsten,	  13
Kauppakp.,	  13
Länsisuomalais-osakunta,	  13
Lilius ja Hertzberg,	  13
Nordstedt,	  13
ntamo,	  13
O. B. Blomfelt,	  13
O. W. Backman,	  13
Päivälehden kirjapaino,	  13
Stockmann,	  13
Suomalaisen puolueen naisvaliokunta,	  13
tryckt hos J. Simelius,	  13
Työmies kustannusyhtiö,	  13
[Suomen historiallinen seura],	  12
Arvi A. Karisto,	  12
Etelä-Savon kirjapaino,	  12
excudebant J. C. Frenckell [et] fil.,	  12
excudebant J. C. Frenckell & fil.,	  12
F. Tilgmann,	  12
Finlands Svenska Arbetareförbund,	  12
Finska vetenskaps-societeten,	  12
Finska vetenskapssocieteten,	  12
Frenckell :|Granlund,	  12
