Name	Count
	19951
Doria	 1871
Diss. HY	 1249
Suom. kaunokirj. 3 -1972	 1085
Hartauskirj. -1972|Käsifilmistö - filmikortit	 1057
Suom. kaunokirj. 2 -1972	  864
Suom. kaunokirj. 1 -1972	  701
IV.1/49	  693
Suom. kaunokirj. 4 -1972	  641
Ruots. kaunokirj. 1 -1972	  502
K.Hartauskirj. -1972|Mf.	  487
Hartauskirj. -1972	  464
Amerikka 3 -1972	  455
Matematiikka -1972	  394
Lähetys -1972	  392
Maantiede 1 -1972	  370
Lääketiede 3 -1972	  365
Ruots. kaunokirj. 1 -1972|Käsifilmistö - filmikortit	  361
Vuotuisjuhlalehdet	  344
Maanviljelys 2B -1972	  343
Yleinen historia -1972	  342
Suom. hist. 3 -1972	  333
Filosofia -1972	  318
Suom. kaunokirj. 1	  308
Siv.seur.: Kansanvalistusseura 3 -1972	  290
Ruots. kaunokirj. 1	  273
Teollisuus 3 -1972	  258
Maantiede 2 -1972	  252
Suomi - Venäjä 3 -1972	  234
Matkailu 2 -1972|Käsifilmistö - filmikortit	  224
K.Hartauskirj -1972|Mf.	  223
Suomal. kielit. 3 -1972	  217
Saarnakirj. -1972|Käsifilmistö - filmikortit	  216
Diss. HY -1972	  209
Suom. hist. 3 -1972|Käsifilmistö - filmikortit	  208
Käsifilmistö - filmikortit	  204
Ruots. kaunokirj. 2	  203
S|MF	  198
Suom. hist. 3	  198
Lakitiede 3 -1972	  194
Kirj. hist.	  189
Raittius 2 -1972	  188
Musiikki 4 -1972	  182
Kirkkohist. -1972|Käsifilmistö - filmikortit	  181
Teologia 3 -1972	  181
Kasvatusoppi 3 -1972	  180
Elämisentaito -1972	  174
Foliot -1972	  174
Yleiset sarjat 1 -1972	  172
K.Suom.kaunok. -1972|Mf.	  170
Maantiede 1 -1972|Käsifilmistö - filmikortit	  170
Raamatunhist. -1972	  170
Kirj. hist. -1972	  169
Suom. lastenkirj. 5	  165
K. Saarnakirjallisuus -1972|Mf.	  162
K.Saarnakirj. -1972|Mf.	  162
Suom. lastenkirj. 4 -1972	  162
Foliot	  161
Tiet. seur.: Suom. kirj. seura -1972	  161
R.Kirjakauppa 4	  153
Rv Oikeus- ja valtiotieteet 5	  153
Vierask. kaunokirj. 1	  143
K. Hartauskirj. -1972|Mf.	  142
K.Raittius -1972|Mf.	  140
Pohjoism. kielit. -1972	  136
K. Amerikka 2 -1972|Käsifilmistö - filmikortit	  131
Ruots. kaunokirj. 3	  127
Suom. kiel. 3 -1972	  125
Ruots. kaunokirj. 1. -1972	  123
Kunn. hall. 4 -1972	  122
Ruots. lastenkirj. 3	  119
Työväenkys. 3. -1972|Käsifilmistö - filmikortit	  118
Musiikki 3 -1972	  114
Slaavil. kielit. -1972	  109
K.Työväenkys. -1972|Käsifilmistö - filmikortit	  108
Ruots. kaunokirj. 3 -1972	  108
Teologia 1 -1972	  107
Ruots. kaunokirj. 1 -1972|Mf.	  103
Eksegetiikka -1972	  101
K.Lääketiede -1972|Mf.	  101
Pilalehdet,Vastak. -1972	  101
Urheilu 3 -1972	  101
Suom. kaunokirj. 2	  100
Suom.kaunokirj.1 -1972	  100
Naisasia 2 -1972	   99
K.Suom.kaunok. -1972|Käsifilmistö - filmikortit	   98
Raamatunhist.	   98
Vakuutus 5 -1972	   97
Maanvilj. 2B -1972	   95
Suom. kaunokirj. 6 -1972	   95
Tiet. seur.: Svenska litt. sällsk. -1972	   95
Eläintiede -1972	   92
Germ. kielit. -1972	   90
Nuorisoseurat 2 -1972	   90
Oppikoulut 3	   90
K.Suomi-Venäjä, Estl. -1972|Mf.	   88
Ruots. kaunokirj. 1|Käsifilmistö - filmikortit	   88
Maanviljelys 3 -1972	   86
Heng.laulukirj.1. -1972	   85
Kom. miet. 1 -1972	   85
Taide 2 -1972	   85
Lääketiede 2 -1972	   81
K.Teknologia -1972|Mf.	   79
Kemia -1972	   79
III.1/114	   78
Suom. hist. 3|Käsifilmistö - filmikortit	   77
Maanviljelys 2 C -1972	   75
Siveellisyys -1972	   75
Yl.luonnontiede -1972	   75
Ea2 1978-	   74
Fol.SK -1972	   74
Hartauskirj.	   74
Suom. kaunokirj. 1|Käsifilmistö - filmikortit	   74
Valtiopäivät 1 -1972	   74
K.Ruots.kaunok. -1972|Käsifilmistö - filmikortit	   72
Kunn. hall. 7	   72
Yleiset sarjat 2. -1972	   72
K.Amerikka 2 -1972|Käsifilmistö - filmikortit	   71
Maantiede 2 -1972|Käsifilmistö - filmikortit	   71
Suomi - Venäjä 3 -1972|Käsifilmistö - filmikortit	   71
Suom. kaunokirj. 1 -1972|Käsifilmistö - filmikortit	   70
IV.1/1|IV.1/2	   69
K.Kasvatusoppi -1972|Mf.	   69
K.Maanviljelys -1972|Mf.	   68
Kielitiede: Tulkkikirjat -1972	   68
Ruots. kaunokirj. 2 -1972	   68
S|Käsifilmistö|MF	   67
Teologia 1	   67
Fysiikka -1972	   65
Pilalehdet,Vastak.	   65
Raittius 3 -1972|Käsifilmistö - filmikortit	   65
Puutarhanhoito 3 -1972	   63
Ruots. lastenkirj. 3 -1972	   63
Suomal. kielit. 3	   63
Maanvilj.  3 -1972	   62
Puolueet: Sos.-dem. -1972|Käsifilmistö - filmikortit	   61
Rv Academica 3a	   60
Uni- ja povauskirjat -1972	   60
Fol.N -1972	   59
Suom. elämäkerrat 2. -1944|Mf.	   59
